chr	gene_id	gene_symbol	P-value	Zscore	Direction	regulation	heterogeneity_I_squared	heterogeneity_Chi_squared	heterogeneity_degrees_of_freedom_squared	heterogeneity_P-value
2	ENSG00000180398	MCFD2	0.1627	1.396	+-	Not differentially expressed	72.9	3.697	1	0.05452
12	ENSG00000139193	CD27	0.003125	-2.955	-+	Not differentially expressed	92.4	13.104	1	0.0002947
11	ENSG00000135378	PRRG4	0.0003561	3.571	++	Not differentially expressed	0.0	0.752	1	0.3858
15	ENSG00000166821	PEX11A	0.001249	3.227	++	Not differentially expressed	65.5	2.901	1	0.08853
X	ENSG00000235636	NUS1P1	0.8168	-0.232	-0	Not differentially expressed	0.0	0.08	1	0.7775
11	ENSG00000179431	FJX1	0.01703	-2.386	--	Not differentially expressed	0.0	0.015	1	0.9018
3	ENSG00000164068	RNF123	0.02424	-2.253	--	Not differentially expressed	42.7	1.744	1	0.1866
1	ENSG00000132693	CRP	0.1211	1.55	+0	Not differentially expressed	72.0	3.574	1	0.05868
12	ENSG00000257576	HSPD1P4	0.001823	-3.118	--	Not differentially expressed	63.0	2.703	1	0.1002
2	ENSG00000115866	DARS	0.8509	-0.188	+-	Not differentially expressed	67.4	3.071	1	0.07972
16	ENSG00000102984	ZNF821	0.004143	-2.867	--	Not differentially expressed	0.0	0.053	1	0.8185
13	ENSG00000236972	FABP5P1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
15	ENSG00000259315	ACTG1P17	0.000193	-3.728	-+	Not differentially expressed	97.2	35.881	1	2.098e-09
X	ENSG00000220541	AC233289.1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
12	ENSG00000256937	KRT17P8	0.4507	0.754	-+	Not differentially expressed	0.0	0.783	1	0.3763
7	ENSG00000106246	PTCD1	0.7905	0.266	-+	Not differentially expressed	0.0	0.195	1	0.6585
4	ENSG00000185774	KCNIP4	0.007279	-2.684	--	Not differentially expressed	0.0	0.609	1	0.4351
1	ENSG00000143324	XPR1	0.6443	-0.462	+-	Not differentially expressed	3.3	1.034	1	0.3092
4	ENSG00000182903	ZNF721	0.06904	-1.818	--	Not differentially expressed	0.0	0.001	1	0.9692
14	ENSG00000166166	TRMT61A	0.09717	-1.659	-+	Not differentially expressed	77.0	4.344	1	0.03715
1	ENSG00000225486	AL663058.1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
12	ENSG00000256913	AC005840.3	0.9915	0.011	+0	Not differentially expressed	0.0	0.0	1	0.9897
19	ENSG00000167600	CYP2S1	0.5406	0.612	++	Not differentially expressed	0.0	0.141	1	0.7068
11	ENSG00000062282	DGAT2	0.06796	-1.825	--	Not differentially expressed	0.0	0.458	1	0.4988
11	ENSG00000273813	AC123788.2	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
16	ENSG00000162062	TEDC2	0.0301	-2.169	--	Not differentially expressed	30.4	1.438	1	0.2305
7	ENSG00000230386	AC104057.1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
4	ENSG00000250215	CIR1P2	0.2596	-1.127	-+	Not differentially expressed	57.9	2.373	1	0.1234
19	ENSG00000161249	DMKN	0.01289	-2.487	--	Not differentially expressed	75.5	4.085	1	0.04328
17	ENSG00000055483	USP36	0.1468	-1.451	-+	Not differentially expressed	89.8	9.802	1	0.001743
15	ENSG00000259192	AC109631.1	0.8814	-0.149	--	Not differentially expressed	0.0	0.015	1	0.9031
18	ENSG00000154059	IMPACT	0.1106	-1.595	--	Not differentially expressed	0.0	0.004	1	0.9475
18	ENSG00000101751	POLI	0.7013	-0.384	-+	Not differentially expressed	0.0	0.25	1	0.6172
11	ENSG00000172425	TTC36	0.02291	-2.275	--	Not differentially expressed	0.0	0.999	1	0.3175
19	ENSG00000214347	AC011491.1	0.8782	-0.153	-0	Not differentially expressed	0.0	0.035	1	0.8517
15	ENSG00000260660	AC113208.2	0.2124	-1.247	-+	Not differentially expressed	86.4	7.331	1	0.006779
10	ENSG00000228667	AL157385.1	0.9448	0.069	-+	Not differentially expressed	52.0	2.083	1	0.1489
6	ENSG00000156564	LRFN2	0.04483	-2.006	--	Not differentially expressed	0.0	0.164	1	0.6858
3	ENSG00000160799	CCDC12	0.07602	-1.774	-+	Not differentially expressed	86.1	7.19	1	0.007332
8	ENSG00000104626	ERI1	0.08321	1.732	++	Not differentially expressed	0.0	0.682	1	0.4089
14	ENSG00000258477	PPIAP6	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
8	ENSG00000254352	AC100854.1	0.5729	-0.564	+-	Not differentially expressed	63.2	2.719	1	0.09917
2	ENSG00000163013	FBXO41	0.02708	-2.21	+-	Not differentially expressed	70.1	3.347	1	0.06734
11	ENSG00000074201	CLNS1A	0.6503	-0.453	--	Not differentially expressed	0.0	0.172	1	0.6782
10	ENSG00000122870	BICC1	0.4819	0.703	+-	Not differentially expressed	57.7	2.362	1	0.1243
16	ENSG00000166188	ZNF319	0.0003896	3.547	++	Not differentially expressed	91.6	11.916	1	0.0005566
10	ENSG00000234569	RAD1P1	0.9555	-0.056	-0	Not differentially expressed	0.0	0.005	1	0.9458
18	ENSG00000267336	EIF4A2P1	0.606	-0.516	-0	Not differentially expressed	0.0	0.396	1	0.5293
4	ENSG00000132463	GRSF1	0.2115	-1.249	--	Not differentially expressed	0.0	0.928	1	0.3354
X	ENSG00000165704	HPRT1	0.006064	-2.744	--	Not differentially expressed	0.0	0.003	1	0.9545
15	ENSG00000234664	HMGN2P5	0.9966	-0.004	-+	Not differentially expressed	0.0	0.955	1	0.3286
2	ENSG00000170802	FOXN2	0.02762	2.203	++	Not differentially expressed	0.0	0.143	1	0.7056
1	ENSG00000067208	EVI5	0.05702	-1.903	--	Not differentially expressed	29.3	1.414	1	0.2343
17	ENSG00000141255	SPATA22	0.9706	-0.037	--	Not differentially expressed	0.0	0.0	1	0.9946
21	ENSG00000277277	FAM243B	0.4837	0.7	++	Not differentially expressed	0.0	0.006	1	0.9387
3	ENSG00000072858	SIDT1	5.42e-05	-4.037	--	Not differentially expressed	0.0	0.825	1	0.3636
6	ENSG00000164442	CITED2	0.0006532	-3.409	--	Not differentially expressed	0.0	0.161	1	0.6884
9	ENSG00000236801	RPL24P8	0.6161	0.501	+-	Not differentially expressed	0.0	0.778	1	0.3778
7	ENSG00000250778	AC004980.4	0.7833	-0.275	-0	Not differentially expressed	0.0	0.113	1	0.7373
1	ENSG00000223375	AC096638.1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
1	ENSG00000143862	ARL8A	0.08109	-1.744	--	Not differentially expressed	71.5	3.512	1	0.06091
4	ENSG00000250361	GYPB	0.2759	-1.09	+-	Not differentially expressed	0.0	0.89	1	0.3456
2	ENSG00000241635	UGT1A1	0.6742	0.42	-+	Not differentially expressed	0.0	0.624	1	0.4295
17	ENSG00000173894	CBX2	0.6166	0.501	++	Not differentially expressed	0.0	0.01	1	0.9202
9	ENSG00000165060	FXN	0.8605	-0.176	-+	Not differentially expressed	77.4	4.432	1	0.03527
15	ENSG00000215296	TMCO5B	0.3392	0.956	-+	Not differentially expressed	82.0	5.566	1	0.01831
6	ENSG00000198945	L3MBTL3	0.476	-0.713	-+	Not differentially expressed	0.0	0.896	1	0.3438
7	ENSG00000226857	DUTP3	0.8508	0.188	++	Not differentially expressed	0.0	0.008	1	0.9305
6	ENSG00000274997	HIST1H2AH	0.04191	2.034	-+	Not differentially expressed	67.0	3.033	1	0.08159
1	ENSG00000116191	RALGPS2	0.3973	0.846	+-	Not differentially expressed	68.4	3.166	1	0.07519
12	ENSG00000283542	OASL2P	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
4	ENSG00000071127	WDR1	7.07e-07	4.959	++	Upregulated in AD	88.3	8.527	1	0.003499
6	ENSG00000096264	NCR2	0.5736	-0.563	-0	Not differentially expressed	0.0	0.471	1	0.4925
19	ENSG00000104888	SLC17A7	0.02015	-2.324	--	Not differentially expressed	0.0	0.742	1	0.3892
2	ENSG00000019169	MARCO	4.447e-06	4.589	++	Not differentially expressed	83.2	5.949	1	0.01473
1	ENSG00000224261	RPSAP18	0.713	0.368	++	Not differentially expressed	0.0	0.198	1	0.6564
6	ENSG00000125337	KIF25	0.1824	-1.333	--	Not differentially expressed	0.0	0.681	1	0.4092
11	ENSG00000133789	SWAP70	4.483e-09	5.865	++	Upregulated in AD	85.4	6.855	1	0.008839
6	ENSG00000227057	WDR46	0.424	-0.8	--	Not differentially expressed	0.0	0.092	1	0.7617
2	ENSG00000135913	USP37	0.06215	1.865	++	Not differentially expressed	0.0	0.104	1	0.7466
7	ENSG00000075624	ACTB	0.002159	-3.067	--	Not differentially expressed	92.1	12.626	1	0.0003805
9	ENSG00000165105	RASEF	0.05384	1.928	++	Not differentially expressed	0.0	0.377	1	0.5392
17	ENSG00000280852	AC025048.6	0.4297	0.79	++	Not differentially expressed	0.0	0.081	1	0.7764
9	ENSG00000176386	CDC26	0.07346	1.79	++	Not differentially expressed	59.5	2.468	1	0.1162
19	ENSG00000170848	PSG6	0.006717	-2.711	--	Not differentially expressed	83.1	5.912	1	0.01504
11	ENSG00000178301	AQP11	0.006319	-2.731	--	Not differentially expressed	0.0	0.012	1	0.9127
2	ENSG00000238111	AC066692.1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
1	ENSG00000088035	ALG6	0.001299	-3.216	--	Not differentially expressed	74.5	3.921	1	0.0477
X	ENSG00000225008	AC234781.2	0.7048	0.379	+0	Not differentially expressed	0.0	0.213	1	0.6441
18	ENSG00000101680	LAMA1	0.02641	2.22	++	Not differentially expressed	0.0	0.301	1	0.5832
13	ENSG00000215572	ESRRAP1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
7	ENSG00000078319	PMS2P1	4.84e-05	-4.063	--	Not differentially expressed	84.5	6.464	1	0.01101
16	ENSG00000215154	AC141586.1	0.7587	0.307	-+	Not differentially expressed	13.9	1.162	1	0.2811
3	ENSG00000241319	SETP6	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
7	ENSG00000225935	BANF1P5	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
14	ENSG00000211951	IGHV2-26	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
5	ENSG00000253897	AC034205.2	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
12	ENSG00000136048	DRAM1	0.05437	1.924	++	Not differentially expressed	0.0	0.723	1	0.3951
17	ENSG00000179593	ALOX15B	0.01204	2.511	++	Not differentially expressed	0.0	0.2	1	0.6545
10	ENSG00000166224	SGPL1	0.001493	3.176	++	Not differentially expressed	41.1	1.699	1	0.1924
1	ENSG00000080947	CROCCP3	0.5715	-0.566	-+	Not differentially expressed	56.6	2.304	1	0.1291
6	ENSG00000130349	C6orf203	0.7748	-0.286	-+	Not differentially expressed	18.9	1.233	1	0.2668
17	ENSG00000185294	SPPL2C	0.7203	-0.358	--	Not differentially expressed	0.0	0.002	1	0.9649
11	ENSG00000110011	DNAJC4	0.08072	-1.747	-+	Not differentially expressed	93.1	14.555	1	0.0001361
X	ENSG00000198573	SPANXC	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
19	ENSG00000213777	AC011487.1	0.8131	-0.236	-+	Not differentially expressed	0.0	0.651	1	0.4197
22	ENSG00000188636	RTL6	0.6866	0.403	+-	Not differentially expressed	0.0	0.403	1	0.5258
17	ENSG00000231645	KRT17P6	9.133e-05	-3.913	--	Not differentially expressed	86.6	7.49	1	0.006204
5	ENSG00000085365	SCAMP1	0.2116	-1.249	--	Not differentially expressed	0.0	0.589	1	0.4428
6	ENSG00000218986	AL136087.1	0.3215	-0.991	-0	Not differentially expressed	31.6	1.462	1	0.2266
9	ENSG00000148082	SHC3	0.01717	-2.383	--	Not differentially expressed	27.6	1.381	1	0.2399
X	ENSG00000232582	AC234771.3	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
5	ENSG00000135083	CCNJL	0.01374	2.464	++	Not differentially expressed	20.2	1.253	1	0.263
10	ENSG00000232075	MRPL35P2	0.9361	-0.08	-0	Not differentially expressed	0.0	0.01	1	0.9221
7	ENSG00000227910	AC092634.4	0.01625	2.403	++	Not differentially expressed	33.8	1.511	1	0.219
17	ENSG00000196859	KRT39	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
7	ENSG00000230626	AC011005.1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
19	ENSG00000197405	C5AR1	0.1404	1.474	++	Not differentially expressed	0.0	0.055	1	0.8144
13	ENSG00000279124	AL356585.2	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
11	ENSG00000173465	SSSCA1	0.07314	-1.792	--	Not differentially expressed	6.6	1.07	1	0.3008
3	ENSG00000237806	FAUP2	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
11	ENSG00000110079	MS4A4A	0.01584	2.413	++	Not differentially expressed	0.0	0.439	1	0.5076
X	ENSG00000123165	ACTRT1	0.6705	0.425	+0	Not differentially expressed	0.0	0.269	1	0.6038
3	ENSG00000271711	AC069236.1	0.4011	0.84	++	Not differentially expressed	0.0	0.069	1	0.7927
17	ENSG00000161940	BCL6B	0.000286	3.628	++	Not differentially expressed	0.0	0.09	1	0.7641
7	ENSG00000129103	SUMF2	5.452e-05	-4.035	--	Not differentially expressed	94.1	17.087	1	3.57e-05
3	ENSG00000163602	RYBP	0.3764	0.884	++	Not differentially expressed	0.0	0.586	1	0.444
19	ENSG00000130813	C19orf66	0.02091	-2.31	--	Not differentially expressed	0.0	0.694	1	0.4049
5	ENSG00000250420	AACSP1	0.08332	-1.732	--	Not differentially expressed	22.3	1.287	1	0.2566
19	ENSG00000130244	FAM98C	0.0009209	-3.314	--	Not differentially expressed	89.0	9.117	1	0.002532
X	ENSG00000165182	CXorf58	0.3095	1.016	++	Not differentially expressed	0.0	0.511	1	0.4745
9	ENSG00000156345	CDK20	0.02001	-2.326	--	Not differentially expressed	0.0	0.185	1	0.6669
X	ENSG00000231164	RPL7P56	0.91	0.113	+0	Not differentially expressed	0.0	0.019	1	0.8904
8	ENSG00000183309	ZNF623	0.1489	-1.443	--	Not differentially expressed	0.0	0.001	1	0.9764
12	ENSG00000123338	NCKAP1L	0.471	0.721	-+	Not differentially expressed	91.4	11.562	1	0.0006732
2	ENSG00000063660	GPC1	0.01162	-2.524	--	Not differentially expressed	0.0	0.93	1	0.3348
18	ENSG00000264845	AC119868.1	0.3034	1.029	+-	Not differentially expressed	43.7	1.775	1	0.1827
4	ENSG00000164089	ETNPPL	0.7547	-0.312	+-	Not differentially expressed	0.0	0.565	1	0.4522
X	ENSG00000203952	CCDC160	8.674e-09	5.755	++	Upregulated in AD	90.9	11.012	1	0.000905
14	ENSG00000100490	CDKL1	0.0614	1.871	++	Not differentially expressed	57.2	2.336	1	0.1264
4	ENSG00000223569	USP17L15	0.6465	0.459	+-	Not differentially expressed	28.2	1.393	1	0.2379
14	ENSG00000165410	CFL2	0.2024	-1.275	--	Not differentially expressed	51.9	2.081	1	0.1491
17	ENSG00000186868	MAPT	0.8534	-0.185	+-	Not differentially expressed	0.0	0.356	1	0.5508
11	ENSG00000257101	LRRC37A13P	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
2	ENSG00000144580	CNOT9	0.3261	-0.982	-+	Not differentially expressed	77.4	4.424	1	0.03544
16	ENSG00000156858	PRR14	0.2959	-1.045	-+	Not differentially expressed	87.3	7.887	1	0.00498
20	ENSG00000100997	ABHD12	0.003272	-2.941	--	Not differentially expressed	79.6	4.911	1	0.02668
22	ENSG00000100003	SEC14L2	0.004052	2.874	++	Not differentially expressed	0.0	0.945	1	0.3311
7	ENSG00000262648	PHBP15	0.9047	-0.12	-0	Not differentially expressed	0.0	0.021	1	0.884
17	ENSG00000091622	PITPNM3	0.002608	-3.01	--	Not differentially expressed	43.0	1.755	1	0.1853
7	ENSG00000233523	PHBP5	0.3932	0.854	++	Not differentially expressed	0.0	0.565	1	0.4524
15	ENSG00000058335	RASGRF1	8.996e-05	-3.916	--	Not differentially expressed	78.5	4.656	1	0.03094
X	ENSG00000165175	MID1IP1	0.0009795	3.296	++	Not differentially expressed	0.0	0.121	1	0.7282
2	ENSG00000115694	STK25	1.861e-05	-4.281	--	Not differentially expressed	84.8	6.577	1	0.01033
6	ENSG00000204231	RXRB	0.9614	-0.048	+-	Not differentially expressed	0.0	0.083	1	0.7739
5	ENSG00000113211	PCDHB6	0.01372	2.465	++	Not differentially expressed	87.8	8.167	1	0.004267
6	ENSG00000272162	AL024498.2	0.6497	-0.454	--	Not differentially expressed	0.0	0.003	1	0.9536
4	ENSG00000152208	GRID2	0.01142	-2.53	--	Not differentially expressed	0.0	0.0	1	0.9933
14	ENSG00000187790	FANCM	0.008052	-2.65	--	Not differentially expressed	0.0	0.011	1	0.9151
12	ENSG00000174206	C12orf66	0.8078	0.243	+-	Not differentially expressed	0.0	0.097	1	0.756
X	ENSG00000130119	GNL3L	0.1733	1.362	++	Not differentially expressed	53.9	2.172	1	0.1406
10	ENSG00000122376	SHLD2	0.009969	2.577	+-	Not differentially expressed	91.0	11.064	1	0.0008802
19	ENSG00000229833	PET100	0.006049	-2.745	--	Not differentially expressed	70.6	3.396	1	0.06535
17	ENSG00000176108	CHMP6	0.2056	-1.266	-+	Not differentially expressed	83.9	6.226	1	0.01259
15	ENSG00000182405	PGBD4	0.6021	0.521	-+	Not differentially expressed	48.0	1.923	1	0.1655
10	ENSG00000130649	CYP2E1	5.503e-05	-4.033	--	Not differentially expressed	20.9	1.264	1	0.2609
5	ENSG00000253144	AC104117.2	0.487	-0.695	-0	Not differentially expressed	0.0	0.719	1	0.3966
11	ENSG00000255190	TRIM51DP	0.2058	1.265	++	Not differentially expressed	0.0	0.153	1	0.6954
10	ENSG00000165424	ZCCHC24	0.3087	1.018	-+	Not differentially expressed	66.2	2.96	1	0.08535
11	ENSG00000149823	VPS51	0.0002868	-3.627	--	Not differentially expressed	71.6	3.516	1	0.06076
15	ENSG00000140285	FGF7	0.04591	-1.996	--	Not differentially expressed	0.0	0.379	1	0.5383
19	ENSG00000240231	RPS27P29	0.7715	-0.29	-0	Not differentially expressed	0.0	0.125	1	0.7232
9	ENSG00000054148	PHPT1	0.1422	-1.468	-+	Not differentially expressed	74.9	3.978	1	0.0461
12	ENSG00000175189	INHBC	0.3837	-0.871	-0	Not differentially expressed	11.4	1.129	1	0.288
2	ENSG00000088205	DDX18	0.9288	-0.089	+-	Not differentially expressed	72.4	3.622	1	0.05703
12	ENSG00000121316	PLBD1	0.003274	2.941	++	Not differentially expressed	0.0	0.072	1	0.7886
18	ENSG00000239689	RPL17P46	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
14	ENSG00000151320	AKAP6	0.0421	-2.033	--	Not differentially expressed	0.0	0.418	1	0.5181
6	ENSG00000171462	DLK2	1.137e-05	-4.389	--	Not differentially expressed	53.5	2.151	1	0.1425
9	ENSG00000165030	NFIL3	0.03319	2.13	++	Not differentially expressed	0.0	0.824	1	0.3639
12	ENSG00000256852	KNOP1P1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
1	ENSG00000162714	ZNF496	0.7372	-0.336	-+	Not differentially expressed	0.0	0.181	1	0.6701
7	ENSG00000184616	SPDYE12P	0.08207	-1.739	-+	Not differentially expressed	88.1	8.435	1	0.00368
14	ENSG00000211797	TRAV17	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
6	ENSG00000112245	PTP4A1	0.03728	-2.083	--	Not differentially expressed	0.0	0.159	1	0.6902
15	ENSG00000128881	TTBK2	0.1398	-1.477	+-	Not differentially expressed	63.6	2.75	1	0.09723
4	ENSG00000181004	BBS12	0.7309	-0.344	+-	Not differentially expressed	71.6	3.524	1	0.06049
1	ENSG00000142583	SLC2A5	0.8364	0.206	-+	Not differentially expressed	80.6	5.148	1	0.02327
4	ENSG00000152591	DSPP	0.4784	-0.709	-0	Not differentially expressed	0.0	0.747	1	0.3873
1	ENSG00000090621	PABPC4	0.01543	-2.422	-+	Not differentially expressed	94.5	18.234	1	1.953e-05
1	ENSG00000143578	CREB3L4	0.6854	0.405	-+	Not differentially expressed	60.1	2.504	1	0.1136
5	ENSG00000131183	SLC34A1	0.7056	0.378	0+	Not differentially expressed	0.0	0.096	1	0.7567
8	ENSG00000034239	EFCAB1	0.6345	-0.475	--	Not differentially expressed	0.0	0.254	1	0.6144
11	ENSG00000137500	CCDC90B	0.5827	0.549	-+	Not differentially expressed	0.0	0.274	1	0.6005
1	ENSG00000143387	CTSK	0.1508	1.437	+-	Not differentially expressed	93.5	15.373	1	8.822e-05
9	ENSG00000136854	STXBP1	0.004199	-2.863	--	Not differentially expressed	0.0	0.637	1	0.4248
5	ENSG00000240436	AC114982.1	0.1537	1.427	++	Not differentially expressed	0.0	0.002	1	0.9669
11	ENSG00000173992	CCS	0.0002165	-3.699	--	Not differentially expressed	93.4	15.163	1	9.864e-05
3	ENSG00000160746	ANO10	0.4622	0.735	+-	Not differentially expressed	87.8	8.188	1	0.004216
1	ENSG00000197747	S100A10	8.458e-06	4.453	++	Not differentially expressed	30.2	1.433	1	0.2313
12	ENSG00000257758	KRT18P20	0.7173	-0.362	-0	Not differentially expressed	0.0	0.195	1	0.6588
5	ENSG00000145850	TIMD4	0.4691	-0.724	-0	Not differentially expressed	0.0	0.779	1	0.3773
14	ENSG00000174373	RALGAPA1	0.6322	-0.479	+-	Not differentially expressed	0.0	0.363	1	0.5471
14	ENSG00000186910	SERPINA11	0.1966	-1.291	-0	Not differentially expressed	59.7	2.48	1	0.1153
3	ENSG00000114805	PLCH1	0.003727	-2.9	--	Not differentially expressed	8.5	1.093	1	0.2959
8	ENSG00000167701	GPT	0.668	0.429	++	Not differentially expressed	0.0	0.033	1	0.8565
12	ENSG00000123096	SSPN	5.054e-05	4.053	++	Not differentially expressed	76.2	4.204	1	0.04033
