gene_name	Marques-Coelho_MSSB_BA44	Panitch_et_al	Fischer_et_al	Marques-Coelho_MSSB_BA10	Marques-Coelho_ROSMAP	upregulated_count	downregulated_count
ARAP1-AS2	missing	upregulated	missing	missing	missing	1	0
ARAP2	missing	missing	upregulated	missing	missing	1	0
ARF5	missing	missing	downregulated	missing	missing	0	1
ARHGAP29	missing	missing	upregulated	missing	missing	1	0
ARHGAP31	missing	missing	upregulated	missing	missing	1	0
ARHGAP5	missing	missing	upregulated	missing	missing	1	0
ARHGDIA	missing	missing	downregulated	missing	missing	0	1
ARHGEF10L	missing	upregulated	missing	missing	missing	1	0
ARHGEF26	missing	missing	upregulated	missing	missing	1	0
ARHGEF40	missing	upregulated	missing	missing	missing	1	0
ARHGEF6	missing	missing	upregulated	missing	missing	1	0
ARHGEF9-IT1	missing	downregulated	missing	missing	missing	0	1
ARID2	missing	missing	upregulated	missing	missing	1	0
ARK2C	missing	downregulated	missing	missing	missing	0	1
ARL16	missing	missing	downregulated	missing	missing	0	1
ARL17B	upregulated	missing	missing	missing	missing	1	0
ARL4D	downregulated	missing	downregulated	missing	missing	0	2
ARMC3	upregulated	missing	missing	missing	missing	1	0
ARMCX5-GPRASP2	missing	downregulated	missing	missing	missing	0	1
ARPC3P1	upregulated	missing	missing	missing	missing	1	0
ARPC5L	missing	missing	downregulated	missing	missing	0	1
ARRDC2	missing	upregulated	missing	missing	upregulated	2	0
ARSG	missing	downregulated	missing	missing	missing	0	1
ARSJ	missing	missing	upregulated	missing	missing	1	0
ARSK	missing	missing	upregulated	missing	missing	1	0
ARSL	missing	upregulated	missing	missing	missing	1	0
ART4	missing	upregulated	missing	missing	missing	1	0
ASB5	downregulated	missing	missing	missing	missing	0	1
ASCC3	missing	missing	upregulated	missing	missing	1	0
ASCL1	missing	upregulated	upregulated	missing	missing	2	0
ASF1B	upregulated	missing	missing	missing	missing	1	0
ASMTL	missing	missing	downregulated	missing	missing	0	1
ASPH	missing	missing	upregulated	missing	missing	1	0
ASPHD1	missing	missing	downregulated	missing	missing	0	1
ASTL	missing	missing	missing	missing	downregulated	0	1
ASXL2	missing	missing	upregulated	missing	missing	1	0
ATAD1	missing	downregulated	missing	missing	missing	0	1
ATAD2B	missing	missing	upregulated	missing	missing	1	0
ATF1	missing	missing	upregulated	missing	missing	1	0
ATF7-NPFF	missing	upregulated	missing	missing	missing	1	0
ATF7IP	missing	missing	upregulated	missing	missing	1	0
ATF7IP2	missing	downregulated	missing	missing	missing	0	1
ATOH7	downregulated	missing	missing	downregulated	missing	0	2
ATOH8	upregulated	upregulated	upregulated	missing	missing	3	0
ATOSA	missing	missing	upregulated	missing	missing	1	0
ATOX1	missing	missing	downregulated	missing	missing	0	1
ATP10A	missing	missing	upregulated	missing	missing	1	0
ATP10D	missing	missing	upregulated	missing	missing	1	0
ATP11C	missing	missing	upregulated	missing	missing	1	0
ATP12A	missing	missing	missing	missing	downregulated	0	1
ATP13A2	missing	missing	downregulated	missing	missing	0	1
ATP13A4	missing	missing	upregulated	missing	missing	1	0
ATP13A5	missing	missing	upregulated	missing	missing	1	0
ATP2C2-AS1	missing	downregulated	missing	missing	missing	0	1
ATP5IF1	missing	missing	downregulated	missing	missing	0	1
ATP5MC1	missing	missing	downregulated	missing	missing	0	1
ATP5ME	missing	missing	downregulated	missing	missing	0	1
ATP5MG	missing	missing	downregulated	missing	missing	0	1
ATP5PB	missing	downregulated	downregulated	missing	missing	0	2
ATP6AP1	missing	missing	downregulated	missing	missing	0	1
ATP6AP2	missing	downregulated	missing	missing	missing	0	1
ATP6V0B	missing	missing	downregulated	missing	missing	0	1
ATP6V0D1	missing	missing	downregulated	missing	missing	0	1
ATP6V0E1	missing	downregulated	missing	missing	missing	0	1
ATP6V1D	missing	downregulated	downregulated	missing	missing	0	2
ATP6V1E1	missing	downregulated	downregulated	missing	missing	0	2
ATP7B	missing	missing	upregulated	missing	missing	1	0
ATP8B2	missing	missing	upregulated	missing	missing	1	0
AXIN1	missing	upregulated	missing	missing	missing	1	0
AZGP1	missing	upregulated	missing	missing	upregulated	2	0
AZGP1P1	missing	missing	missing	missing	upregulated	1	0
AZIN2	missing	missing	downregulated	missing	missing	0	1
B2M	missing	missing	missing	missing	upregulated	1	0
B3GALNT1	missing	downregulated	missing	missing	missing	0	1
B3GALT5-AS1	missing	upregulated	missing	missing	missing	1	0
B3GNTL1	missing	missing	downregulated	missing	missing	0	1
B4GALT7	missing	missing	downregulated	missing	missing	0	1
B9D1	missing	downregulated	missing	missing	missing	0	1
BABAM2	missing	missing	downregulated	missing	missing	0	1
BABAM2-AS1	missing	downregulated	missing	missing	missing	0	1
BACE2	missing	missing	upregulated	missing	missing	1	0
BACH1	missing	missing	upregulated	missing	missing	1	0
BAG6	missing	missing	missing	upregulated	missing	1	0
BAIAP2L2	missing	missing	downregulated	missing	missing	0	1
BANF1	missing	missing	missing	upregulated	missing	1	0
BAZ1A-AS1	missing	upregulated	missing	missing	missing	1	0
BAZ1B	missing	upregulated	upregulated	missing	missing	2	0
BAZ2A	missing	missing	upregulated	missing	missing	1	0
BAZ2B	missing	missing	upregulated	missing	missing	1	0
BBOF1	missing	downregulated	missing	missing	missing	0	1
BBS2	missing	missing	upregulated	missing	missing	1	0
BBS7-DT	missing	downregulated	missing	missing	missing	0	1
BBS9	missing	missing	upregulated	missing	missing	1	0
BBX	missing	missing	upregulated	missing	missing	1	0
BCAS2	missing	downregulated	missing	missing	missing	0	1
BCAT2	missing	upregulated	missing	missing	missing	1	0
BCDIN3D-AS1	missing	downregulated	missing	missing	missing	0	1
BCKDK	missing	missing	downregulated	missing	missing	0	1
BCL2	missing	missing	upregulated	missing	missing	1	0
BCL2L1-AS1	missing	upregulated	missing	missing	missing	1	0
BCL6	missing	missing	missing	upregulated	missing	1	0
BCORL1	missing	missing	upregulated	missing	missing	1	0
BDH1	missing	downregulated	missing	missing	missing	0	1
BDNF	downregulated	missing	missing	downregulated	missing	0	2
BDNF-AS	missing	downregulated	missing	missing	missing	0	1
BEND5	missing	missing	downregulated	missing	missing	0	1
BEND7-DT	missing	upregulated	missing	missing	missing	1	0
BEX2	missing	downregulated	downregulated	missing	missing	0	2
BEX3	missing	downregulated	downregulated	missing	missing	0	2
BEX4	missing	downregulated	missing	missing	missing	0	1
BFSP1	missing	downregulated	missing	missing	missing	0	1
BIRC7	missing	missing	missing	missing	upregulated	1	0
BMP1	missing	upregulated	missing	missing	missing	1	0
BMP2K	missing	missing	upregulated	missing	missing	1	0
BMPR1A	missing	missing	upregulated	missing	missing	1	0
BMPR1B	missing	missing	upregulated	missing	missing	1	0
BNIP2	missing	missing	upregulated	missing	missing	1	0
BNIP3P10	upregulated	missing	missing	missing	missing	1	0
BNIP3P42	upregulated	missing	missing	missing	missing	1	0
BNIP5	missing	missing	missing	missing	downregulated	0	1
BOLA3	missing	missing	downregulated	missing	missing	0	1
BRD10	missing	missing	upregulated	missing	missing	1	0
BRD3OS	missing	upregulated	missing	missing	missing	1	0
BRD7	missing	upregulated	missing	missing	missing	1	0
BRD7P4	upregulated	missing	missing	missing	missing	1	0
BRD9	missing	missing	downregulated	missing	missing	0	1
BRF2	missing	missing	downregulated	missing	missing	0	1
BRK1	missing	missing	downregulated	missing	missing	0	1
BRWD1-AS1	missing	downregulated	missing	missing	missing	0	1
BRWD3	missing	missing	upregulated	missing	missing	1	0
BTAF1	missing	missing	upregulated	missing	missing	1	0
BTBD7	missing	upregulated	upregulated	missing	missing	2	0
BTF3L4	missing	downregulated	missing	missing	missing	0	1
BTG1	missing	missing	upregulated	missing	missing	1	0
BTNL9	missing	missing	upregulated	missing	missing	1	0
BYSL	missing	missing	downregulated	missing	missing	0	1
BZW2	missing	downregulated	downregulated	missing	missing	0	2
C10orf105	upregulated	missing	missing	upregulated	missing	2	0
C11orf87	missing	downregulated	missing	missing	missing	0	1
C12orf42	downregulated	missing	missing	missing	missing	0	1
C15orf39	missing	upregulated	missing	missing	missing	1	0
C17orf58	missing	downregulated	missing	missing	missing	0	1
C1D	missing	downregulated	missing	missing	missing	0	1
C1QL3	missing	missing	missing	missing	downregulated	0	1
C1QTNF5	missing	upregulated	missing	missing	missing	1	0
C1orf87	upregulated	missing	missing	missing	missing	1	0
C2CD5-AS1	missing	downregulated	missing	missing	missing	0	1
C2orf80	downregulated	downregulated	missing	downregulated	missing	0	3
C2orf83	upregulated	missing	missing	missing	missing	1	0
C3orf80	downregulated	downregulated	missing	downregulated	missing	0	3
C4A	missing	upregulated	missing	missing	missing	1	0
C4B	upregulated	upregulated	missing	upregulated	missing	3	0
C4orf19	missing	upregulated	missing	missing	missing	1	0
C4orf33	missing	downregulated	missing	missing	missing	0	1
C5orf22	missing	downregulated	missing	missing	missing	0	1
C6orf118	upregulated	missing	missing	upregulated	missing	2	0
C7orf50	missing	missing	downregulated	missing	missing	0	1
C8orf44	missing	downregulated	missing	missing	missing	0	1
C8orf58	missing	upregulated	missing	missing	missing	1	0
C8orf90	missing	missing	missing	missing	downregulated	0	1
CA11	missing	missing	downregulated	missing	missing	0	1
CA12	missing	missing	missing	missing	downregulated	0	1
CAB39L	missing	upregulated	upregulated	missing	missing	2	0
CACNA2D1-AS1	missing	downregulated	missing	missing	missing	0	1
CADM1	missing	missing	upregulated	missing	missing	1	0
CALD1	missing	upregulated	missing	missing	missing	1	0
CALM3	missing	missing	downregulated	missing	missing	0	1
CALML3	missing	missing	missing	missing	downregulated	0	1
CAMKK2	missing	downregulated	missing	missing	missing	0	1
CAPN2	missing	missing	upregulated	missing	missing	1	0
CAPN7	missing	missing	upregulated	missing	missing	1	0
CAPS	upregulated	missing	missing	missing	missing	1	0
CAPZB	missing	missing	downregulated	missing	missing	0	1
CARHSP1-DT	missing	upregulated	missing	missing	missing	1	0
CARMIL1	missing	missing	upregulated	missing	missing	1	0
CARTPT	missing	missing	missing	missing	downregulated	0	1
CASC3	missing	upregulated	missing	missing	missing	1	0
CASKIN2	missing	upregulated	missing	missing	missing	1	0
CASP12	missing	missing	missing	missing	upregulated	1	0
CAVIN1	missing	upregulated	missing	missing	missing	1	0
CBL	missing	missing	upregulated	missing	missing	1	0
CBLN4	downregulated	downregulated	missing	missing	downregulated	0	3
CBX1P2	upregulated	missing	missing	missing	missing	1	0
CBX1P3	missing	missing	missing	missing	upregulated	1	0
CBX5	missing	upregulated	missing	missing	missing	1	0
CC2D1B	missing	upregulated	missing	missing	missing	1	0
CCDC102A	missing	upregulated	missing	missing	upregulated	2	0
CCDC115	missing	downregulated	missing	missing	missing	0	1
CCDC13	downregulated	missing	missing	missing	missing	0	1
CCDC160	missing	upregulated	upregulated	missing	missing	2	0
CCDC163	missing	missing	upregulated	missing	missing	1	0
CCDC166	missing	missing	missing	missing	downregulated	0	1
CCDC184	downregulated	missing	missing	missing	missing	0	1
CCDC69	missing	upregulated	missing	missing	missing	1	0
CCDC78	missing	missing	downregulated	missing	missing	0	1
CCDC85C	missing	upregulated	missing	missing	missing	1	0
CCDC97	missing	upregulated	missing	missing	missing	1	0
CCKBR	downregulated	downregulated	downregulated	missing	missing	0	3
CCL2	missing	upregulated	missing	missing	missing	1	0
CCL3L3	missing	missing	missing	missing	downregulated	0	1
CCN4	missing	upregulated	missing	missing	upregulated	2	0
CCNC	missing	downregulated	missing	missing	missing	0	1
CD109	upregulated	missing	missing	missing	missing	1	0
CD151	missing	upregulated	missing	missing	missing	1	0
CD177	missing	missing	missing	upregulated	missing	1	0
CD200	missing	downregulated	missing	missing	missing	0	1
CD200R1	missing	missing	missing	downregulated	missing	0	1
CD2AP	missing	missing	upregulated	missing	missing	1	0
CD302	missing	missing	upregulated	missing	missing	1	0
CD37	upregulated	missing	missing	missing	missing	1	0
CD47	missing	downregulated	missing	missing	missing	0	1
CD48	missing	missing	missing	missing	upregulated	1	0
CD74	missing	missing	missing	upregulated	missing	1	0
CDA	missing	upregulated	missing	missing	missing	1	0
CDC42BPG	missing	missing	missing	missing	upregulated	1	0
CDC42EP4	missing	missing	upregulated	missing	missing	1	0
CDCP1	upregulated	missing	missing	missing	missing	1	0
CDH13-AS1	missing	downregulated	missing	missing	missing	0	1
CDH2	missing	missing	upregulated	missing	missing	1	0
CDH20	missing	missing	upregulated	missing	missing	1	0
CDH22	missing	missing	downregulated	missing	missing	0	1
CDH23-AS1	missing	upregulated	missing	missing	missing	1	0
CDH26	missing	upregulated	missing	missing	missing	1	0
CDH9	missing	downregulated	missing	missing	missing	0	1
CDIPT	missing	missing	downregulated	missing	missing	0	1
CDK12	missing	missing	upregulated	missing	missing	1	0
CDK16	missing	missing	downregulated	missing	missing	0	1
CDK18	missing	upregulated	missing	missing	missing	1	0
CDK2AP1	missing	upregulated	missing	missing	missing	1	0
CDK7	missing	missing	downregulated	missing	missing	0	1
CDKN2B	missing	missing	upregulated	missing	missing	1	0
CDKN2C	missing	upregulated	upregulated	missing	missing	2	0
CDPF1	missing	missing	downregulated	missing	missing	0	1
CDR1	missing	missing	missing	upregulated	missing	1	0
CDT1	missing	missing	downregulated	missing	missing	0	1
CEBPZOS	missing	missing	downregulated	missing	missing	0	1
CELF6	missing	downregulated	missing	missing	missing	0	1
CEMIP2	missing	missing	upregulated	missing	missing	1	0
CENPB	missing	upregulated	missing	missing	missing	1	0
CENPS-CORT	downregulated	downregulated	missing	missing	missing	0	2
CEP350	missing	missing	upregulated	missing	missing	1	0
CEP41	missing	downregulated	missing	missing	missing	0	1
CEP83-DT	missing	downregulated	missing	missing	missing	0	1
CERS4	missing	upregulated	missing	missing	missing	1	0
CES2	missing	missing	downregulated	missing	missing	0	1
CFAP221	missing	downregulated	missing	missing	missing	0	1
CFAP263	missing	downregulated	missing	missing	missing	0	1
CFAP418	missing	missing	upregulated	missing	missing	1	0
CFI	upregulated	missing	missing	upregulated	missing	2	0
CFL1	missing	missing	downregulated	missing	missing	0	1
CFLAR	missing	missing	upregulated	missing	missing	1	0
CGB7	missing	missing	missing	missing	downregulated	0	1
CGNL1	missing	upregulated	upregulated	upregulated	missing	3	0
CGREF1	missing	missing	downregulated	missing	missing	0	1
CHCHD2	missing	downregulated	downregulated	missing	missing	0	2
CHCHD6	missing	downregulated	downregulated	missing	missing	0	2
CHCHD7	missing	downregulated	downregulated	missing	missing	0	2
CHD1	missing	missing	upregulated	missing	missing	1	0
CHD4	missing	upregulated	missing	missing	missing	1	0
CHD5	missing	missing	downregulated	missing	missing	0	1
CHD7	missing	missing	upregulated	missing	missing	1	0
CHDH	missing	upregulated	upregulated	missing	missing	2	0
CHGB	missing	downregulated	missing	missing	downregulated	0	2
CHID1	missing	downregulated	downregulated	missing	missing	0	2
CHKB-CPT1B	upregulated	missing	missing	missing	missing	1	0
CHML	missing	downregulated	missing	missing	missing	0	1
CHMP4B	missing	missing	downregulated	missing	missing	0	1
CHORDC1	missing	downregulated	missing	missing	missing	0	1
CHP1	missing	missing	downregulated	missing	missing	0	1
CHPT1	missing	missing	upregulated	missing	missing	1	0
CHRAC1	missing	missing	missing	upregulated	missing	1	0
CHRM4	missing	missing	missing	missing	downregulated	0	1
CHRNA6	missing	missing	missing	missing	downregulated	0	1
CHST11	missing	missing	upregulated	missing	missing	1	0
CHST14	missing	upregulated	upregulated	missing	missing	2	0
CHST3	missing	missing	upregulated	missing	missing	1	0
CHST6	missing	upregulated	missing	missing	missing	1	0
CIAPIN1	missing	downregulated	downregulated	missing	missing	0	2
CINP	missing	missing	downregulated	missing	missing	0	1
CIP2A	missing	downregulated	missing	missing	missing	0	1
CIRBP-AS1	missing	downregulated	missing	missing	missing	0	1
CISD3	missing	missing	downregulated	missing	missing	0	1
CLBA1	missing	missing	downregulated	missing	missing	0	1
CLCA4	missing	missing	upregulated	missing	upregulated	2	0
CLCA4-AS1	missing	upregulated	missing	missing	missing	1	0
CLCNKA	missing	missing	missing	missing	upregulated	1	0
CLDN15	missing	upregulated	missing	missing	missing	1	0
CLDN7	missing	missing	missing	missing	upregulated	1	0
CLEC10A	missing	missing	missing	missing	upregulated	1	0
CLEC2L	missing	missing	downregulated	missing	missing	0	1
CLEC4E	missing	missing	upregulated	missing	missing	1	0
CLEC4F	missing	missing	missing	missing	downregulated	0	1
CLIP2	missing	upregulated	missing	missing	missing	1	0
CLMN	missing	upregulated	missing	missing	missing	1	0
CLN3	missing	upregulated	missing	missing	missing	1	0
CLPTM1	missing	missing	downregulated	missing	missing	0	1
CLTA	missing	missing	downregulated	missing	missing	0	1
CMAS	missing	downregulated	missing	missing	missing	0	1
CMSS1	missing	downregulated	downregulated	missing	missing	0	2
CMTM3	missing	upregulated	missing	missing	missing	1	0
CMTM4	missing	upregulated	missing	missing	missing	1	0
CNNM3	missing	missing	upregulated	missing	missing	1	0
CNNM3-DT	missing	upregulated	missing	missing	missing	1	0
CNOT1	missing	missing	upregulated	missing	missing	1	0
CNOT6	missing	missing	upregulated	missing	missing	1	0
CNTF	missing	missing	missing	missing	upregulated	1	0
CNTLN	missing	missing	upregulated	missing	missing	1	0
COA1	missing	downregulated	missing	missing	missing	0	1
COA3	missing	missing	downregulated	missing	missing	0	1
COBL	missing	upregulated	missing	missing	missing	1	0
COL26A1	missing	missing	downregulated	missing	missing	0	1
COL27A1	missing	upregulated	upregulated	missing	missing	2	0
COL5A3	missing	upregulated	missing	missing	missing	1	0
COL6A2-DT	missing	upregulated	missing	missing	missing	1	0
COL8A2	upregulated	missing	missing	missing	missing	1	0
COMMD9	missing	missing	downregulated	missing	missing	0	1
COPS6	missing	missing	downregulated	missing	missing	0	1
COPS7A	missing	downregulated	downregulated	missing	missing	0	2
CORT	downregulated	missing	missing	missing	missing	0	1
COX10-DT	missing	downregulated	missing	missing	missing	0	1
COX14	missing	missing	downregulated	missing	missing	0	1
COX15	missing	downregulated	missing	missing	missing	0	1
COX18	missing	downregulated	missing	missing	missing	0	1
COX6C	missing	missing	missing	downregulated	missing	0	1
CPAMD8	missing	downregulated	missing	missing	missing	0	1
CPM	missing	upregulated	upregulated	missing	missing	2	0
CPNE3	missing	missing	upregulated	missing	missing	1	0
CPNE7	missing	missing	downregulated	missing	missing	0	1
CPQ	missing	upregulated	missing	missing	missing	1	0
CPT1C	missing	missing	downregulated	missing	missing	0	1
CRB1	missing	missing	upregulated	missing	missing	1	0
CRB2	missing	upregulated	missing	missing	missing	1	0
CREBBP	missing	missing	upregulated	missing	missing	1	0
CREBRF	missing	missing	upregulated	missing	missing	1	0
CRELD1	missing	missing	downregulated	missing	missing	0	1
CRH	downregulated	downregulated	downregulated	downregulated	downregulated	0	5
CRHBP	missing	missing	downregulated	missing	missing	0	1
CRK	missing	upregulated	upregulated	missing	missing	2	0
CRKL	missing	missing	upregulated	missing	missing	1	0
CROT	missing	downregulated	missing	missing	missing	0	1
CRTAC1	missing	downregulated	missing	missing	missing	0	1
CRTAP	missing	upregulated	missing	missing	missing	1	0
CRY1	missing	missing	upregulated	missing	missing	1	0
CRY2	missing	missing	downregulated	missing	missing	0	1
CRYAB	missing	missing	missing	upregulated	missing	1	0
CRYZL1	missing	downregulated	missing	missing	missing	0	1
CSF1	missing	upregulated	missing	missing	missing	1	0
CSGALNACT1	missing	missing	upregulated	missing	missing	1	0
CSK	missing	upregulated	missing	missing	missing	1	0
CSKMT	missing	missing	downregulated	missing	missing	0	1
CSRNP1	missing	upregulated	upregulated	missing	missing	2	0
CSRP1	missing	missing	missing	missing	upregulated	1	0
CSRP1-AS1	missing	upregulated	missing	missing	missing	1	0
CTCF-DT	missing	upregulated	missing	missing	missing	1	0
CTDSP2	missing	upregulated	upregulated	missing	missing	2	0
CTDSPL	missing	missing	upregulated	missing	missing	1	0
CTF1	missing	upregulated	missing	missing	missing	1	0
CTNND1	missing	missing	upregulated	missing	missing	1	0
CTTNBP2	missing	missing	upregulated	missing	missing	1	0
CTXN1	missing	missing	downregulated	missing	missing	0	1
CUEDC2	missing	missing	downregulated	missing	missing	0	1
CXCL1	missing	missing	upregulated	missing	missing	1	0
CXCL6	missing	missing	missing	missing	upregulated	1	0
CXCL8	missing	missing	upregulated	missing	missing	1	0
CXCL9	upregulated	missing	missing	missing	upregulated	2	0
CXCR4	missing	upregulated	upregulated	missing	upregulated	3	0
CXCR6	upregulated	missing	missing	missing	missing	1	0
CXXC1	missing	upregulated	missing	missing	missing	1	0
CYB561	missing	missing	downregulated	missing	missing	0	1
CYB561A3	missing	upregulated	missing	missing	missing	1	0
CYP24A1	missing	missing	missing	missing	downregulated	0	1
CYP46A1	missing	missing	downregulated	missing	missing	0	1
CYP4B1	missing	missing	upregulated	missing	missing	1	0
CYRIA	missing	downregulated	missing	missing	missing	0	1
CYRIB	missing	downregulated	missing	missing	missing	0	1
CYTL1	missing	missing	missing	upregulated	upregulated	2	0
DACT2	upregulated	missing	missing	missing	missing	1	0
DAG1	missing	missing	upregulated	missing	missing	1	0
DAP3	missing	missing	downregulated	missing	missing	0	1
DAW1	missing	downregulated	missing	missing	missing	0	1
DAXX	missing	upregulated	missing	missing	missing	1	0
DBIL5P	missing	downregulated	missing	missing	missing	0	1
DBNL	missing	missing	downregulated	missing	missing	0	1
DBTP1	upregulated	missing	missing	missing	missing	1	0
DCAF16	missing	downregulated	missing	missing	missing	0	1
DCAF4	missing	missing	downregulated	missing	missing	0	1
DCHS1	missing	missing	upregulated	missing	missing	1	0
DCLK1	missing	downregulated	missing	missing	missing	0	1
DCLK3	missing	missing	missing	missing	downregulated	0	1
