gene_name	Annese_et_al	Magistry_et_al	Luo_et_al	van_Rooij_et_al	upregulated_count	downregulated_count
ADCY7	upregulated	missing	upregulated	missing	2	0
ADCY9	downregulated	missing	missing	missing	0	1
ADCYAP1	missing	missing	missing	downregulated	0	1
ADD2	downregulated	missing	missing	downregulated	0	2
ADGRA1	missing	missing	missing	downregulated	0	1
ADGRA1-AS1	missing	missing	upregulated	missing	1	0
ADGRB1	missing	missing	missing	downregulated	0	1
ADGRB2	downregulated	missing	downregulated	downregulated	0	3
ADGRB3	missing	missing	missing	downregulated	0	1
ADGRD1	upregulated	missing	missing	missing	1	0
ADGRE1	upregulated	missing	missing	missing	1	0
ADGRE2	upregulated	missing	missing	missing	1	0
ADGRE5	missing	missing	upregulated	missing	1	0
ADGRF3	missing	missing	upregulated	missing	1	0
ADGRF5	missing	missing	missing	upregulated	1	0
ADGRG2	downregulated	missing	missing	missing	0	1
ADGRG6	missing	missing	missing	upregulated	1	0
ADGRL4	missing	missing	missing	upregulated	1	0
ADIPOR2	upregulated	missing	missing	upregulated	2	0
ADISSP	missing	missing	upregulated	missing	1	0
ADM-DT	upregulated	missing	missing	missing	1	0
ADM5	missing	missing	downregulated	missing	0	1
ADORA3	upregulated	missing	missing	missing	1	0
ADPRHL1	missing	missing	upregulated	missing	1	0
ADPRM	missing	missing	upregulated	missing	1	0
ADPRS	missing	missing	upregulated	missing	1	0
ADRA1B	missing	missing	downregulated	downregulated	0	2
ADRA1D	downregulated	downregulated	missing	downregulated	0	3
ADRA2A	missing	missing	upregulated	downregulated	1	1
ADRA2B	missing	missing	missing	upregulated	1	0
ADRB1	missing	missing	upregulated	missing	1	0
ADRB2	missing	missing	upregulated	missing	1	0
ADRB3	missing	downregulated	missing	missing	0	1
ADTRP	downregulated	missing	missing	downregulated	0	2
AEBP1	upregulated	missing	missing	upregulated	2	0
AFAP1-AS1	downregulated	missing	missing	missing	0	1
AFAP1L1	missing	missing	missing	upregulated	1	0
AFF1-AS1	missing	missing	missing	upregulated	1	0
AFF2-IT1	downregulated	missing	missing	missing	0	1
AFF3	missing	missing	missing	downregulated	0	1
AFG3L2	downregulated	missing	missing	downregulated	0	2
AFTPH-DT	missing	missing	downregulated	missing	0	1
AGAP2-AS1	downregulated	missing	missing	downregulated	0	2
AGBL1-AS1	downregulated	missing	missing	missing	0	1
AGBL2	downregulated	missing	missing	missing	0	1
AGBL3	missing	missing	upregulated	missing	1	0
AGBL4-IT1	downregulated	missing	missing	downregulated	0	2
AGFG1	missing	missing	upregulated	missing	1	0
AGFG2	missing	missing	upregulated	missing	1	0
AGK-DT	missing	missing	missing	downregulated	0	1
AGL	missing	missing	downregulated	missing	0	1
AGMAT	missing	missing	missing	downregulated	0	1
AGMO	missing	missing	downregulated	missing	0	1
AGO2	missing	missing	missing	upregulated	1	0
AGO3	missing	missing	downregulated	upregulated	1	1
AGRN	upregulated	missing	downregulated	missing	1	1
AGTPBP1	missing	missing	upregulated	missing	1	0
AHDC1	missing	missing	upregulated	missing	1	0
AHI1-DT	missing	missing	upregulated	missing	1	0
AHNAK	missing	missing	missing	upregulated	1	0
AHNAK2	missing	missing	upregulated	missing	1	0
AHSA2P	missing	missing	missing	upregulated	1	0
AIFM3	missing	missing	upregulated	missing	1	0
AIG1	missing	missing	missing	downregulated	0	1
AIRN	missing	missing	missing	upregulated	1	0
AJM1	missing	missing	upregulated	missing	1	0
AJUBA-DT	missing	missing	missing	upregulated	1	0
AK5	downregulated	missing	missing	downregulated	0	2
AK7	downregulated	missing	missing	missing	0	1
AK9	missing	missing	upregulated	missing	1	0
AKAIN1	downregulated	missing	missing	missing	0	1
AKAP5	downregulated	missing	missing	downregulated	0	2
AKIRIN2	missing	missing	upregulated	missing	1	0
AKR1C1	missing	missing	missing	upregulated	1	0
AKR1C2	upregulated	missing	missing	upregulated	2	0
AKR1C3	missing	missing	missing	upregulated	1	0
AKR7A3	missing	missing	upregulated	missing	1	0
AKT1S1	missing	missing	downregulated	missing	0	1
ALDH16A1	missing	missing	upregulated	missing	1	0
ALDH1A3-AS1	downregulated	missing	missing	missing	0	1
ALDH1L1-AS1	missing	missing	upregulated	missing	1	0
ALDH3B1	missing	missing	upregulated	missing	1	0
ALDH4A1	missing	missing	upregulated	missing	1	0
ALDH5A1	missing	missing	missing	downregulated	0	1
ALDH8A1	missing	missing	missing	upregulated	1	0
ALDOC-AS1	missing	missing	upregulated	downregulated	1	1
ALG1L1P	missing	upregulated	missing	downregulated	1	1
ALKBH7	missing	missing	upregulated	missing	1	0
ALOX12B	missing	missing	missing	downregulated	0	1
ALOX15B	upregulated	missing	missing	upregulated	2	0
ALOX5	upregulated	missing	missing	missing	1	0
ALOX5AP	upregulated	missing	upregulated	missing	2	0
ALPK1	downregulated	missing	missing	missing	0	1
ALPK3	downregulated	missing	missing	missing	0	1
ALPL	missing	missing	upregulated	missing	1	0
ALX4	missing	missing	missing	upregulated	1	0
AMDHD2	missing	missing	upregulated	missing	1	0
AMER2	upregulated	missing	missing	missing	1	0
AMER3	missing	missing	missing	downregulated	0	1
AMIGO1	downregulated	missing	missing	downregulated	0	2
AMN1	missing	missing	upregulated	downregulated	1	1
AMPH	downregulated	missing	missing	downregulated	0	2
AMY2A	downregulated	missing	missing	missing	0	1
AMY2B	missing	missing	downregulated	missing	0	1
ANAPC11	missing	missing	upregulated	missing	1	0
ANAPC16	missing	missing	missing	upregulated	1	0
ANAPC2	missing	missing	downregulated	missing	0	1
ANAPC4	missing	missing	upregulated	missing	1	0
ANG	missing	missing	upregulated	upregulated	2	0
ANGPT1	missing	missing	missing	upregulated	1	0
ANGPT2	missing	missing	missing	upregulated	1	0
ANGPTL4	upregulated	missing	missing	missing	1	0
ANGPTL5	missing	upregulated	missing	missing	1	0
ANK1	missing	missing	missing	downregulated	0	1
ANKAR	missing	missing	upregulated	missing	1	0
ANKDD1B	downregulated	missing	missing	missing	0	1
ANKFN1	missing	missing	upregulated	missing	1	0
ANKHD1-EIF4EBP3	missing	missing	upregulated	missing	1	0
ANKMY2	missing	missing	missing	downregulated	0	1
ANKRD10-IT1	missing	missing	missing	upregulated	1	0
ANKRD18A	upregulated	missing	downregulated	missing	1	1
ANKRD18B	upregulated	missing	missing	upregulated	2	0
ANKRD20A3P	missing	missing	upregulated	missing	1	0
ANKRD22	upregulated	missing	upregulated	missing	2	0
ANKRD24	missing	missing	missing	downregulated	0	1
ANKRD26	missing	missing	upregulated	missing	1	0
ANKRD26P3	downregulated	missing	missing	missing	0	1
ANKRD29	missing	missing	missing	downregulated	0	1
ANKRD33B-AS1	downregulated	missing	missing	missing	0	1
ANKRD34A	missing	missing	missing	downregulated	0	1
ANKRD34B	missing	missing	missing	downregulated	0	1
ANKRD39	missing	missing	missing	downregulated	0	1
ANKRD40CL	upregulated	missing	missing	upregulated	2	0
ANKRD42-DT	downregulated	missing	missing	downregulated	0	2
ANKRD49	missing	missing	upregulated	missing	1	0
ANKRD66	downregulated	missing	missing	missing	0	1
ANKRD9	missing	missing	upregulated	missing	1	0
ANKUB1	downregulated	missing	missing	missing	0	1
ANLN	upregulated	missing	upregulated	upregulated	3	0
ANO1-AS1	missing	downregulated	missing	missing	0	1
ANO2	missing	missing	upregulated	upregulated	2	0
ANO3-AS1	downregulated	missing	missing	downregulated	0	2
ANO6	missing	missing	missing	upregulated	1	0
ANO7	missing	missing	upregulated	missing	1	0
ANP32B	missing	missing	missing	upregulated	1	0
ANP32E	missing	missing	downregulated	missing	0	1
ANTXR2	missing	missing	missing	upregulated	1	0
ANXA1	missing	missing	missing	upregulated	1	0
ANXA2	missing	missing	missing	upregulated	1	0
ANXA2R-OT1	missing	missing	missing	upregulated	1	0
ANXA4	downregulated	missing	missing	missing	0	1
ANXA6	downregulated	missing	missing	missing	0	1
AOC1	downregulated	missing	missing	missing	0	1
AOC3	missing	missing	upregulated	upregulated	2	0
AP1AR-DT	missing	missing	upregulated	missing	1	0
AP1G2-AS1	missing	missing	missing	upregulated	1	0
AP1M1	missing	missing	missing	downregulated	0	1
AP1S1	downregulated	missing	missing	downregulated	0	2
AP2A1	missing	missing	missing	downregulated	0	1
AP2A2	missing	missing	missing	downregulated	0	1
AP2M1	downregulated	missing	missing	downregulated	0	2
AP2S1	downregulated	missing	missing	downregulated	0	2
AP3B2	downregulated	missing	missing	downregulated	0	2
AP3M2	missing	missing	missing	downregulated	0	1
AP3S1	missing	missing	upregulated	missing	1	0
AP4S1	missing	missing	missing	downregulated	0	1
APBA1	missing	missing	missing	downregulated	0	1
APBA2	missing	missing	missing	downregulated	0	1
APBB1IP	upregulated	missing	missing	missing	1	0
APBB3	missing	missing	missing	downregulated	0	1
APEX1	upregulated	missing	missing	missing	1	0
APEX2	missing	missing	downregulated	missing	0	1
APH1A	missing	missing	upregulated	missing	1	0
APLF	missing	missing	downregulated	missing	0	1
APLNR	upregulated	missing	missing	missing	1	0
APMAP	missing	missing	missing	downregulated	0	1
APOBEC3D	missing	missing	missing	upregulated	1	0
APOBR	upregulated	missing	missing	missing	1	0
APOC4-APOC2	upregulated	missing	missing	missing	1	0
APOD	missing	missing	upregulated	missing	1	0
APOE	missing	missing	upregulated	missing	1	0
APOL3	missing	missing	missing	upregulated	1	0
APOL4	upregulated	missing	missing	missing	1	0
APOL6	upregulated	missing	missing	missing	1	0
APOLD1	upregulated	missing	missing	missing	1	0
APOM	missing	missing	upregulated	missing	1	0
APOO	downregulated	missing	missing	missing	0	1
APRT	missing	missing	upregulated	missing	1	0
AQP3	missing	missing	upregulated	downregulated	1	1
AQP7	missing	missing	downregulated	missing	0	1
ARAF	missing	missing	downregulated	missing	0	1
ARAP2	upregulated	missing	upregulated	missing	2	0
ARAP3	missing	missing	missing	upregulated	1	0
AREL1	downregulated	missing	missing	downregulated	0	2
ARF1	missing	missing	missing	downregulated	0	1
ARF3	missing	missing	missing	downregulated	0	1
ARF5	downregulated	missing	missing	downregulated	0	2
ARHGAP11A-DT	missing	missing	upregulated	upregulated	2	0
ARHGAP11A-SCG5	downregulated	missing	missing	downregulated	0	2
ARHGAP11B-DT	missing	missing	missing	upregulated	1	0
ARHGAP17	missing	missing	missing	upregulated	1	0
ARHGAP18	downregulated	missing	missing	missing	0	1
ARHGAP20	missing	missing	missing	downregulated	0	1
ARHGAP21	downregulated	missing	missing	upregulated	1	1
ARHGAP23	upregulated	missing	missing	missing	1	0
ARHGAP29-AS1	upregulated	missing	upregulated	upregulated	3	0
ARHGAP30	upregulated	missing	missing	missing	1	0
ARHGAP31-AS1	upregulated	missing	missing	missing	1	0
ARHGAP33	missing	missing	downregulated	missing	0	1
ARHGAP36	missing	downregulated	missing	missing	0	1
ARHGAP39	missing	missing	upregulated	missing	1	0
ARHGAP42-AS1	upregulated	missing	missing	missing	1	0
ARHGAP44-AS1	missing	missing	missing	downregulated	0	1
ARHGAP9	upregulated	missing	missing	missing	1	0
ARHGDIB	missing	missing	upregulated	missing	1	0
ARHGEF1	upregulated	missing	missing	missing	1	0
ARHGEF10	upregulated	missing	missing	upregulated	2	0
ARHGEF10L	missing	missing	upregulated	missing	1	0
ARHGEF25	downregulated	missing	missing	downregulated	0	2
ARHGEF28	downregulated	missing	missing	missing	0	1
ARHGEF3-AS1	downregulated	missing	missing	downregulated	0	2
ARHGEF4-AS1	missing	missing	missing	downregulated	0	1
ARHGEF40	missing	missing	upregulated	missing	1	0
ARHGEF7	downregulated	missing	missing	missing	0	1
ARHGEF9-IT1	downregulated	missing	missing	missing	0	1
ARID4A	downregulated	missing	missing	downregulated	0	2
ARID4B	missing	missing	upregulated	missing	1	0
ARID5A	missing	missing	missing	upregulated	1	0
ARK2C	missing	missing	missing	downregulated	0	1
ARL14EP-DT	missing	missing	upregulated	missing	1	0
ARL15	missing	missing	upregulated	missing	1	0
ARL4C	missing	missing	missing	downregulated	0	1
ARL4D	missing	missing	upregulated	downregulated	1	1
ARL5B	missing	missing	downregulated	missing	0	1
ARL6	downregulated	missing	downregulated	downregulated	0	3
ARL6IP1	missing	missing	missing	downregulated	0	1
ARL6IP6	upregulated	missing	upregulated	upregulated	3	0
ARL8B	missing	missing	upregulated	missing	1	0
ARMC3	downregulated	missing	missing	upregulated	1	1
ARMC6	missing	missing	downregulated	missing	0	1
ARMC7	missing	missing	upregulated	missing	1	0
ARMC9	missing	missing	missing	downregulated	0	1
ARMCX5-GPRASP2	missing	missing	upregulated	missing	1	0
ARMH4	missing	missing	missing	downregulated	0	1
ARNT2-DT	missing	missing	missing	downregulated	0	1
ARPC1A	downregulated	missing	missing	missing	0	1
ARPC1B	missing	missing	upregulated	upregulated	2	0
ARPC4-TTLL3	missing	missing	downregulated	missing	0	1
ARPC5L	downregulated	missing	missing	downregulated	0	2
ARPP19	missing	missing	downregulated	missing	0	1
ARPP21-AS1	missing	missing	missing	downregulated	0	1
ARRDC2	upregulated	missing	missing	upregulated	2	0
ARRDC4	missing	missing	missing	upregulated	1	0
ARSL	missing	missing	downregulated	missing	0	1
ART3	missing	missing	missing	upregulated	1	0
ARTN	missing	missing	upregulated	missing	1	0
ARV1	missing	missing	missing	downregulated	0	1
ASAH2B	missing	missing	missing	downregulated	0	1
ASB4	upregulated	missing	missing	missing	1	0
ASGR1	missing	missing	upregulated	missing	1	0
ASIC2	downregulated	missing	missing	downregulated	0	2
ASPA	upregulated	missing	upregulated	missing	2	0
ASPHD2	missing	missing	missing	downregulated	0	1
ASPM	missing	missing	upregulated	missing	1	0
ASPN	missing	missing	missing	upregulated	1	0
ASTILCS	upregulated	missing	missing	missing	1	0
ASTN1	missing	missing	missing	downregulated	0	1
ASXL1	missing	missing	missing	upregulated	1	0
ATAD3C	upregulated	missing	missing	missing	1	0
ATCAY	missing	missing	missing	downregulated	0	1
ATF3	upregulated	missing	missing	upregulated	2	0
ATF7-NPFF	upregulated	missing	missing	missing	1	0
ATF7IP2	missing	missing	upregulated	missing	1	0
ATG101	missing	missing	upregulated	missing	1	0
ATG12	missing	missing	upregulated	missing	1	0
ATG4C	upregulated	missing	missing	missing	1	0
ATG4D	missing	missing	upregulated	missing	1	0
ATL3	missing	missing	missing	upregulated	1	0
ATMIN	missing	missing	missing	upregulated	1	0
ATN1	upregulated	missing	missing	missing	1	0
ATOH7	downregulated	missing	missing	downregulated	0	2
ATOH8	upregulated	missing	missing	upregulated	2	0
ATP10A-DT	upregulated	missing	missing	missing	1	0
ATP11A-AS1	upregulated	missing	missing	missing	1	0
ATP11B-DT	missing	missing	upregulated	upregulated	2	0
ATP13A2	downregulated	missing	upregulated	downregulated	1	2
ATP13A5-AS1	downregulated	missing	missing	missing	0	1
ATP1A1-AS1	downregulated	missing	missing	missing	0	1
ATP1A3	downregulated	missing	missing	downregulated	0	2
ATP1A4	missing	missing	downregulated	missing	0	1
ATP1B1	downregulated	missing	missing	downregulated	0	2
ATP1B2	missing	missing	upregulated	downregulated	1	1
ATP2B1-AS1	downregulated	missing	missing	downregulated	0	2
ATP2B2-IT1	missing	missing	missing	downregulated	0	1
ATP2B3	downregulated	missing	missing	missing	0	1
ATP2C2-AS1	missing	missing	upregulated	missing	1	0
ATP5F1A	downregulated	missing	missing	downregulated	0	2
ATP5F1B	downregulated	missing	missing	downregulated	0	2
ATP5F1C	downregulated	missing	missing	downregulated	0	2
ATP5F1D	missing	missing	upregulated	missing	1	0
ATP5IF1	downregulated	missing	missing	downregulated	0	2
ATP5MC1	downregulated	missing	upregulated	downregulated	1	2
ATP5MC2	missing	missing	downregulated	missing	0	1
ATP5MC3	downregulated	missing	missing	downregulated	0	2
ATP5MF-PTCD1	missing	missing	upregulated	missing	1	0
ATP5MJ	downregulated	missing	missing	downregulated	0	2
ATP5MK	downregulated	missing	missing	missing	0	1
ATP5PB	downregulated	missing	missing	downregulated	0	2
ATP5PD	missing	missing	missing	downregulated	0	1
ATP5PO	downregulated	missing	missing	missing	0	1
ATP6AP1-DT	downregulated	missing	upregulated	missing	1	1
ATP6AP2	downregulated	missing	missing	missing	0	1
ATP6V0A1	missing	missing	missing	downregulated	0	1
ATP6V0B	downregulated	missing	upregulated	missing	1	1
ATP6V0C	downregulated	missing	missing	downregulated	0	2
ATP6V0D1-DT	downregulated	missing	upregulated	downregulated	1	2
ATP6V0E1	missing	missing	upregulated	missing	1	0
ATP6V0E2-AS1	downregulated	missing	missing	downregulated	0	2
ATP6V1A	downregulated	missing	missing	downregulated	0	2
ATP6V1B2	downregulated	missing	missing	downregulated	0	2
ATP6V1C1	missing	missing	missing	downregulated	0	1
ATP6V1D	downregulated	missing	missing	downregulated	0	2
ATP6V1E1	downregulated	missing	missing	downregulated	0	2
ATP6V1F	downregulated	missing	missing	missing	0	1
ATP6V1G2-DDX39B	missing	missing	missing	downregulated	0	1
ATP6V1H	downregulated	missing	missing	downregulated	0	2
ATP8A1-DT	missing	missing	upregulated	missing	1	0
ATP8A2	downregulated	missing	missing	downregulated	0	2
ATPAF1	missing	missing	missing	downregulated	0	1
ATRN	missing	missing	missing	downregulated	0	1
ATRNL1	missing	missing	missing	downregulated	0	1
ATRX	missing	missing	upregulated	missing	1	0
AVEN	missing	missing	missing	upregulated	1	0
AVL9	downregulated	missing	missing	downregulated	0	2
AVPI1	missing	missing	upregulated	missing	1	0
AXIN1	missing	missing	missing	upregulated	1	0
AXL	upregulated	missing	downregulated	missing	1	1
AZGP1	upregulated	missing	missing	upregulated	2	0
B3GALNT1	missing	missing	missing	downregulated	0	1
B3GALT1-AS1	downregulated	missing	missing	downregulated	0	2
B3GALT2	missing	missing	upregulated	downregulated	1	1
B3GALT4	missing	missing	upregulated	missing	1	0
B3GALT6	missing	missing	missing	downregulated	0	1
B3GNT4	missing	missing	missing	downregulated	0	1
B3GNT9	missing	missing	downregulated	missing	0	1
B4GALNT1	downregulated	missing	missing	downregulated	0	2
B4GALT1-AS1	missing	missing	missing	upregulated	1	0
B4GALT6	downregulated	missing	missing	downregulated	0	2
B4GAT1	downregulated	missing	missing	downregulated	0	2
B4GAT1-DT	missing	missing	upregulated	missing	1	0
B9D1	missing	missing	missing	downregulated	0	1
B9D2	missing	missing	downregulated	missing	0	1
BABAM2	missing	missing	missing	downregulated	0	1
BACE2-IT1	upregulated	missing	missing	upregulated	2	0
BAG2	missing	missing	upregulated	missing	1	0
BAG3	upregulated	missing	missing	missing	1	0
BAG4	missing	missing	missing	downregulated	0	1
BAHCC1	upregulated	missing	missing	missing	1	0
BAIAP2-DT	missing	missing	upregulated	downregulated	1	1
BAIAP2L2	missing	missing	upregulated	missing	1	0
BANF1	missing	missing	upregulated	missing	1	0
BANP	missing	missing	missing	upregulated	1	0
BARD1	upregulated	missing	missing	missing	1	0
BARX2	downregulated	missing	missing	missing	0	1
BASP1-AS1	downregulated	missing	missing	downregulated	0	2
BAZ1A-AS1	upregulated	missing	upregulated	upregulated	3	0
BBIP1	missing	missing	upregulated	missing	1	0
BBLN	downregulated	missing	missing	missing	0	1
BBS7-DT	missing	missing	missing	downregulated	0	1
BCAR1	missing	missing	upregulated	missing	1	0
BCAS2	missing	missing	missing	downregulated	0	1
BCAS4	downregulated	missing	missing	missing	0	1
BCAT1	missing	missing	upregulated	downregulated	1	1
BCAT2	missing	missing	missing	upregulated	1	0
BCHE	missing	downregulated	missing	missing	0	1
BCKDHA	missing	missing	downregulated	missing	0	1
BCKDK	missing	missing	downregulated	missing	0	1
BCL11A	missing	missing	missing	downregulated	0	1
BCL11B	downregulated	missing	missing	downregulated	0	2
BCL2A1	upregulated	missing	missing	missing	1	0
BCL2L1-AS1	missing	missing	missing	upregulated	1	0
BCL2L11	missing	missing	missing	upregulated	1	0
BCL2L12	missing	missing	upregulated	missing	1	0
BCL3	missing	missing	upregulated	missing	1	0
BCL6B	upregulated	upregulated	missing	upregulated	3	0
BCL7A	missing	missing	missing	downregulated	0	1
BCLAF1	missing	missing	downregulated	missing	0	1
BCO1	downregulated	missing	missing	missing	0	1
BCOR	upregulated	missing	upregulated	upregulated	3	0
BDH1	downregulated	missing	missing	downregulated	0	2
BDNF-AS	downregulated	missing	missing	downregulated	0	2
BEAN1-AS1	missing	missing	missing	downregulated	0	1
BEGAIN	missing	missing	upregulated	missing	1	0
BEST3	missing	missing	upregulated	missing	1	0
BEST4	downregulated	missing	missing	missing	0	1
BET1	missing	missing	upregulated	missing	1	0
BEX2	downregulated	missing	missing	missing	0	1
BEX3	downregulated	missing	missing	missing	0	1
BEX4	downregulated	missing	missing	missing	0	1
BEX5	downregulated	missing	missing	missing	0	1
BFSP1	downregulated	missing	upregulated	missing	1	1
BGN	upregulated	missing	downregulated	missing	1	1
BHLHA15	missing	missing	downregulated	missing	0	1
BHLHE22-AS1	downregulated	missing	missing	downregulated	0	2
BHLHE41	upregulated	missing	missing	missing	1	0
BHMT	missing	missing	missing	downregulated	0	1
BICDL1	missing	missing	missing	downregulated	0	1
BICDL2	missing	missing	upregulated	missing	1	0
BIRC3	upregulated	missing	missing	missing	1	0
BISPR	upregulated	missing	upregulated	missing	2	0
BIVM-ERCC5	missing	missing	upregulated	missing	1	0
BLCAP	missing	missing	missing	downregulated	0	1
BLM	missing	missing	upregulated	missing	1	0
BLOC1S2	missing	missing	missing	downregulated	0	1
BLOC1S3	missing	missing	upregulated	missing	1	0
BLOC1S4	missing	missing	upregulated	missing	1	0
BLZF1	missing	missing	upregulated	missing	1	0
BMAL2	downregulated	missing	missing	missing	0	1
BMERB1	downregulated	missing	missing	downregulated	0	2
BMF-AS1	upregulated	missing	missing	upregulated	2	0
BMP1	missing	missing	missing	upregulated	1	0
BMP3	missing	missing	upregulated	missing	1	0
BMPER	missing	missing	missing	downregulated	0	1
BMPR1A	missing	missing	missing	upregulated	1	0
BMT2	missing	missing	upregulated	missing	1	0
BNIP2	missing	missing	missing	upregulated	1	0
BNIP3	missing	missing	missing	downregulated	0	1
BNIPL	missing	missing	missing	upregulated	1	0
BOK	upregulated	missing	missing	missing	1	0
BOLA1	missing	missing	upregulated	missing	1	0
BOP1	missing	missing	upregulated	missing	1	0
BORCS6	missing	missing	upregulated	missing	1	0
BORCS8	missing	missing	missing	downregulated	0	1
BPHL	missing	missing	missing	downregulated	0	1
BRCA2	missing	missing	upregulated	missing	1	0
BRD8	downregulated	missing	missing	downregulated	0	2
BRI3BP	missing	missing	missing	downregulated	0	1
BRICD5	missing	missing	missing	upregulated	1	0
BRINP1	missing	missing	missing	downregulated	0	1
BRINP2	missing	missing	missing	downregulated	0	1
BRIP1	missing	missing	missing	upregulated	1	0
BRPF3-AS1	missing	missing	missing	upregulated	1	0
BRWD1-AS1	missing	missing	upregulated	downregulated	1	1
BSG-AS1	missing	missing	downregulated	missing	0	1
BSN-DT	missing	missing	missing	downregulated	0	1
BTBD10	missing	missing	missing	downregulated	0	1
BTBD17	missing	missing	missing	downregulated	0	1
BTBD2	missing	missing	upregulated	missing	1	0
BTBD3-AS1	missing	missing	missing	downregulated	0	1
BTBD7	missing	missing	missing	upregulated	1	0
