gene,gene_name,BA20_SNp_HA_vs_AD.l2fc,BA20_SNp_HA_vs_AD.pval,BA20_SNp_HA_vs_AD.padj,BA20_SNp_HA_vs_AD.raw_l2fc,,,,,
ENSG00000264985,AC124804.1,0.161101377,0.686138463,,0.288725474,,,,,
ENSG00000171509,RXFP1,0.648316065,0.123009463,0.31566741,1.304962292,,,,,
ENSG00000103160,HSDL1,0.13693206,0.41982049,0.61811707,0.147869746,,,,,
ENSG00000162636,FAM102B,0.52821922,0.13793774,0.335294874,0.676942502,,,,,
ENSG00000087245,MMP2,0.118472195,0.702143722,0.826091236,0.188036885,,,,,
ENSG00000164326,CARTPT,1.254472983,3.00E-04,0.030318851,1.646236625,,,,,
ENSG00000167397,VKORC1,0.372024184,0.184030375,0.392981238,0.422985152,,,,,
ENSG00000167508,MVD,0.33880227,0.086055367,0.261906165,0.354520307,,,,,
ENSG00000178038,ALS2CL,-0.311544699,0.365594672,,-0.310250859,,,,,
ENSG00000163536,SERPINI1,0.641959366,0.075885988,0.246887267,0.860068246,,,,,
ENSG00000185345,PRKN,0.306705059,0.197650081,0.406229908,0.346475627,,,,,
ENSG00000167157,PRRX2,0.308000399,0.411882904,,0.516232324,,,,,
ENSG00000005810,MYCBP2,-0.239272919,0.290387243,0.503556265,-0.227163966,,,,,
ENSG00000143318,CASQ1,-0.081819024,0.794377168,0.885152053,-0.002637557,,,,,
ENSG00000204217,BMPR2,0.682309521,0.021771738,0.137670734,0.802282107,,,,,
ENSG00000163870,TPRA1,0.241715971,0.252543558,0.466357659,0.289477096,,,,,
ENSG00000182492,BGN,0.534433567,0.116311978,0.304626609,0.694340457,,,,,
ENSG00000172270,BSG,0.570471214,0.001269825,0.050339497,0.601042579,,,,,
ENSG00000105671,DDX49,0.156749081,0.385575647,0.589664159,0.179999761,,,,,
ENSG00000233901,LINC01503,0.617770521,,,1.676326539,,,,,
ENSG00000113319,RASGRF2,-0.118288375,0.667086822,0.80153126,-0.15676513,,,,,
ENSG00000164600,NEUROD6,0.793854865,0.055647501,0.211470894,1.373579372,,,,,
ENSG00000205362,MT1A,0.690387592,0.091409213,,1.102854854,,,,,
ENSG00000109738,GLRB,1.090429265,0.006935731,0.088861777,1.767879493,,,,,
ENSG00000141668,CBLN2,0.608117294,0.109853159,0.295366792,0.854137074,,,,,
ENSG00000159388,BTG2,0.236973968,0.341782362,0.552809993,0.246993669,,,,,
ENSG00000134313,KIDINS220,-0.081622464,0.746356208,0.855183308,-0.079179357,,,,,
ENSG00000169891,REPS2,-0.096718993,0.730658488,0.846035235,-0.085786588,,,,,
ENSG00000167716,WDR81,0.043851001,0.844502063,0.914290671,0.040504569,,,,,
ENSG00000133055,MYBPH,0.836862587,0.04483982,,2.443998221,,,,,
ENSG00000085433,WDR47,0.11664121,0.652817005,0.791863265,0.144485338,,,,,
ENSG00000133935,ERG28,0.65236094,1.52E-04,0.02258253,0.697456835,,,,,
ENSG00000126858,RHOT1,-0.162674363,0.421162541,0.618808895,-0.158753172,,,,,
ENSG00000174405,LIG4,-0.425659726,0.103306062,0.28660364,-0.487282251,,,,,
ENSG00000138162,TACC2,0.084216471,0.725193416,0.841933213,0.107004824,,,,,
ENSG00000167747,C19orf48,0.3901955,0.133857216,0.330457337,0.42033759,,,,,
ENSG00000260328,AC104024.2,0.720169769,0.055686646,,0.989923757,,,,,
ENSG00000233705,SLC26A4-AS1,0.374726017,0.285995309,0.499857246,0.465037948,,,,,
ENSG00000129682,FGF13,0.336466052,0.356013195,0.565489932,0.39779479,,,,,
ENSG00000138660,AP1AR,-0.233766066,0.275316432,0.488961982,-0.225724838,,,,,
ENSG00000139174,PRICKLE1,0.85940328,0.00967462,0.100900474,1.123819799,,,,,
ENSG00000120265,PCMT1,0.382088497,0.170768118,0.377321521,0.462201155,,,,,
ENSG00000124762,CDKN1A,0.839115531,0.04394228,0.188470749,1.520118162,,,,,
ENSG00000126458,RRAS,0.055679631,0.85050432,0.917615777,0.078817494,,,,,
ENSG00000182287,AP1S2,-0.012522773,0.957576908,0.976951216,0.014232302,,,,,
ENSG00000197885,NKIRAS1,0.231329663,0.272153416,0.486059396,0.255787519,,,,,
ENSG00000188338,SLC38A3,0.317223476,0.347501681,0.557742235,0.388808441,,,,,
ENSG00000144406,UNC80,0.403342319,0.262725937,0.476229764,0.469022403,,,,,
ENSG00000088179,PTPN4,-0.060993955,0.803229381,0.890300974,-0.037328525,,,,,
ENSG00000240694,PNMA2,0.267905278,0.408856924,0.609279519,0.317593542,,,,,
ENSG00000163053,SLC16A14,0.870270009,0.024811597,0.145747383,1.249997546,,,,,
ENSG00000162430,SELENON,0.39630642,0.134110515,0.330551606,0.469726031,,,,,
ENSG00000138688,KIAA1109,-0.17730916,0.439661768,0.633850852,-0.182060562,,,,,
ENSG00000225383,SFTA1P,0.858204832,0.02230314,,1.39396242,,,,,
ENSG00000114805,PLCH1,0.052878735,0.875689496,0.931698218,0.035993479,,,,,
ENSG00000278989,AP001148.1,0.410635313,0.311603205,,0.632379183,,,,,
ENSG00000197747,S100A10,0.18545014,,,0.820549615,,,,,
ENSG00000164708,PGAM2,-0.064101434,0.859417816,0.921962114,-0.13689681,,,,,
ENSG00000182670,TTC3,-0.314167812,0.043148272,0.187280394,-0.322776801,,,,,
ENSG00000164506,STXBP5,0.677729741,0.049850511,0.199172085,0.872602761,,,,,
ENSG00000050748,MAPK9,-0.10368912,0.649877552,0.78968723,-0.093570564,,,,,
ENSG00000172209,GPR22,0.569563772,0.158753436,0.361300923,0.939996614,,,,,
ENSG00000169499,PLEKHA2,0.075000653,0.694809032,0.8207041,0.104867164,,,,,
ENSG00000152034,MCHR2,0.778051416,0.063668106,,1.947568041,,,,,
ENSG00000159082,SYNJ1,0.413085551,0.231924832,0.445532127,0.55497145,,,,,
ENSG00000172915,NBEA,0.27319974,0.367211323,0.574085547,0.351456445,,,,,
ENSG00000146574,CCZ1B,-0.332046937,0.351328925,0.561115261,-0.396722969,,,,,
ENSG00000153823,PID1,0.117652448,0.58285113,0.742551367,0.131627323,,,,,
ENSG00000261186,LINC01238,0.348094322,0.313173421,,0.567216264,,,,,
ENSG00000112290,WASF1,0.454357725,0.20314241,0.412775641,0.634948621,,,,,
ENSG00000134852,CLOCK,-0.063507062,0.732899134,0.847541594,-0.06119689,,,,,
ENSG00000133874,RNF122,0.544207282,,,1.289362438,,,,,
ENSG00000104427,ZC2HC1A,0.373231871,0.248233191,0.461801087,0.446759659,,,,,
ENSG00000145242,EPHA5,0.824876271,0.049388405,0.198530733,1.853080247,,,,,
ENSG00000100319,ZMAT5,0.161497804,0.42954472,0.625565485,0.142545348,,,,,
ENSG00000188674,C2orf80,0.55732487,0.100169989,0.282530738,0.689356619,,,,,
ENSG00000146426,TIAM2,0.789343915,0.027739088,0.15258649,1.039816075,,,,,
ENSG00000167930,FAM234A,-0.229489818,0.38864127,0.59249718,-0.286620851,,,,,
ENSG00000156140,ADAMTS3,0.736625313,0.07391805,,1.355356324,,,,,
ENSG00000157445,CACNA2D3,0.865025686,0.017812008,0.126457135,1.136051707,,,,,
ENSG00000197136,PCNX3,0.354531805,0.04755006,0.194762239,0.389480961,,,,,
ENSG00000182718,ANXA2,0.059889409,0.877410667,0.93254843,0.146469398,,,,,
ENSG00000184408,KCND2,0.530187252,0.140469916,0.338686037,0.694030018,,,,,
ENSG00000138757,G3BP2,0.042768534,0.864601745,0.924493152,0.077400864,,,,,
ENSG00000127325,BEST3,0.021307802,0.954726087,0.975661661,0.043042257,,,,,
ENSG00000169744,LDB2,0.537510161,0.162126505,0.365976082,0.767497879,,,,,
ENSG00000171243,SOSTDC1,0.995930738,0.017387845,,2.59717177,,,,,
ENSG00000060140,STYK1,0.967546038,0.021418027,,2.240183645,,,,,
ENSG00000258789,AL162171.2,-0.192863773,0.624115479,,-0.27804292,,,,,
ENSG00000176087,SLC35A4,0.131987988,0.526088806,0.700648377,0.142498061,,,,,
ENSG00000182175,RGMA,0.725505925,2.12E-04,0.025958684,0.77805986,,,,,
ENSG00000146151,HMGCLL1,0.463846041,0.19652583,0.405765699,0.661103972,,,,,
ENSG00000142444,TIMM29,0.392087237,0.055148195,0.210310438,0.428905321,,,,,
ENSG00000114573,ATP6V1A,0.75099451,0.02486331,0.145747383,0.932243763,,,,,
ENSG00000125844,RRBP1,-0.143417845,0.412950017,0.612658718,-0.16825301,,,,,
ENSG00000136143,SUCLA2,0.080515423,0.700111495,0.82449473,0.066707302,,,,,
ENSG00000139364,TMEM132B,0.146981906,0.517449767,0.694273942,0.180509039,,,,,
ENSG00000174460,ZCCHC12,0.82478197,0.042801216,0.187171457,1.271982464,,,,,
ENSG00000152214,RIT2,0.312968856,0.402472195,0.604370756,0.473572856,,,,,
ENSG00000197535,MYO5A,-0.395515859,0.132243099,0.328433593,-0.398566977,,,,,
ENSG00000061273,HDAC7,0.198843159,0.402819294,0.604600317,0.231281199,,,,,
ENSG00000167118,URM1,0.176472785,0.399281711,0.601731633,0.190570946,,,,,
ENSG00000165943,MOAP1,0.266568686,0.292312832,0.505830454,0.308300639,,,,,
ENSG00000119698,PPP4R4,0.244745709,0.434232992,0.629508767,0.283413717,,,,,
ENSG00000115290,GRB14,-0.161952629,0.644042858,,-0.206715315,,,,,
ENSG00000181773,GPR3,1.299104395,,,2.365904918,,,,,
ENSG00000169908,TM4SF1,-0.079970959,0.825494312,0.90283819,-0.241811574,,,,,
ENSG00000118276,B4GALT6,0.816481393,0.024861076,0.145747383,1.053212058,,,,,
ENSG00000226476,LINC01748,0.262572463,0.49537031,,0.359757743,,,,,
ENSG00000102996,MMP15,0.646165763,0.011186124,0.105225099,0.71773389,,,,,
ENSG00000106688,SLC1A1,1.227593982,1.06E-04,0.018703188,1.484564235,,,,,
ENSG00000172031,EPHX4,1.173873734,0.004228487,,1.99095422,,,,,
ENSG00000065320,NTN1,0.457775229,0.079748657,0.25291717,0.564666494,,,,,
ENSG00000198791,CNOT7,-0.152288176,0.326794147,0.538846257,-0.140097324,,,,,
ENSG00000154975,CA10,0.716710368,0.009461319,0.10062953,0.794140855,,,,,
ENSG00000170027,YWHAG,0.311905071,0.311169988,0.524193706,0.389084854,,,,,
ENSG00000172346,CSDC2,0.268007258,0.445063119,0.638085207,0.382903487,,,,,
ENSG00000155858,LSM11,0.775669884,0.036910588,0.174546195,1.031106154,,,,,
ENSG00000038274,MAT2B,0.302672708,0.196326839,0.405765699,0.364007476,,,,,
ENSG00000103855,CD276,0.524906052,0.056250181,0.212307483,0.630439915,,,,,
ENSG00000169064,ZBBX,0.512752434,0.202169724,,0.92405724,,,,,
ENSG00000265972,TXNIP,-0.456927414,0.135264998,0.331965962,-0.687929255,,,,,
ENSG00000152154,TMEM178A,0.135675043,0.631532801,0.77732011,0.21784517,,,,,
ENSG00000225828,FAM229A,0.144329071,0.547263441,0.716889796,0.222645022,,,,,
ENSG00000136840,ST6GALNAC4,0.262923367,0.302495137,0.516411311,0.253940254,,,,,
ENSG00000125827,TMX4,-0.232205974,0.314544063,0.526756688,-0.261183254,,,,,
ENSG00000086544,ITPKC,0.425948703,0.211991348,0.42378029,0.508574137,,,,,
ENSG00000109832,DDX25,0.407575181,0.172510363,0.379044724,0.539121357,,,,,
ENSG00000160691,SHC1,0.87675518,0.00826959,0.094946808,1.100180785,,,,,
ENSG00000134982,APC,-0.097316353,0.696825146,0.822369518,-0.093719588,,,,,
ENSG00000096092,TMEM14A,0.405336285,0.105143267,0.288299864,0.454449044,,,,,
ENSG00000186854,TRABD2A,0.599260695,0.145961991,,1.013332443,,,,,
ENSG00000134343,ANO3,0.886553337,0.034979767,0.169793773,1.861098977,,,,,
ENSG00000240891,PLCXD2,0.300922835,0.467435504,0.656625345,0.541384046,,,,,
ENSG00000185633,NDUFA4L2,0.86264426,0.020838759,0.135629663,1.297535381,,,,,
ENSG00000175084,DES,0.7382398,0.066258821,,1.132657442,,,,,
ENSG00000171729,TMEM51,0.485858969,0.135521391,0.332396698,0.689016548,,,,,
ENSG00000004776,HSPB6,0.35460723,0.184153669,0.393165989,0.422097852,,,,,
ENSG00000145526,CDH18,1.182787116,0.004348323,0.07425458,2.1634547,,,,,
ENSG00000186462,NAP1L2,1.107463655,0.004594986,0.075568317,1.605891499,,,,,
ENSG00000114279,FGF12,0.571327561,0.075074004,0.245037512,0.693402656,,,,,
ENSG00000145860,RNF145,-0.057390024,0.737558323,0.849946298,-0.058227132,,,,,
ENSG00000198934,MAGEE1,0.833522756,0.042617615,0.186911307,1.356725269,,,,,
ENSG00000162512,SDC3,0.705489365,0.001297996,0.050643035,0.768646331,,,,,
ENSG00000272341,AL137003.2,0.528409972,0.148303551,,0.759783656,,,,,
ENSG00000109436,TBC1D9,0.604829765,0.113599439,0.301095865,0.830208189,,,,,
ENSG00000158560,DYNC1I1,0.344731022,0.303190778,0.516744752,0.439326018,,,,,
ENSG00000165801,ARHGEF40,-0.078938766,0.7140634,0.834505491,-0.058587455,,,,,
ENSG00000112309,B3GAT2,-0.047505954,0.854260514,0.919724678,-0.001505932,,,,,
ENSG00000154654,NCAM2,-0.008296232,0.969807301,0.984249154,-0.004832916,,,,,
ENSG00000234690,EPCAM-DT,-0.581143076,0.072490075,,-0.744668624,,,,,
ENSG00000171004,HS6ST2,0.941087216,0.018989293,,1.444445575,,,,,
ENSG00000174915,PTDSS2,0.204934629,0.290525296,0.50366518,0.207556731,,,,,
ENSG00000133027,PEMT,0.476695931,0.074879391,0.244786441,0.520246468,,,,,
ENSG00000137563,GGH,0.407123569,0.153611026,0.355764535,0.461592934,,,,,
ENSG00000066422,ZBTB11,-0.108774472,0.608988913,0.760950444,-0.129409636,,,,,
ENSG00000060069,CTDP1,-0.029850244,0.894358832,0.941774007,0.007954836,,,,,
ENSG00000165985,C1QL3,1.041832432,0.01297638,,2.029954729,,,,,
ENSG00000126950,TMEM35A,0.988240845,0.008810065,0.097389796,1.361996163,,,,,
ENSG00000069696,DRD4,0.144160535,0.678993212,,0.177310923,,,,,
ENSG00000108946,PRKAR1A,-0.060398799,0.706338049,0.829108592,-0.072153712,,,,,
ENSG00000172594,SMPDL3A,0.297278758,0.273069982,,0.356915481,,,,,
ENSG00000170439,METTL7B,-0.112287325,0.747247077,0.855183308,-0.031375738,,,,,
ENSG00000248285,AC122707.1,0.599300516,0.144167573,,0.961137826,,,,,
ENSG00000064886,CHI3L2,0.789206371,,,3.428567493,,,,,
ENSG00000005020,SKAP2,0.091513822,0.714079719,0.834505491,0.111397225,,,,,
ENSG00000136828,RALGPS1,-0.459521507,0.0147189,0.118080008,-0.470951725,,,,,
ENSG00000266970,AC061992.1,0.66942353,,,2.993135934,,,,,
ENSG00000139970,RTN1,1.041036058,0.007853671,0.09282993,1.507345982,,,,,
ENSG00000229119,AC026403.1,-0.112376654,0.753688841,,-0.237273023,,,,,
ENSG00000164129,NPY5R,0.769718298,0.062819958,,2.167006395,,,,,
ENSG00000152578,GRIA4,0.073718636,0.796643188,0.886358369,0.104876279,,,,,
ENSG00000142686,C1orf216,-0.253021511,0.219938105,0.433275937,-0.253709478,,,,,
ENSG00000280255,AC004947.2,0.307060345,0.415666374,0.614888105,0.406858569,,,,,
ENSG00000165194,PCDH19,0.954409209,0.010654696,0.103615976,1.256016149,,,,,
ENSG00000215105,TTC3P1,0.103883145,0.77644052,0.872637955,0.132525274,,,,,
ENSG00000109756,RAPGEF2,-0.449850632,0.023893833,0.143406231,-0.463957331,,,,,
ENSG00000136732,GYPC,-0.193876446,0.428032705,0.624344645,-0.221877776,,,,,
ENSG00000056586,RC3H2,-0.409598906,0.021318965,0.13671458,-0.434904723,,,,,
ENSG00000134265,NAPG,0.138748172,0.470577286,0.658703051,0.144064761,,,,,
ENSG00000173805,HAP1,0.553835003,0.163231209,0.367403638,0.962768734,,,,,
ENSG00000157064,NMNAT2,0.671599573,0.073312288,0.241824639,0.860516549,,,,,
ENSG00000074603,DPP8,0.259653137,0.291899091,0.505257712,0.311261296,,,,,
ENSG00000152495,CAMK4,0.418757349,0.168876305,0.375041775,0.501490742,,,,,
ENSG00000169035,KLK7,0.326001041,0.38778692,0.591859787,0.377764804,,,,,
ENSG00000107242,PIP5K1B,0.431857089,0.169292155,0.375637037,0.498399785,,,,,
ENSG00000163630,SYNPR,0.551611752,0.171438387,0.378066413,0.748053762,,,,,
ENSG00000070087,PFN2,0.404561691,0.104419968,0.287738164,0.452444366,,,,,
ENSG00000185187,SIGIRR,0.062837266,0.793784171,0.884881287,0.062485148,,,,,
ENSG00000108924,HLF,0.301721699,0.343322634,0.553833976,0.3408448,,,,,
ENSG00000177706,FAM20C,0.425643331,0.178859515,0.386077096,0.497624946,,,,,
ENSG00000110492,MDK,0.748748191,0.011189328,0.105225099,0.904229129,,,,,
ENSG00000132481,AC087289.1,0.315907025,0.333613932,0.54523171,0.402027736,,,,,
ENSG00000175213,ZNF408,-0.052064695,0.798348394,0.887407296,-0.010768317,,,,,
ENSG00000164128,NPY1R,0.59908125,0.125316747,,0.864705882,,,,,
ENSG00000167395,ZNF646,0.070687528,0.760680285,0.862140736,0.109964583,,,,,
ENSG00000187024,PTRH1,0.4989733,0.031634306,0.161825253,0.58913851,,,,,
ENSG00000173641,HSPB7,-0.778616241,0.027069348,0.151277113,-0.852099681,,,,,
ENSG00000114779,ABHD14B,-0.299167746,0.195357727,0.404465477,-0.321840187,,,,,
ENSG00000171161,ZNF672,3.23E-04,0.998745393,0.999482112,-6.83E-04,,,,,
ENSG00000182704,TSKU,0.651650532,0.012649563,,0.670257275,,,,,
ENSG00000198739,LRRTM3,0.846835842,0.023411843,0.142456626,1.131560021,,,,,
ENSG00000122550,KLHL7,0.144062777,0.508853718,0.688432565,0.161358125,,,,,
ENSG00000141404,GNAL,0.136077775,0.513724034,0.691744805,0.14013381,,,,,
ENSG00000109452,INPP4B,0.289211267,0.337937303,0.549063802,0.353677332,,,,,
ENSG00000091972,CD200,0.767246615,0.028701791,0.155085886,0.999162106,,,,,
ENSG00000130313,AC010618.1,-0.043478765,0.849069312,0.917478344,-0.059285641,,,,,
ENSG00000196924,FLNA,0.322482071,0.290785429,0.503858563,0.38259255,,,,,
ENSG00000159110,IFNAR2,0.141004246,0.583965239,0.743254103,0.104846386,,,,,
ENSG00000114735,HEMK1,0.229020448,0.314061395,0.526490577,0.269373107,,,,,
ENSG00000104368,PLAT,0.9188811,0.00323011,0.066812351,1.113765878,,,,,
ENSG00000115252,PDE1A,0.343994024,0.375323876,0.579868977,0.475360094,,,,,
ENSG00000215193,PEX26,-0.137869794,0.31933897,0.53150611,-0.124484637,,,,,
ENSG00000231528,FAM225A,-0.329626546,0.351939556,0.561677971,-0.403182154,,,,,
ENSG00000163359,COL6A3,0.627454905,,,1.237203899,,,,,
ENSG00000273604,EPOP,0.369009437,0.195559877,0.404640925,0.391158113,,,,,
ENSG00000140497,SCAMP2,0.158488573,0.501922238,0.684210174,0.174380495,,,,,
ENSG00000175395,ZNF25,0.316140127,0.255953992,0.469139625,0.437383654,,,,,
