gene,gene_name,BA20_THp_HA_vs_AD.l2fc,BA20_THp_HA_vs_AD.pval,BA20_THp_HA_vs_AD.padj,BA20_THp_HA_vs_AD.raw_l2fc,,,,,
ENSG00000171033,PKIA,0.064494596,0.784353653,0.889489549,0.121220333,,,,,
ENSG00000163702,IL17RC,0.378742916,0.139777442,0.358351456,0.428271801,,,,,
ENSG00000117298,ECE1,-0.123819946,0.605181609,0.777663002,-0.201052808,,,,,
ENSG00000055813,CCDC85A,0.358129363,0.303618023,,0.497240843,,,,,
ENSG00000278982,AL139125.1,0.336283717,0.385449174,,0.86184529,,,,,
ENSG00000225110,PNMA6F,0.884370358,0.024103945,0.163802908,1.337195533,,,,,
ENSG00000260244,AC104083.1,-0.039437765,0.895542124,0.948947967,-0.013415237,,,,,
ENSG00000124749,COL21A1,0.335600122,0.371912253,,0.45609264,,,,,
ENSG00000164112,TMEM155,0.464201135,0.237809145,0.473633298,0.602509435,,,,,
ENSG00000113100,CDH9,0.558473198,0.174432742,,1.347210186,,,,,
ENSG00000259583,AC015712.2,0.827575273,0.03112689,,1.212552101,,,,,
ENSG00000275395,FCGBP,0.661737387,0.113272621,0.324378217,1.458301066,,,,,
ENSG00000105559,PLEKHA4,-0.001426627,0.996741294,0.998534801,-0.034922659,,,,,
ENSG00000083750,RRAGB,0.326307532,0.131565318,0.348735526,0.377010201,,,,,
ENSG00000175938,ORAI3,-0.164457841,0.523776743,0.720909315,-0.184876253,,,,,
ENSG00000154027,AK5,-0.337679969,0.202818399,0.435715089,-0.401755115,,,,,
ENSG00000197905,TEAD4,0.131037182,0.739215804,0.862639072,0.025797425,,,,,
ENSG00000182568,SATB1,-0.15902445,0.468064141,0.680403944,-0.111122408,,,,,
ENSG00000120251,GRIA2,0.58838292,0.06693632,0.252496257,0.703198341,,,,,
ENSG00000109339,MAPK10,0.074452965,0.722381819,0.851713215,0.106209181,,,,,
ENSG00000087884,AAMDC,-0.087009917,0.679830171,0.823932136,-0.141298773,,,,,
ENSG00000206052,DOK6,0.331264024,0.388057113,0.616334143,0.45320932,,,,,
ENSG00000101850,GPR143,0.461735585,0.105539954,0.312549836,0.506119245,,,,,
ENSG00000103316,CRYM,1.092834099,0.00651573,0.095345749,1.691239631,,,,,
ENSG00000104969,SGTA,0.034551639,0.836650826,0.915072615,0.005665759,,,,,
ENSG00000185742,C11orf87,0.727913419,0.072946733,0.262090414,1.10698448,,,,,
ENSG00000112038,OPRM1,0.755103233,0.069468332,,1.352550641,,,,,
ENSG00000101977,MCF2,0.44372719,0.19202572,0.422069577,0.584362774,,,,,
ENSG00000109103,UNC119,0.33232381,0.058596301,0.237850285,0.362862424,,,,,
ENSG00000146540,C7orf50,0.504599133,0.030690797,0.180895645,0.527875384,,,,,
ENSG00000050628,PTGER3,0.386845224,0.354663976,,0.755708407,,,,,
ENSG00000177879,AP3S1,0.095358078,0.627274868,0.791999737,0.120989753,,,,,
ENSG00000142875,PRKACB,0.040286866,0.859507756,0.927160946,0.074442,,,,,
ENSG00000153253,SCN3A,0.709080401,0.026187972,0.169089156,0.815860094,,,,,
ENSG00000162545,CAMK2N1,-0.214710203,0.147097906,0.366218716,-0.188564603,,,,,
ENSG00000204789,ZNF204P,0.120473911,0.7057616,0.841095019,0.211134701,,,,,
ENSG00000124216,SNAI1,-0.351115313,0.1924403,,-0.403359129,,,,,
ENSG00000158156,XKR8,-0.06515665,0.703502539,0.839828547,-0.034019518,,,,,
ENSG00000172264,MACROD2,0.270601831,0.380343624,0.608029186,0.324834914,,,,,
ENSG00000203993,ARRDC1-AS1,0.104476679,0.521365037,0.719528984,0.110474096,,,,,
ENSG00000147246,HTR2C,0.285559463,0.45655573,,0.915488388,,,,,
ENSG00000179520,SLC17A8,0.049691497,0.90537217,,-0.005928318,,,,,
ENSG00000162490,DRAXIN,0.471221904,0.162763941,0.385581462,0.623360623,,,,,
ENSG00000165973,NELL1,0.689512065,0.070229542,0.258443167,0.969972965,,,,,
ENSG00000125534,PPDPF,0.259214051,0.270251923,0.505656216,0.177141652,,,,,
ENSG00000187091,PLCD1,0.522220394,0.053133957,0.227930771,0.600469021,,,,,
ENSG00000162645,GBP2,0.255645724,0.508666622,0.712350403,0.287110266,,,,,
ENSG00000075234,TTC38,-0.174050829,0.513452112,0.715144454,-0.226175552,,,,,
ENSG00000108395,TRIM37,0.057507772,0.853473978,0.924458944,0.133028729,,,,,
ENSG00000264985,AC124804.1,0.056003325,0.88323466,,0.165094947,,,,,
ENSG00000171509,RXFP1,0.540065414,0.195408632,0.426290228,1.045934294,,,,,
ENSG00000103160,HSDL1,0.064106481,0.699122481,0.837442814,0.07709252,,,,,
ENSG00000162636,FAM102B,0.298836094,0.399282404,0.626860708,0.402913401,,,,,
ENSG00000087245,MMP2,-0.15504163,0.608763352,0.780089349,-0.164106268,,,,,
ENSG00000164326,CARTPT,0.984120199,0.006921011,0.09838144,1.38210002,,,,,
ENSG00000167397,VKORC1,0.150237123,0.551436354,0.739309601,0.148794145,,,,,
ENSG00000167508,MVD,0.430739656,0.019751012,0.149787331,0.447591808,,,,,
ENSG00000178038,ALS2CL,-0.084531533,0.769639492,0.88054425,-0.22798978,,,,,
ENSG00000163536,SERPINI1,0.554305562,0.11203379,0.323085425,0.69883383,,,,,
ENSG00000185345,PRKN,0.587931086,0.031297946,0.182683904,0.725882169,,,,,
ENSG00000167157,PRRX2,0.272020303,0.492993205,,0.610523643,,,,,
ENSG00000005810,MYCBP2,-0.072952909,0.77508034,0.884199053,-0.063905686,,,,,
ENSG00000143318,CASQ1,0.22904979,0.492290143,0.699190146,0.248318397,,,,,
ENSG00000204217,BMPR2,0.28965164,0.258717861,0.493502936,0.336136949,,,,,
ENSG00000163870,TPRA1,0.027293498,0.884290358,0.941864086,0.017678564,,,,,
ENSG00000182492,BGN,0.349044179,0.277932591,0.513727386,0.357610338,,,,,
ENSG00000172270,BSG,0.113305306,0.673352323,0.820251048,0.039013382,,,,,
ENSG00000105671,DDX49,0.105615353,0.457611081,0.671933986,0.112111127,,,,,
ENSG00000233901,LINC01503,0.643460959,,,1.59917314,,,,,
ENSG00000113319,RASGRF2,-0.101230199,0.704507903,0.84049379,-0.119799402,,,,,
ENSG00000164600,NEUROD6,0.765161251,0.064282675,0.248597905,1.195094902,,,,,
ENSG00000205362,MT1A,0.185921564,0.63745499,0.798806553,0.272470649,,,,,
ENSG00000109738,GLRB,0.883328526,0.025854897,0.168464063,1.235830537,,,,,
ENSG00000141668,CBLN2,0.529592793,0.177742342,0.403058039,0.729898952,,,,,
ENSG00000159388,BTG2,-0.257846412,0.363574901,0.591008252,-0.406379214,,,,,
ENSG00000134313,KIDINS220,-0.018751935,0.934193837,0.967882909,-0.016094737,,,,,
ENSG00000169891,REPS2,-0.00804203,0.977708742,0.989857874,0.020447567,,,,,
ENSG00000167716,WDR81,0.026059676,0.910045218,0.957180746,0.030056716,,,,,
ENSG00000133055,MYBPH,0.898025801,,,2.580810251,,,,,
ENSG00000085433,WDR47,0.135615868,0.651549326,0.807681798,0.187870593,,,,,
ENSG00000133935,ERG28,0.472635789,0.003912658,0.077600257,0.495153796,,,,,
ENSG00000126858,RHOT1,-0.050855563,0.76487428,0.878372056,-0.039752351,,,,,
ENSG00000174405,LIG4,-0.424341814,0.071652146,0.26074834,-0.477322176,,,,,
ENSG00000138162,TACC2,0.398941869,0.059505105,0.239354201,0.435263777,,,,,
ENSG00000167747,C19orf48,0.250126842,0.303239242,0.536003087,0.274885137,,,,,
ENSG00000260328,AC104024.2,0.652886375,0.106098595,,1.05312886,,,,,
ENSG00000233705,SLC26A4-AS1,0.459731162,0.200827045,0.433094089,0.535180257,,,,,
ENSG00000129682,FGF13,0.641452404,0.080726122,0.275239204,0.798214698,,,,,
ENSG00000138660,AP1AR,-0.264112054,0.255635403,0.49029581,-0.234955685,,,,,
ENSG00000139174,PRICKLE1,0.691232279,0.033643104,0.187152024,0.8298255,,,,,
ENSG00000120265,PCMT1,0.294089568,0.288214558,0.522740842,0.373274674,,,,,
ENSG00000124762,CDKN1A,0.21531606,0.590517524,0.767408593,0.269930549,,,,,
ENSG00000126458,RRAS,-0.029970559,0.916774993,0.96045414,-0.110119291,,,,,
ENSG00000182287,AP1S2,0.002606817,0.991281567,0.996501978,0.041866283,,,,,
ENSG00000197885,NKIRAS1,0.466071494,0.07085422,0.259613798,0.521780029,,,,,
ENSG00000188338,SLC38A3,-0.190295572,0.58564702,0.764616956,-0.314897794,,,,,
ENSG00000144406,UNC80,0.608676516,0.09856655,0.302118917,0.723940716,,,,,
ENSG00000088179,PTPN4,0.105745095,0.683175565,0.825965522,0.15035311,,,,,
ENSG00000240694,PNMA2,0.399562665,0.25776791,0.492338491,0.496381689,,,,,
ENSG00000163053,SLC16A14,0.624868701,0.07403323,0.26344245,0.807287426,,,,,
ENSG00000162430,SELENON,0.285995961,0.225404095,0.46095616,0.305658745,,,,,
ENSG00000138688,KIAA1109,-0.026460608,0.904545055,0.954247132,-0.027441825,,,,,
ENSG00000225383,SFTA1P,-0.100964893,0.786171894,0.890466123,-0.333366031,,,,,
ENSG00000114805,PLCH1,0.406628038,0.215255057,0.448641098,0.481746756,,,,,
ENSG00000278989,AP001148.1,0.457681503,0.223229101,0.458608125,0.559974079,,,,,
ENSG00000197747,S100A10,0.423194003,0.237213367,0.473293267,0.534193805,,,,,
ENSG00000164708,PGAM2,0.027197344,0.938261025,0.969909006,0.023460004,,,,,
ENSG00000182670,TTC3,-0.143679645,0.340719142,0.572017737,-0.129781816,,,,,
ENSG00000164506,STXBP5,0.274245301,0.404199654,0.630506161,0.343514709,,,,,
ENSG00000050748,MAPK9,-0.044413076,0.859920393,0.927531183,-0.015655063,,,,,
ENSG00000172209,GPR22,0.890416726,0.028919341,0.176427643,1.421652394,,,,,
ENSG00000169499,PLEKHA2,0.101359697,0.598684567,0.772835782,0.128437172,,,,,
ENSG00000152034,MCHR2,0.731451937,0.080187383,,1.554455877,,,,,
ENSG00000159082,SYNJ1,0.45159274,0.191842748,0.421889861,0.585060779,,,,,
ENSG00000172915,NBEA,0.375083937,0.227321034,0.463058314,0.465310987,,,,,
ENSG00000146574,CCZ1B,-0.264670512,0.350876625,0.580935145,-0.304029216,,,,,
ENSG00000153823,PID1,0.296926691,0.155410344,0.37741089,0.339644428,,,,,
ENSG00000261186,LINC01238,-0.366778385,0.25498908,,-0.399776653,,,,,
ENSG00000112290,WASF1,0.372956561,0.318949334,0.552189815,0.484837396,,,,,
ENSG00000134852,CLOCK,-0.053518429,0.783619441,0.889082361,-0.028464734,,,,,
ENSG00000133874,RNF122,0.558518839,,,0.879775611,,,,,
ENSG00000104427,ZC2HC1A,0.447788445,0.155028808,0.37699155,0.544038817,,,,,
ENSG00000145242,EPHA5,0.88000649,0.034026759,0.188532099,1.556962548,,,,,
ENSG00000100319,ZMAT5,0.240515449,0.241945786,0.477389189,0.260301629,,,,,
ENSG00000188674,C2orf80,0.837790651,0.00923602,0.109992603,0.985832066,,,,,
ENSG00000146426,TIAM2,0.514039482,0.156794649,0.378829052,0.666480087,,,,,
ENSG00000167930,FAM234A,-0.241064707,0.357175783,0.585809229,-0.31884868,,,,,
ENSG00000156140,ADAMTS3,0.405860502,0.313239362,,0.653882223,,,,,
ENSG00000157445,CACNA2D3,0.518603821,0.131688359,0.348854056,0.660232188,,,,,
ENSG00000197136,PCNX3,0.139229334,0.279100197,0.514958746,0.132231896,,,,,
ENSG00000182718,ANXA2,0.016468237,0.960481167,0.981194196,-0.077959399,,,,,
ENSG00000184408,KCND2,0.545522497,0.11586744,0.327596431,0.66436028,,,,,
ENSG00000138757,G3BP2,0.154672883,0.558439489,0.744402931,0.215861769,,,,,
ENSG00000127325,BEST3,0.237039487,0.498256718,0.703811468,0.31420015,,,,,
ENSG00000169744,LDB2,0.567223339,0.12808721,0.344158718,0.733979754,,,,,
ENSG00000171243,SOSTDC1,0.977750799,0.019141075,,2.03830224,,,,,
ENSG00000060140,STYK1,0.685718628,0.100275942,,1.312345879,,,,,
ENSG00000258789,AL162171.2,0.369651331,0.262862866,,0.46229061,,,,,
ENSG00000176087,SLC35A4,-0.010731641,0.955525209,0.978796058,-0.030056891,,,,,
ENSG00000182175,RGMA,0.842418256,2.20E-05,0.01296359,0.903787691,,,,,
ENSG00000146151,HMGCLL1,0.43114714,0.216088927,0.449677658,0.583444747,,,,,
ENSG00000142444,TIMM29,0.020471297,0.895046663,0.948723902,0.029189075,,,,,
ENSG00000114573,ATP6V1A,0.668630389,0.050884993,0.224028099,0.829210581,,,,,
ENSG00000125844,RRBP1,-0.185630919,0.307837589,0.541013529,-0.221455818,,,,,
ENSG00000136143,SUCLA2,0.130767355,0.465326452,0.678195031,0.162286262,,,,,
ENSG00000139364,TMEM132B,0.343711177,0.177284185,0.402495696,0.398869002,,,,,
ENSG00000174460,ZCCHC12,0.883624083,0.025887749,0.168517854,1.250146782,,,,,
ENSG00000152214,RIT2,0.51905342,0.15600671,0.378117479,0.750831834,,,,,
ENSG00000197535,MYO5A,-0.237537078,0.398963198,0.62665408,-0.223063531,,,,,
ENSG00000061273,HDAC7,-0.26290308,0.206033784,0.439358988,-0.354956968,,,,,
ENSG00000167118,URM1,0.169943122,0.367555529,0.594873665,0.176249929,,,,,
ENSG00000165943,MOAP1,0.389794519,0.173303357,0.398243908,0.471200553,,,,,
ENSG00000119698,PPP4R4,0.382813075,0.2237667,0.459218345,0.491060389,,,,,
ENSG00000115290,GRB14,0.005272138,0.986792328,,0.009151034,,,,,
ENSG00000181773,GPR3,1.124714454,0.005587798,0.08920449,2.269402484,,,,,
ENSG00000169908,TM4SF1,-0.11148025,0.758057346,0.874183332,-0.312912076,,,,,
ENSG00000118276,B4GALT6,0.565246016,0.124397365,0.339016274,0.683715502,,,,,
ENSG00000226476,LINC01748,0.701431952,0.089275877,,1.278188222,,,,,
ENSG00000102996,MMP15,0.707178446,0.001939785,0.060265421,0.784778001,,,,,
ENSG00000106688,SLC1A1,0.062067913,0.834828162,0.914093366,0.055504048,,,,,
ENSG00000172031,EPHX4,0.633758334,0.098978757,0.302434658,0.871447585,,,,,
ENSG00000065320,NTN1,0.461757383,0.051461693,0.224716059,0.517565037,,,,,
ENSG00000198791,CNOT7,-0.063273997,0.683494132,0.825965522,-0.020783795,,,,,
ENSG00000154975,CA10,0.761410672,0.007735106,0.102536201,0.824019098,,,,,
ENSG00000170027,YWHAG,0.378503655,0.248909002,0.48504041,0.466208159,,,,,
ENSG00000172346,CSDC2,0.673677664,0.063352462,0.246905132,0.892481801,,,,,
ENSG00000155858,LSM11,0.499581281,0.144168904,0.363194739,0.609845816,,,,,
ENSG00000038274,MAT2B,0.095644131,0.662594474,0.813748839,0.133905132,,,,,
ENSG00000103855,CD276,0.50992937,0.029685587,0.17831407,0.591909446,,,,,
ENSG00000169064,ZBBX,0.904784196,0.025050997,,1.44764534,,,,,
ENSG00000265972,TXNIP,-0.459827776,0.134225879,0.351873752,-0.693593449,,,,,
ENSG00000152154,TMEM178A,0.354432083,0.232665063,0.468273923,0.451006429,,,,,
ENSG00000225828,FAM229A,-0.313942775,0.240804344,0.476270876,-0.357560473,,,,,
ENSG00000136840,ST6GALNAC4,0.154090623,0.504217365,0.709154513,0.122207567,,,,,
ENSG00000125827,TMX4,-0.179351221,0.422405102,0.644018367,-0.172688503,,,,,
ENSG00000086544,ITPKC,0.349514051,0.282600591,0.517771713,0.375500251,,,,,
ENSG00000109832,DDX25,0.504581682,0.113206122,0.324378217,0.594910766,,,,,
ENSG00000160691,SHC1,0.556024598,0.068909928,0.256340328,0.618224138,,,,,
ENSG00000134982,APC,0.057381158,0.829401307,0.911534408,0.113763016,,,,,
ENSG00000096092,TMEM14A,0.307477117,0.248559475,0.484664977,0.342687287,,,,,
ENSG00000186854,TRABD2A,0.786289704,0.03383801,,1.093854663,,,,,
ENSG00000134343,ANO3,0.709294283,0.084664059,0.280641748,1.09952889,,,,,
ENSG00000240891,PLCXD2,0.366169637,0.359985231,0.588125367,0.51281503,,,,,
ENSG00000185633,NDUFA4L2,0.148332328,0.686004272,0.827590202,0.128731697,,,,,
ENSG00000175084,DES,0.788119948,0.052435694,,1.402497072,,,,,
ENSG00000171729,TMEM51,0.291383319,0.261285316,0.495357537,0.323070804,,,,,
ENSG00000004776,HSPB6,0.519311578,0.049795062,0.222454571,0.589851095,,,,,
ENSG00000145526,CDH18,0.820490376,0.039867102,0.202472144,1.222080783,,,,,
ENSG00000186462,NAP1L2,0.833760601,0.034111262,0.18869428,1.134062764,,,,,
ENSG00000114279,FGF12,0.477597481,0.165770622,0.389832286,0.603363175,,,,,
ENSG00000145860,RNF145,-0.134777638,0.384605496,0.613111267,-0.16033075,,,,,
ENSG00000198934,MAGEE1,0.794406301,0.050975643,0.224131802,1.19092176,,,,,
ENSG00000162512,SDC3,0.829442095,1.17E-04,0.022596368,0.89200049,,,,,
ENSG00000272341,AL137003.2,0.553110876,0.089330829,0.288527564,0.683358671,,,,,
ENSG00000109436,TBC1D9,0.399134122,0.247382811,0.483341331,0.514846367,,,,,
ENSG00000158560,DYNC1I1,0.299693514,0.38635795,0.614725575,0.415711342,,,,,
ENSG00000165801,ARHGEF40,-0.061413925,0.770493917,0.881123635,-0.057874148,,,,,
ENSG00000112309,B3GAT2,0.229661505,0.399530599,0.627103002,0.272165889,,,,,
ENSG00000154654,NCAM2,-0.008839916,0.965412421,0.983303849,0.009566515,,,,,
ENSG00000234690,EPCAM-DT,-0.994063443,0.003957107,,-1.326263544,,,,,
ENSG00000171004,HS6ST2,1.12198092,0.003212369,0.073528042,1.56011317,,,,,
ENSG00000174915,PTDSS2,0.060048176,0.745077586,0.866483499,0.054297727,,,,,
ENSG00000133027,PEMT,0.584910406,0.017280401,0.141701833,0.647847334,,,,,
ENSG00000137563,GGH,0.42868151,0.149078465,0.368954705,0.507734864,,,,,
ENSG00000066422,ZBTB11,-0.134341727,0.527750949,0.723930621,-0.12228056,,,,,
ENSG00000060069,CTDP1,-0.206420775,0.25797031,0.492428469,-0.254494524,,,,,
ENSG00000165985,C1QL3,0.912536293,0.027904291,0.174039602,1.669530533,,,,,
ENSG00000126950,TMEM35A,0.833362689,0.02785347,0.174031782,1.120581498,,,,,
ENSG00000069696,DRD4,-0.332666966,0.354412455,,-0.474915062,,,,,
ENSG00000108946,PRKAR1A,-0.071264339,0.654372911,0.808406013,-0.055074412,,,,,
ENSG00000172594,SMPDL3A,0.051795339,0.831641396,0.913074119,0.049756455,,,,,
ENSG00000170439,METTL7B,-0.027024267,0.937065496,0.969464956,0.010563008,,,,,
ENSG00000248285,AC122707.1,0.411794109,0.322981536,,0.822585994,,,,,
ENSG00000064886,CHI3L2,0.669743977,,,2.921673718,,,,,
ENSG00000005020,SKAP2,0.270292872,0.308708435,0.541473135,0.335239068,,,,,
ENSG00000136828,RALGPS1,-0.111513069,0.531201305,0.726054812,-0.118315242,,,,,
ENSG00000266970,AC061992.1,0.424548372,0.265452084,,1.72700076,,,,,
ENSG00000139970,RTN1,0.876467124,0.023975058,0.163712179,1.21118199,,,,,
ENSG00000229119,AC026403.1,0.460306457,0.206633254,,0.504251474,,,,,
ENSG00000164129,NPY5R,0.237719684,0.569525402,,0.515727759,,,,,
ENSG00000152578,GRIA4,-0.09843155,0.728128844,0.855921317,-0.097592025,,,,,
ENSG00000142686,C1orf216,0.002146707,0.992493153,0.996670187,0.029062493,,,,,
ENSG00000280255,AC004947.2,0.664442574,0.082751826,0.277821581,0.848823428,,,,,
ENSG00000165194,PCDH19,0.548828869,0.074902431,0.264869142,0.669466359,,,,,
ENSG00000215105,TTC3P1,0.47525182,0.143346881,0.36189014,0.565106014,,,,,
ENSG00000109756,RAPGEF2,-0.334701227,0.099757949,0.303153448,-0.354560785,,,,,
ENSG00000136732,GYPC,-0.285486249,0.251120167,0.486606364,-0.309248682,,,,,
ENSG00000056586,RC3H2,-0.393303384,0.014024385,0.129783625,-0.418027953,,,,,
ENSG00000134265,NAPG,0.187224849,0.348016121,0.578525928,0.215339917,,,,,
ENSG00000173805,HAP1,0.580665644,,,0.927095121,,,,,
ENSG00000157064,NMNAT2,0.729841585,0.059148809,0.238990298,1.000726841,,,,,
ENSG00000074603,DPP8,0.22283185,0.317092285,0.550532313,0.256353665,,,,,
ENSG00000152495,CAMK4,0.48160708,0.116418637,0.328351339,0.563212598,,,,,
ENSG00000169035,KLK7,0.529994678,0.15923893,0.38100367,0.591424828,,,,,
ENSG00000107242,PIP5K1B,0.238281342,0.461645213,0.675178389,0.306575737,,,,,
ENSG00000163630,SYNPR,0.316961045,0.433833644,0.653759463,0.305020754,,,,,
ENSG00000070087,PFN2,0.495439819,0.083910451,0.279534141,0.569145572,,,,,
ENSG00000185187,SIGIRR,0.067725063,0.783714269,0.889114455,0.03622176,,,,,
ENSG00000108924,HLF,0.167928947,0.595902594,0.770980015,0.195828228,,,,,
ENSG00000177706,FAM20C,0.43405207,0.158791099,0.380517694,0.505961665,,,,,
ENSG00000110492,MDK,0.654030427,0.021836282,0.15720711,0.790546714,,,,,
ENSG00000132481,AC087289.1,0.186838412,0.552839429,0.740332777,0.220106369,,,,,
ENSG00000175213,ZNF408,-0.1902659,0.303301851,0.536003087,-0.219958249,,,,,
ENSG00000164128,NPY1R,0.483066232,0.19627038,0.4271947,0.575112139,,,,,
ENSG00000167395,ZNF646,-0.184157798,0.286685479,0.521324356,-0.242316889,,,,,
ENSG00000187024,PTRH1,0.313175504,0.096927479,0.300271949,0.357634782,,,,,
ENSG00000173641,HSPB7,-0.71127454,0.024143073,0.163802908,-0.793908598,,,,,
ENSG00000114779,ABHD14B,-0.23577374,0.286462103,0.521200721,-0.253055577,,,,,
ENSG00000171161,ZNF672,-5.25E-04,0.997738682,0.999009687,-0.010330728,,,,,
ENSG00000182704,TSKU,0.116994496,0.672549107,0.820034293,-0.05915992,,,,,
ENSG00000198739,LRRTM3,0.735183321,0.039905883,0.202516263,0.911909359,,,,,
ENSG00000122550,KLHL7,0.146555182,0.479998846,0.690223039,0.177479319,,,,,
ENSG00000141404,GNAL,0.48677449,0.054528459,0.22992255,0.557838498,,,,,
ENSG00000109452,INPP4B,0.527231156,0.056698313,0.234464123,0.567276642,,,,,
ENSG00000091972,CD200,0.480386583,0.16013355,0.382430879,0.615135973,,,,,
ENSG00000130313,AC010618.1,0.0435973,0.848159586,0.921668807,0.043019603,,,,,
ENSG00000196924,FLNA,0.289223551,0.239382271,0.474996423,0.270418139,,,,,
ENSG00000159110,IFNAR2,-0.078089983,0.770445731,0.881123635,-0.172910799,,,,,
ENSG00000114735,HEMK1,0.003566257,0.984150434,0.992448793,-0.00589034,,,,,
ENSG00000104368,PLAT,0.27607404,0.375309296,0.603112786,0.344870289,,,,,
ENSG00000115252,PDE1A,0.160308678,0.678034408,0.822729364,0.166667916,,,,,
ENSG00000215193,PEX26,-0.114520523,0.366873568,0.594332582,-0.101245956,,,,,
ENSG00000231528,FAM225A,-0.219414483,0.577196496,0.758581644,-0.43491763,,,,,
ENSG00000163359,COL6A3,0.388575819,,,0.989503741,,,,,
ENSG00000273604,EPOP,0.311718456,0.291427235,0.525938778,0.285067431,,,,,
