gene_symbol,gene_id,is_upregulated_in_AD,brain_region,study,quality_assessment
ENTPD6,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MYH10,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ASNS,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SEPW1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DYNLT3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LSM4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ZFPM2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CDS1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
COX7C,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GRIN1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RAB6B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PPARGC1A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CEP41,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DIAPH2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PLEKHB2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CSPG5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TRUB1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CA11,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
AVL9,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RIMBP2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NDUFS5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
UG0898H09,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP6V0C,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KIFAP3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PCDH7,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
WARS,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC9A7,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GRM1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CADM3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ARHGEF28,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC25A4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
WDR47,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NLGN4X,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PNMAL2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PTPRG,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PODXL2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
VSNL1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ACSL4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC25A23,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
HSPA12A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CETN2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FAM126A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
COX7A2L,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
OCIAD1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NOS1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SYNGR1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FAM115A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
USP11,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FRMPD4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SNCB,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
OLA1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SCN4B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DLGAP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FIBP,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PLCH2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SEH1L,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ARHGAP10,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
AFG3L2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ADAM23,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
WDR61,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NDRG3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ACP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
AP2S1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SIPA1L3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
STS,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MKL2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LYNX1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CX3CL1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ARHGEF3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
AMPH,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
BAI2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KATNB1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
C5orf22,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RIMKLA,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
UBL5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GABRA4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
OPALIN,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CCDC104,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MXRA7,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
C2CD2L,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FZD1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NDUFA8,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
HTR1A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TTC19,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CASD1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RAP2B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PPIA,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PCNXL2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
JAKMIP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC25A11,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MRPL28,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KCNF1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SH3GL2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NRSN2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NAA20,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC22A17,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TTLL1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TMEM178B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RSPH3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TUBG2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KCNJ3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ACSL6,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
EFR3B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DNM1L,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
COPG1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
EFNB3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SVEP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PFKP,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LY6H,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC4A7,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CHCHD10,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ADCY9,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MYT1L,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP5C1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LAPTM4B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NRGN,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GRAMD1B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SPTBN2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RUNDC3A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP6AP2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PNMA2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DRP2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
B4GALNT1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NOS1AP,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DTD1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DGKZ,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ULK4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP5F1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PTPN5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP6V1B2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP6V0B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PPP1R2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DGKI,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CCSER1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GSS,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SYNPO,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC9A6,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CCNC,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NDN,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FBXL2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
HK1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PCDH1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RYR2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MOXD1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ACTR10,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SYT12,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
COPS8,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CDR2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MAGEH1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
IMP3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
VLDLR,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
HINT1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KCNH1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LNX1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CDH22,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NOL6,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ALDOA,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
WASL,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PTPRN2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KIAA0319,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ICA1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
AP2M1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CXADR,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NT5E,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KIAA1045,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CDH13,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GDAP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ME3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TMEM67,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GPR61,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FGD1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LONRF2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TRUB2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MAN1A1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
EXOC6,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP8A2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ACP2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
VDAC3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LRFN5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GABRB2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
OSTM1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TTC40,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KCNQ5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
UQCRC1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GSTA4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GHITM,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KCND2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NDUFA3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DGKH,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
AFAP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DLD,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KIAA1211L,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GPI,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PCDH20,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PAM,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PSMD8,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
UQCRC2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC25A12,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TCEAL4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP6V1D,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GRIA3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC12A5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CALN1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TRAF5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RAB36,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ACADSB,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MAP2K4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RPGRIP1L,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC25A3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NRP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ARPC1A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
COX7B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC4A3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FAM65B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ACTR1B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TSPYL1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GREB1L,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ITPR1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SIDT1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
EEF1A2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLITRK3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TSPAN13,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
AMIGO1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TCEAL5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KCNN2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LRRC7,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CADPS2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PPFIA2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CSMD3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RAPGEFL1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PKM,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PFKM,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DIRAS1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LPPR5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
JPH1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TOMM20,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
HOMER1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CDC40,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FAM49A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
QSOX1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FBXO34,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MYL12B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MEIS3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PFN2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TARBP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
C8orf34,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MAP1LC3A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
OPCML,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SGIP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GABBR2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PCMT1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TCEAL2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PNMA3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
OXCT1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NDUFB1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
OTUB1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
AGAP2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
B3GNT1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DYNC2LI1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
STOML1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GUCY1B3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ISPD,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NETO2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC9A7P1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
C16orf45,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CAMKK2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SCG3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP5O,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SNURF,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MRPS18A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TIMM17A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
UBE2QL1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NDUFB5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MRC2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LYPLA2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RNF112,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
UQCRH,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
B4GALT6,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DOC2B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
YWHAG,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PRKAR1B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RTN4R,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ARPC5L,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GLRB,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NDUFA5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
BCAS4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KCNK1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
EEF1B2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ADRBK2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NT5DC3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PRDX2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FAM212B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SNAP91,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MAPRE3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SYNJ1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PNCK,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PPP3CB,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PEG10,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
