chr	gene_id	gene_symbol	P-value	Zscore	Direction	regulation	heterogeneity_I_squared	heterogeneity_Chi_squared	heterogeneity_degrees_of_freedom_squared	heterogeneity_P-value
3	ENSG00000164068	RNF123	0.9178	-0.103	++-	Not differentially expressed	0.0	0.033	2	0.9839
1	ENSG00000132693	CRP	0.9201	-0.1	00-	Not differentially expressed	0.0	0.011	2	0.9943
12	ENSG00000257576	HSPD1P4	0.08215	-1.738	0+-	Not differentially expressed	44.3	3.593	2	0.1659
2	ENSG00000115866	DARS	0.377	-0.883	--+	Not differentially expressed	6.4	2.137	2	0.3435
16	ENSG00000102984	ZNF821	0.06314	-1.858	---	Not differentially expressed	0.0	1.642	2	0.4401
15	ENSG00000259315	ACTG1P17	0.6099	-0.51	-+-	Not differentially expressed	16.6	2.398	2	0.3014
X	ENSG00000220541	AC233289.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
12	ENSG00000256937	KRT17P8	0.9203	0.1	-++	Not differentially expressed	0.0	0.981	2	0.6124
7	ENSG00000106246	PTCD1	0.5285	-0.63	--+	Not differentially expressed	0.0	0.681	2	0.7115
4	ENSG00000185774	KCNIP4	0.0001506	-3.79	---	Not differentially expressed	0.0	0.086	2	0.9581
1	ENSG00000143324	XPR1	0.01752	-2.376	---	Not differentially expressed	0.0	0.595	2	0.7427
4	ENSG00000182903	ZNF721	0.01067	-2.553	---	Not differentially expressed	0.0	0.445	2	0.8005
14	ENSG00000166166	TRMT61A	0.5119	-0.656	---	Not differentially expressed	0.0	0.832	2	0.6598
1	ENSG00000225486	AL663058.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
12	ENSG00000256913	AC005840.3	0.5016	-0.672	00-	Not differentially expressed	0.0	0.515	2	0.7728
19	ENSG00000167600	CYP2S1	0.00399	2.879	0++	Not differentially expressed	34.8	3.066	2	0.2159
11	ENSG00000062282	DGAT2	0.0005827	-3.44	---	Not differentially expressed	0.0	0.906	2	0.6356
16	ENSG00000162062	TEDC2	0.07143	-1.803	---	Not differentially expressed	0.0	0.446	2	0.8003
7	ENSG00000230386	AC104057.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
4	ENSG00000250215	CIR1P2	0.756	-0.311	-+-	Not differentially expressed	0.0	0.624	2	0.7321
19	ENSG00000161249	DMKN	0.0272	-2.209	---	Not differentially expressed	0.0	1.887	2	0.3892
17	ENSG00000055483	USP36	0.0908	1.691	+++	Not differentially expressed	0.0	1.113	2	0.5733
15	ENSG00000259192	AC109631.1	0.5357	0.619	-+-	Not differentially expressed	0.0	1.98	2	0.3716
18	ENSG00000154059	IMPACT	0.2091	-1.256	---	Not differentially expressed	0.0	0.48	2	0.7867
18	ENSG00000101751	POLI	0.466	-0.729	-++	Not differentially expressed	14.1	2.328	2	0.3123
X	ENSG00000237891	AL441985.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
11	ENSG00000172425	TTC36	0.3278	-0.979	---	Not differentially expressed	0.0	0.205	2	0.9024
19	ENSG00000214347	AC011491.1	0.5622	-0.58	00-	Not differentially expressed	0.0	0.383	2	0.8256
15	ENSG00000260660	AC113208.2	0.7089	-0.373	0+-	Not differentially expressed	5.0	2.104	2	0.3492
10	ENSG00000228667	AL157385.1	0.7776	0.282	0+-	Not differentially expressed	71.1	6.915	2	0.03151
6	ENSG00000156564	LRFN2	0.000252	-3.66	---	Not differentially expressed	0.0	1.07	2	0.5857
3	ENSG00000160799	CCDC12	0.7912	-0.265	+--	Not differentially expressed	0.0	1.444	2	0.4857
8	ENSG00000104626	ERI1	0.7301	0.345	-+-	Not differentially expressed	34.5	3.053	2	0.2173
14	ENSG00000258477	PPIAP6	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
8	ENSG00000254352	AC100854.1	0.2315	-1.197	-+-	Not differentially expressed	45.0	3.639	2	0.1621
2	ENSG00000163013	FBXO41	0.1375	-1.485	+--	Not differentially expressed	59.4	4.923	2	0.08531
11	ENSG00000074201	CLNS1A	0.01887	-2.348	---	Not differentially expressed	0.0	1.963	2	0.3747
10	ENSG00000122870	BICC1	0.09827	-1.653	---	Not differentially expressed	0.0	1.808	2	0.405
16	ENSG00000166188	ZNF319	0.04006	2.053	+++	Not differentially expressed	0.0	0.94	2	0.6249
10	ENSG00000234569	RAD1P1	0.4624	-0.735	0+-	Not differentially expressed	0.0	1.971	2	0.3732
18	ENSG00000267336	EIF4A2P1	0.9774	-0.028	00-	Not differentially expressed	0.0	0.001	2	0.9995
4	ENSG00000132463	GRSF1	0.0155	-2.421	---	Not differentially expressed	0.0	0.084	2	0.9588
X	ENSG00000165704	HPRT1	2.174e-05	-4.246	---	Not differentially expressed	0.0	0.447	2	0.7995
15	ENSG00000234664	HMGN2P5	0.855	0.183	0++	Not differentially expressed	0.0	0.07	2	0.9657
2	ENSG00000170802	FOXN2	0.03937	2.06	-++	Not differentially expressed	0.0	1.729	2	0.4213
1	ENSG00000067208	EVI5	0.3865	-0.866	--+	Not differentially expressed	33.6	3.011	2	0.2219
17	ENSG00000141255	SPATA22	0.9844	0.019	-++	Not differentially expressed	0.0	0.266	2	0.8756
21	ENSG00000277277	FAM243B	0.1642	1.391	++-	Not differentially expressed	79.8	9.925	2	0.006997
3	ENSG00000072858	SIDT1	0.002761	-2.993	---	Not differentially expressed	0.0	0.541	2	0.7628
6	ENSG00000164442	CITED2	0.001747	-3.13	+--	Not differentially expressed	53.7	4.318	2	0.1155
9	ENSG00000236801	RPL24P8	0.3508	0.933	0++	Not differentially expressed	0.0	0.812	2	0.6664
7	ENSG00000250778	AC004980.4	0.6804	-0.412	00-	Not differentially expressed	0.0	0.194	2	0.9077
1	ENSG00000223375	AC096638.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
1	ENSG00000143862	ARL8A	0.4081	-0.827	+--	Not differentially expressed	0.0	1.581	2	0.4535
4	ENSG00000250361	GYPB	0.01354	-2.469	---	Not differentially expressed	0.0	1.691	2	0.4294
2	ENSG00000241635	UGT1A1	0.2772	1.087	-++	Not differentially expressed	1.6	2.032	2	0.362
17	ENSG00000109101	FOXN1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
10	ENSG00000231060	FARSBP1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
17	ENSG00000173894	CBX2	0.2422	1.169	-++	Not differentially expressed	0.0	1.98	2	0.3716
9	ENSG00000165060	FXN	0.4327	0.785	++-	Not differentially expressed	0.0	0.71	2	0.701
15	ENSG00000215296	TMCO5B	0.00137	-3.201	0--	Not differentially expressed	91.9	24.704	2	4.32e-06
6	ENSG00000198945	L3MBTL3	0.02843	-2.191	---	Not differentially expressed	0.0	0.219	2	0.8962
7	ENSG00000226857	DUTP3	0.7748	-0.286	0+-	Not differentially expressed	0.0	1.286	2	0.5258
6	ENSG00000274997	HIST1H2AH	0.4706	0.721	-+0	Not differentially expressed	24.2	2.638	2	0.2674
1	ENSG00000116191	RALGPS2	0.8974	-0.129	--+	Not differentially expressed	0.0	0.358	2	0.836
12	ENSG00000283542	OASL2P	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
4	ENSG00000071127	WDR1	0.09772	1.656	+++	Not differentially expressed	0.0	1.691	2	0.4293
6	ENSG00000096264	NCR2	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
19	ENSG00000104888	SLC17A7	0.00218	-3.065	+--	Not differentially expressed	48.7	3.898	2	0.1424
2	ENSG00000019169	MARCO	0.4774	0.71	-++	Not differentially expressed	0.0	1.025	2	0.599
1	ENSG00000224261	RPSAP18	0.6609	0.439	0+-	Not differentially expressed	38.7	3.261	2	0.1958
6	ENSG00000125337	KIF25	0.7818	0.277	--+	Not differentially expressed	0.2	2.003	2	0.3673
11	ENSG00000133789	SWAP70	1.696e-08	5.64	+++	Upregulated in AD	0.0	0.607	2	0.7383
6	ENSG00000227057	WDR46	0.5053	-0.666	++-	Not differentially expressed	16.4	2.392	2	0.3025
2	ENSG00000135913	USP37	0.1436	1.463	+++	Not differentially expressed	32.2	2.95	2	0.2288
7	ENSG00000075624	ACTB	0.2281	-1.205	+--	Not differentially expressed	75.0	7.997	2	0.01835
9	ENSG00000165105	RASEF	0.5039	0.668	++-	Not differentially expressed	0.0	1.979	2	0.3718
17	ENSG00000280852	AC025048.6	0.8933	-0.134	0--	Not differentially expressed	0.0	0.011	2	0.9948
9	ENSG00000176386	CDC26	0.07324	1.791	+-+	Not differentially expressed	59.9	4.986	2	0.08265
19	ENSG00000170848	PSG6	0.2646	-1.116	-+-	Not differentially expressed	0.0	1.385	2	0.5002
11	ENSG00000178301	AQP11	0.0004566	-3.505	---	Not differentially expressed	1.4	2.029	2	0.3626
12	ENSG00000197651	CCER1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
2	ENSG00000238111	AC066692.1	0.9795	-0.026	00-	Not differentially expressed	0.0	0.001	2	0.9996
1	ENSG00000088035	ALG6	0.8726	-0.16	-+-	Not differentially expressed	66.3	5.94	2	0.05129
X	ENSG00000225008	AC234781.2	0.5175	0.647	00+	Not differentially expressed	0.0	0.478	2	0.7874
18	ENSG00000101680	LAMA1	0.1397	1.477	+++	Not differentially expressed	0.0	0.835	2	0.6588
13	ENSG00000215572	ESRRAP1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
7	ENSG00000078319	PMS2P1	0.01824	-2.361	---	Not differentially expressed	0.0	0.215	2	0.8982
16	ENSG00000215154	AC141586.1	0.2539	1.141	++-	Not differentially expressed	44.9	3.627	2	0.1631
3	ENSG00000241319	SETP6	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
7	ENSG00000225935	BANF1P5	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
5	ENSG00000253897	AC034205.2	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
12	ENSG00000136048	DRAM1	0.01097	2.544	-++	Not differentially expressed	32.7	2.972	2	0.2262
17	ENSG00000179593	ALOX15B	0.00117	3.246	+++	Not differentially expressed	0.0	0.531	2	0.7669
10	ENSG00000166224	SGPL1	0.05822	1.894	--+	Not differentially expressed	73.0	7.419	2	0.02449
1	ENSG00000080947	CROCCP3	0.07389	1.787	+++	Not differentially expressed	0.0	1.374	2	0.5032
6	ENSG00000130349	C6orf203	0.6661	0.431	+-+	Not differentially expressed	0.0	1.804	2	0.4057
17	ENSG00000185294	SPPL2C	0.8362	-0.207	0--	Not differentially expressed	0.0	0.018	2	0.9911
11	ENSG00000110011	DNAJC4	0.1445	1.459	++-	Not differentially expressed	25.7	2.69	2	0.2605
X	ENSG00000198573	SPANXC	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
19	ENSG00000213777	AC011487.1	0.935	0.082	0+-	Not differentially expressed	0.0	1.086	2	0.5809
22	ENSG00000188636	RTL6	0.5961	-0.53	+--	Not differentially expressed	59.0	4.875	2	0.0874
17	ENSG00000231645	KRT17P6	0.4381	-0.775	0--	Not differentially expressed	0.0	0.265	2	0.8758
5	ENSG00000085365	SCAMP1	0.007348	-2.681	---	Not differentially expressed	0.0	1.199	2	0.5492
6	ENSG00000218986	AL136087.1	0.3987	-0.844	00-	Not differentially expressed	0.0	0.813	2	0.666
9	ENSG00000148082	SHC3	6.656e-06	-4.504	---	Not differentially expressed	24.7	2.656	2	0.265
X	ENSG00000232582	AC234771.3	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
5	ENSG00000135083	CCNJL	0.4182	0.81	+++	Not differentially expressed	0.0	0.222	2	0.8949
10	ENSG00000232075	MRPL35P2	0.8523	0.186	00+	Not differentially expressed	0.0	0.04	2	0.9804
7	ENSG00000227910	AC092634.4	0.7925	-0.263	0+-	Not differentially expressed	0.0	0.357	2	0.8365
17	ENSG00000196859	KRT39	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
7	ENSG00000230626	AC011005.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
19	ENSG00000197405	C5AR1	0.07067	1.808	+++	Not differentially expressed	0.0	1.369	2	0.5043
13	ENSG00000279124	AL356585.2	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
11	ENSG00000173465	SSSCA1	0.03106	-2.156	+--	Not differentially expressed	27.6	2.763	2	0.2512
3	ENSG00000237806	FAUP2	0.2559	-1.136	00-	Not differentially expressed	0.0	1.473	2	0.4787
11	ENSG00000110079	MS4A4A	0.1335	1.5	+++	Not differentially expressed	13.2	2.304	2	0.3161
X	ENSG00000123165	ACTRT1	0.3054	1.025	00+	Not differentially expressed	0.0	1.199	2	0.5491
3	ENSG00000271711	AC069236.1	0.8658	0.169	0+-	Not differentially expressed	0.0	1.437	2	0.4876
17	ENSG00000161940	BCL6B	0.0002079	3.709	+++	Not differentially expressed	0.0	0.013	2	0.9937
7	ENSG00000129103	SUMF2	0.2647	-1.115	---	Not differentially expressed	0.0	0.076	2	0.9629
3	ENSG00000163602	RYBP	0.4695	0.723	-++	Not differentially expressed	0.0	0.658	2	0.7197
19	ENSG00000130813	C19orf66	0.5164	-0.649	---	Not differentially expressed	0.0	0.193	2	0.9082
5	ENSG00000250420	AACSP1	0.7455	-0.325	---	Not differentially expressed	0.0	0.043	2	0.9788
19	ENSG00000130244	FAM98C	0.3676	-0.901	---	Not differentially expressed	0.0	0.233	2	0.8901
X	ENSG00000165182	CXorf58	0.7612	-0.304	0-+	Not differentially expressed	0.0	0.505	2	0.7769
9	ENSG00000156345	CDK20	0.0001133	-3.86	---	Not differentially expressed	0.0	0.46	2	0.7944
X	ENSG00000231164	RPL7P56	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
8	ENSG00000183309	ZNF623	0.9141	0.108	--+	Not differentially expressed	28.6	2.802	2	0.2464
12	ENSG00000123338	NCKAP1L	0.01827	2.36	+++	Not differentially expressed	8.0	2.175	2	0.3371
2	ENSG00000063660	GPC1	0.2621	-1.121	+--	Not differentially expressed	24.2	2.639	2	0.2673
18	ENSG00000264845	AC119868.1	0.7644	-0.3	0+-	Not differentially expressed	0.0	0.707	2	0.7023
4	ENSG00000164089	ETNPPL	0.1063	-1.615	---	Not differentially expressed	0.0	1.152	2	0.562
X	ENSG00000203952	CCDC160	9.882e-06	4.42	+++	Not differentially expressed	0.0	0.963	2	0.6178
14	ENSG00000100490	CDKL1	0.9161	-0.105	+--	Not differentially expressed	0.0	0.006	2	0.9972
4	ENSG00000223569	USP17L15	0.8985	-0.128	00-	Not differentially expressed	0.0	0.019	2	0.9908
14	ENSG00000165410	CFL2	0.5433	-0.608	--+	Not differentially expressed	0.0	0.799	2	0.6707
17	ENSG00000186868	MAPT	0.4111	-0.822	+--	Not differentially expressed	0.0	1.715	2	0.4242
11	ENSG00000257101	LRRC37A13P	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
2	ENSG00000144580	CNOT9	0.4775	0.71	++-	Not differentially expressed	0.0	1.689	2	0.4297
16	ENSG00000156858	PRR14	0.02164	2.297	+++	Not differentially expressed	0.0	1.488	2	0.4753
20	ENSG00000100997	ABHD12	0.0389	-2.065	+--	Not differentially expressed	8.0	2.174	2	0.3373
22	ENSG00000100003	SEC14L2	0.0006476	3.411	+++	Not differentially expressed	0.0	0.788	2	0.6742
7	ENSG00000262648	PHBP15	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
17	ENSG00000091622	PITPNM3	0.000685	-3.396	+--	Not differentially expressed	69.3	6.523	2	0.03832
7	ENSG00000233523	PHBP5	0.6233	-0.491	+--	Not differentially expressed	0.0	0.779	2	0.6773
15	ENSG00000058335	RASGRF1	0.0005387	-3.461	---	Not differentially expressed	0.0	1.905	2	0.3858
X	ENSG00000165175	MID1IP1	5.639e-08	5.43	+++	Upregulated in AD	76.6	8.532	2	0.01404
2	ENSG00000115694	STK25	0.08789	-1.707	---	Not differentially expressed	0.0	0.578	2	0.7489
6	ENSG00000204231	RXRB	0.1927	-1.303	+--	Not differentially expressed	0.0	1.914	2	0.384
5	ENSG00000113211	PCDHB6	0.1537	1.427	+++	Not differentially expressed	0.0	1.063	2	0.5877
6	ENSG00000272162	AL024498.2	0.7058	0.378	0+0	Not differentially expressed	0.0	0.399	2	0.819
4	ENSG00000152208	GRID2	0.2317	-1.196	---	Not differentially expressed	0.0	0.785	2	0.6754
14	ENSG00000187790	FANCM	0.04984	-1.961	---	Not differentially expressed	0.0	0.285	2	0.8673
12	ENSG00000174206	C12orf66	0.9547	-0.057	+-+	Not differentially expressed	0.0	0.055	2	0.973
X	ENSG00000130119	GNL3L	0.5773	0.557	+-+	Not differentially expressed	74.4	7.823	2	0.02001
10	ENSG00000122376	SHLD2	0.137	1.487	-++	Not differentially expressed	8.8	2.192	2	0.3342
19	ENSG00000229833	PET100	0.1058	-1.617	---	Not differentially expressed	14.1	2.328	2	0.3122
17	ENSG00000176108	CHMP6	0.8476	-0.192	++-	Not differentially expressed	0.0	0.242	2	0.8861
15	ENSG00000182405	PGBD4	0.109	-1.603	---	Not differentially expressed	19.6	2.487	2	0.2883
10	ENSG00000130649	CYP2E1	0.01072	-2.552	---	Not differentially expressed	0.0	0.358	2	0.8361
5	ENSG00000253144	AC104117.2	0.9845	-0.019	0+-	Not differentially expressed	0.0	0.395	2	0.8208
11	ENSG00000255190	TRIM51DP	0.9485	-0.065	0+-	Not differentially expressed	0.0	0.009	2	0.9954
10	ENSG00000165424	ZCCHC24	2.584e-06	4.701	+++	Not differentially expressed	0.0	1.057	2	0.5895
11	ENSG00000149823	VPS51	0.3721	-0.893	--+	Not differentially expressed	0.0	0.766	2	0.6819
15	ENSG00000140285	FGF7	0.121	-1.551	---	Not differentially expressed	0.0	0.894	2	0.6395
19	ENSG00000240231	RPS27P29	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
9	ENSG00000054148	PHPT1	0.2983	-1.04	--+	Not differentially expressed	0.0	1.581	2	0.4537
12	ENSG00000175189	INHBC	0.4267	-0.795	00-	Not differentially expressed	0.0	0.721	2	0.6973
2	ENSG00000088205	DDX18	0.8618	-0.174	+--	Not differentially expressed	0.0	0.09	2	0.9561
12	ENSG00000121316	PLBD1	0.03838	2.071	+++	Not differentially expressed	0.0	0.555	2	0.7578
14	ENSG00000151320	AKAP6	0.004429	-2.846	---	Not differentially expressed	0.0	0.754	2	0.6859
6	ENSG00000171462	DLK2	0.0001082	-3.872	---	Not differentially expressed	0.0	0.207	2	0.9016
9	ENSG00000165030	NFIL3	0.3082	1.019	+-+	Not differentially expressed	0.0	0.669	2	0.7158
1	ENSG00000162714	ZNF496	0.8097	0.241	++-	Not differentially expressed	32.1	2.947	2	0.2291
12	ENSG00000256852	KNOP1P1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
7	ENSG00000184616	SPDYE12P	0.07606	-1.774	0--	Not differentially expressed	0.0	1.546	2	0.4616
6	ENSG00000112245	PTP4A1	0.2559	-1.136	---	Not differentially expressed	0.0	0.447	2	0.7997
15	ENSG00000128881	TTBK2	0.004516	-2.84	---	Not differentially expressed	0.0	0.566	2	0.7535
4	ENSG00000181004	BBS12	0.001788	-3.123	---	Not differentially expressed	0.0	0.199	2	0.9054
1	ENSG00000142583	SLC2A5	0.1574	1.414	+++	Not differentially expressed	0.0	1.678	2	0.4321
4	ENSG00000152591	DSPP	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
1	ENSG00000090621	PABPC4	0.9475	0.066	++-	Not differentially expressed	0.0	0.744	2	0.6895
1	ENSG00000143578	CREB3L4	0.3883	0.863	++-	Not differentially expressed	0.0	1.53	2	0.4654
5	ENSG00000131183	SLC34A1	0.5618	-0.58	00-	Not differentially expressed	0.0	0.384	2	0.8252
8	ENSG00000034239	EFCAB1	0.5545	-0.591	-+-	Not differentially expressed	0.0	0.161	2	0.9225
11	ENSG00000137500	CCDC90B	0.2241	1.216	++-	Not differentially expressed	0.0	1.888	2	0.3891
1	ENSG00000143387	CTSK	0.1919	-1.305	--+	Not differentially expressed	49.6	3.968	2	0.1375
9	ENSG00000136854	STXBP1	0.01408	-2.455	+--	Not differentially expressed	66.7	6.013	2	0.04947
5	ENSG00000240436	AC114982.1	0.6344	0.475	0+0	Not differentially expressed	0.0	0.633	2	0.7285
11	ENSG00000173992	CCS	0.04299	-2.024	---	Not differentially expressed	0.0	0.343	2	0.8425
3	ENSG00000160746	ANO10	0.1082	-1.606	---	Not differentially expressed	0.0	0.971	2	0.6153
1	ENSG00000197747	S100A10	0.001728	3.133	+++	Not differentially expressed	0.0	1.012	2	0.603
12	ENSG00000257758	KRT18P20	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
5	ENSG00000145850	TIMD4	0.6203	0.495	00+	Not differentially expressed	0.0	0.28	2	0.8693
14	ENSG00000174373	RALGAPA1	0.2791	-1.082	-+-	Not differentially expressed	0.0	1.73	2	0.4209
14	ENSG00000186910	SERPINA11	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
3	ENSG00000114805	PLCH1	0.0053	-2.788	---	Not differentially expressed	0.0	0.655	2	0.7207
8	ENSG00000167701	GPT	0.007989	2.653	+++	Not differentially expressed	0.0	0.055	2	0.9727
12	ENSG00000123096	SSPN	0.03154	2.15	+++	Not differentially expressed	0.0	0.607	2	0.7384
7	ENSG00000087077	TRIP6	3.439e-05	4.142	+++	Not differentially expressed	0.0	0.088	2	0.9568
