MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_bh_adjusted	gene_symbol	ensembl_id	chromosome	start_position	regulation
NBPF10|ENSG00000271425	ad	control	687.0	-1.932	0.05335	-----++++-----	0.17801063476237952	NBPF10	ENSG00000271425	1	146064711	Not differentially expressed
NAGA|ENSG00000198951	ad	control	687.0	-1.999	0.04566	-----------+--	0.16208087663485332	NAGA	ENSG00000198951	22	42058334	Not differentially expressed
CCSAP|ENSG00000154429	ad	control	687.0	1.892	0.05847	+++++----+++++	0.1882741500962155	CCSAP	ENSG00000154429	1	229321011	Not differentially expressed
FBXL4|ENSG00000112234	ad	control	687.0	-0.581	0.5613	-----++++-+++-	0.7292251552795032	FBXL4	ENSG00000112234	6	98868535	Not differentially expressed
PFKFB4|ENSG00000114268	ad	control	687.0	-1.809	0.07049	--------+--+--	0.2115121338912134	PFKFB4	ENSG00000114268	3	48517684	Not differentially expressed
IRF2BPL|ENSG00000119669	ad	control	687.0	-3.632	0.0002808	--------------	0.011016546875	IRF2BPL	ENSG00000119669	14	77024543	Not differentially expressed
EPHB2|ENSG00000133216	ad	control	687.0	-0.418	0.6759	+---+++------+	0.8106601361844462	EPHB2	ENSG00000133216	1	22710839	Not differentially expressed
FBXW2|ENSG00000119402	ad	control	687.0	1.964	0.04953	+++++--++-+++-	0.1703601233299075	FBXW2	ENSG00000119402	9	120751978	Not differentially expressed
HDAC9|ENSG00000048052	ad	control	687.0	-0.908	0.3639	++-+++--+-----	0.5665306249030857	HDAC9	ENSG00000048052	7	18086949	Not differentially expressed
NTN1|ENSG00000065320	ad	control	687.0	-2.276	0.02284	----+-----++--	0.10934038095238095	NTN1	ENSG00000065320	17	9021510	Not differentially expressed
SAMD15|ENSG00000100583	ad	control	687.0	-0.451	0.6519	---++-++----++	0.793631138595853	SAMD15	ENSG00000100583	14	77376689	Not differentially expressed
IGFBP6|ENSG00000167779	ad	control	687.0	-1.2	0.2301	+++++----+--+-	0.4298053953488372	IGFBP6	ENSG00000167779	12	53097436	Not differentially expressed
TMEM74|ENSG00000164841	ad	control	687.0	1.266	0.2056	-+-+-++++-+++-	0.4023828460038986	TMEM74	ENSG00000164841	8	108606850	Not differentially expressed
DPM1|ENSG00000000419	ad	control	687.0	0.152	0.8788	+++++----+-+++	0.9359448392913972	DPM1	ENSG00000000419	20	50934867	Not differentially expressed
RXRB|ENSG00000227322	ad	control	687.0	-0.676	0.4989	++++------+-+-	0.6797334780838649	RXRB	ENSG00000227322	HSCHR6_MHC_COX_CTG1	4605095	Not differentially expressed
OLA1|ENSG00000138430	ad	control	687.0	3.161	0.001573	+++++----+++++	0.02601799011532125	OLA1	ENSG00000138430	2	174072447	Not differentially expressed
UBFD1|ENSG00000103353	ad	control	687.0	0.268	0.789	++++-----++-++	0.8831170568561874	UBFD1	ENSG00000103353	16	23557721	Not differentially expressed
C9orf72|ENSG00000147894	ad	control	687.0	1.865	0.06219	+++++----+++++	0.1962865765482553	C9orf72	ENSG00000147894	9	27535640	Not differentially expressed
SRSF2|ENSG00000161547	ad	control	687.0	1.53	0.1261	+++++------+-+	0.3000815359089831	SRSF2	ENSG00000161547	17	76734115	Not differentially expressed
ZGPAT|ENSG00000197114	ad	control	687.0	-2.249	0.02451	----++++------	0.11419044083526682	ZGPAT	ENSG00000197114	20	63707465	Not differentially expressed
FAM222B|ENSG00000173065	ad	control	687.0	-1.975	0.04827	-------------+	0.1674605390463027	FAM222B	ENSG00000173065	17	28755980	Not differentially expressed
DMKN|ENSG00000161249	ad	control	687.0	0.473	0.6359	+++++-----+-+-	0.782214653271257	DMKN	ENSG00000161249	19	35497220	Not differentially expressed
NUDT6|ENSG00000170917	ad	control	687.0	0.769	0.4417	+++++++---++-+	0.6323496363895622	NUDT6	ENSG00000170917	4	122888697	Not differentially expressed
KAT8|ENSG00000103510	ad	control	687.0	-0.654	0.5129	-+--+-+--++-++	0.6901911271947461	KAT8	ENSG00000103510	16	31114489	Not differentially expressed
POMGNT2|ENSG00000144647	ad	control	687.0	-2.108	0.03505	+++----------+	0.13854409448818897	POMGNT2	ENSG00000144647	3	43079229	Not differentially expressed
PRP4K|ENSG00000112739	ad	control	687.0	-1.671	0.09465	-----++++--++-	0.2532605382360778	PRP4K	ENSG00000112739	6	4021267	Not differentially expressed
TRIM62|ENSG00000116525	ad	control	687.0	-0.706	0.4801	----+++-+-++-+	0.6645807252171516	TRIM62	ENSG00000116525	1	33145399	Not differentially expressed
MSR1|ENSG00000038945	ad	control	687.0	-3.583	0.0003401	+-----------+-	0.011774802721088435	MSR1	ENSG00000038945	8	16107878	Not differentially expressed
CRYL1|ENSG00000165475	ad	control	687.0	2.102	0.03553	++++-+++++++++	0.13880202334630348	CRYL1	ENSG00000165475	13	20403666	Not differentially expressed
FOXRED1|ENSG00000110074	ad	control	687.0	1.836	0.06634	+++++--++++-++	0.20374842459467726	FOXRED1	ENSG00000110074	11	126269024	Not differentially expressed
MDGA2|ENSG00000139915	ad	control	687.0	0.899	0.3689	++++++---++-++	0.5709505164174502	MDGA2	ENSG00000139915	14	46840092	Not differentially expressed
MIA2|ENSG00000150527	ad	control	687.0	-0.33	0.7415	--+++----+++++	0.8536992205410363	MIA2	ENSG00000150527	14	39230231	Not differentially expressed
VRK2|ENSG00000028116	ad	control	687.0	-0.564	0.5729	-----+-++-++--	0.7380875144360323	VRK2	ENSG00000028116	2	57907629	Not differentially expressed
IKZF4|ENSG00000123411	ad	control	687.0	-0.754	0.4507	----+++--+----	0.6395799293286218	IKZF4	ENSG00000123411	12	56007659	Not differentially expressed
PDE4C|ENSG00000285188	ad	control	687.0	-2.807	0.005001	----+----+----	0.04692527102803739	PDE4C	ENSG00000285188	19	18207961	Not differentially expressed
MSMO1|ENSG00000052802	ad	control	687.0	0.823	0.4103	+++++-----++++	0.6070456822870616	MSMO1	ENSG00000052802	4	165327667	Not differentially expressed
AKR1C3|ENSG00000196139	ad	control	687.0	-3.492	0.0004798	------+-+---+-	0.014168211764705884	AKR1C3	ENSG00000196139	10	5035354	Not differentially expressed
MBLAC2|ENSG00000176055	ad	control	687.0	2.881	0.003966	++++++---+++++	0.04134853582554517	MBLAC2	ENSG00000176055	5	90458209	Not differentially expressed
ENTREP1|ENSG00000135063	ad	control	687.0	-2.971	0.002971	-----------+--	0.03572316167664671	ENTREP1	ENSG00000135063	9	69324567	Not differentially expressed
SYNRG|ENSG00000275066	ad	control	687.0	-0.08	0.9361	-+--+++++-++--	0.9685123660346249	SYNRG	ENSG00000275066	17	37514807	Not differentially expressed
CDK7|ENSG00000134058	ad	control	687.0	-0.106	0.9155	-++++----+--++	0.957161303759242	CDK7	ENSG00000134058	5	69234795	Not differentially expressed
ZNF100|ENSG00000274746	ad	control	687.0	-1.522	0.128	----------+++-	0.3030228719641594	ZNF100	ENSG00000274746	HSCHR19_2_CTG2	83956	Not differentially expressed
RAB8B|ENSG00000166128	ad	control	687.0	-1.248	0.2122	-++------++++-	0.40970923076923077	RAB8B	ENSG00000166128	15	63189560	Not differentially expressed
SEC61B|ENSG00000106803	ad	control	687.0	1.16	0.246	+++++-----++-+	0.4469489685124864	SEC61B	ENSG00000106803	9	99222064	Not differentially expressed
ZC3H12C|ENSG00000149289	ad	control	687.0	-1.639	0.1012	-----++++-+++-	0.2637715472481828	ZC3H12C	ENSG00000149289	11	110093392	Not differentially expressed
TATDN3|ENSG00000203705	ad	control	687.0	2.968	0.002999	+++++----+++++	0.03581290628706999	TATDN3	ENSG00000203705	1	212791828	Not differentially expressed
KCNJ4|ENSG00000168135	ad	control	687.0	0.188	0.8508	+++++--------+	0.9216144058658615	KCNJ4	ENSG00000168135	22	38426327	Not differentially expressed
LRP6|ENSG00000281324	ad	control	687.0	0.317	0.7512	-----++++-+++-	0.8601788321167883	LRP6	ENSG00000281324	HG1362_PATCH	85023	Not differentially expressed
MTPAP|ENSG00000107951	ad	control	687.0	0.976	0.3291	-++-++---+++++	0.5333598062953996	MTPAP	ENSG00000107951	10	30309801	Not differentially expressed
C2orf49|ENSG00000135974	ad	control	687.0	0.725	0.4683	+-++-+-++-+++-	0.6538356278681685	C2orf49	ENSG00000135974	2	105337532	Not differentially expressed
DARS2|ENSG00000117593	ad	control	687.0	-1.935	0.05304	++------------	0.17756390276390277	DARS2	ENSG00000117593	1	173824653	Not differentially expressed
CSF3R|ENSG00000119535	ad	control	687.0	-2.12	0.03399	-----------+--	0.13616274431591546	CSF3R	ENSG00000119535	1	36466043	Not differentially expressed
TMEM208|ENSG00000168701	ad	control	687.0	-0.373	0.709	----+------+++	0.8329464076761057	TMEM208	ENSG00000168701	16	67227103	Not differentially expressed
ADHFE1|ENSG00000147576	ad	control	687.0	1.145	0.2522	+++++-----++++	0.4531470483005367	ADHFE1	ENSG00000147576	8	66432492	Not differentially expressed
NFKBIE|ENSG00000146232	ad	control	687.0	-1.107	0.2682	++-----------+	0.47075664335664336	NFKBIE	ENSG00000146232	6	44258166	Not differentially expressed
EXOSC1|ENSG00000171311	ad	control	687.0	0.046	0.9633	-----------+++	0.9822869326835212	EXOSC1	ENSG00000171311	10	97435909	Not differentially expressed
BCAR3|ENSG00000137936	ad	control	687.0	-3.101	0.00193	-----++++-----	0.028792273402674592	BCAR3	ENSG00000137936	1	93561741	Not differentially expressed
AMPD3|ENSG00000133805	ad	control	687.0	0.853	0.3934	-----++++-++-+	0.5931425138909747	AMPD3	ENSG00000133805	11	10308313	Not differentially expressed
CTTNBP2NL|ENSG00000143079	ad	control	687.0	-1.981	0.04759	-----+-++--++-	0.16607702467848454	CTTNBP2NL	ENSG00000143079	1	112396214	Not differentially expressed
PIK3C3|ENSG00000078142	ad	control	687.0	2.98	0.002883	+++++--+++++++	0.035342271062271065	PIK3C3	ENSG00000078142	18	41955234	Not differentially expressed
ATP13A1|ENSG00000105726	ad	control	687.0	-2.263	0.02363	------+-------	0.11162894736842105	ATP13A1	ENSG00000105726	19	19645198	Not differentially expressed
ZBTB16|ENSG00000109906	ad	control	687.0	-3.516	0.0004387	-------++-----	0.013386666666666668	ZBTB16	ENSG00000109906	11	114059041	Not differentially expressed
TEFM|ENSG00000172171	ad	control	687.0	-0.89	0.3732	-----++--++-++	0.5741538461538461	TEFM	ENSG00000172171	17	30897336	Not differentially expressed
SLC17A5|ENSG00000119899	ad	control	687.0	-1.255	0.2094	-+-------++++-	0.40617774343122104	SLC17A5	ENSG00000119899	6	73593379	Not differentially expressed
DPCD|ENSG00000166171	ad	control	687.0	-0.405	0.6854	-++++-----+-++	0.8168822412155746	DPCD	ENSG00000166171	10	101570560	Not differentially expressed
PLXNC1|ENSG00000136040	ad	control	687.0	2.778	0.005473	+++++-+--++-++	0.04875680567879326	PLXNC1	ENSG00000136040	12	94148577	Not differentially expressed
LIN7C|ENSG00000148943	ad	control	687.0	-1.131	0.2579	+-+------++++-	0.459017195532707	LIN7C	ENSG00000148943	11	27494418	Not differentially expressed
ZNF787|ENSG00000142409	ad	control	687.0	-1.873	0.06113	-----++++-----	0.1941617209743752	ZNF787	ENSG00000142409	19	56087366	Not differentially expressed
TSPAN12|ENSG00000106025	ad	control	687.0	-1.547	0.122	---------++-+-	0.29465479913399084	TSPAN12	ENSG00000106025	7	120787320	Not differentially expressed
RPRML|ENSG00000179673	ad	control	687.0	-0.341	0.7334	--+-+----+---+	0.8488973945123358	RPRML	ENSG00000179673	17	46978156	Not differentially expressed
RBM23|ENSG00000100461	ad	control	687.0	-1.526	0.1269	-----++++--++-	0.3014137686302342	RBM23	ENSG00000100461	14	22893204	Not differentially expressed
JHY|ENSG00000109944	ad	control	687.0	-2.574	0.01006	-----+++------	0.06803687752355317	JHY	ENSG00000109944	11	122882683	Not differentially expressed
RHOB|ENSG00000143878	ad	control	687.0	-0.943	0.3457	----++-----+--	0.5490947634867901	RHOB	ENSG00000143878	2	20447074	Not differentially expressed
HBA2|ENSG00000188536	ad	control	687.0	1.012	0.3114	----+----+-+-+	0.5163381211821034	HBA2	ENSG00000188536	16	172876	Not differentially expressed
CCKBR|ENSG00000110148	ad	control	687.0	2.144	0.03207	+++++----+---+	0.13183921408104787	CCKBR	ENSG00000110148	11	6259806	Not differentially expressed
PDGFA-DT|ENSG00000223855	ad	control	687.0	-1.818	0.06911	-----++-++-+--	0.2090255421686747	PDGFA-DT	ENSG00000223855	7	520391	Not differentially expressed
FAM120A|ENSG00000048828	ad	control	687.0	-1.563	0.1181	-----+-++--+-+	0.2892009756097561	FAM120A	ENSG00000048828	9	93451685	Not differentially expressed
GABRA5|ENSG00000186297	ad	control	687.0	0.36	0.7187	+++--+---++-++	0.8392547970694267	GABRA5	ENSG00000186297	15	26866911	Not differentially expressed
MFAP3L|ENSG00000198948	ad	control	687.0	0.235	0.8144	++++-++++--+--	0.8985248351648353	MFAP3L	ENSG00000198948	4	169986597	Not differentially expressed
CCDC149|ENSG00000181982	ad	control	687.0	-0.666	0.5051	-++--++++-----	0.6841883432271991	CCDC149	ENSG00000181982	4	24803514	Not differentially expressed
IRAG1|ENSG00000072952	ad	control	687.0	-0.105	0.9163	-------++--+-+	0.9573995212821312	IRAG1	ENSG00000072952	11	10573091	Not differentially expressed
XAB2|ENSG00000076924	ad	control	687.0	-0.584	0.559	----+-+-+----+	0.727604093794533	XAB2	ENSG00000076924	19	7619525	Not differentially expressed
CEP44|ENSG00000164118	ad	control	687.0	1.162	0.2452	+++++-+--++++-	0.446384043517679	CEP44	ENSG00000164118	4	174283730	Not differentially expressed
CABLES1|ENSG00000134508	ad	control	687.0	0.188	0.851	------+++++-++	0.9216144058658615	CABLES1	ENSG00000134508	18	23134564	Not differentially expressed
TRPM7|ENSG00000092439	ad	control	687.0	-0.913	0.3614	-----++++---+-	0.5643888629646912	TRPM7	ENSG00000092439	15	50552473	Not differentially expressed
CEP95|ENSG00000258890	ad	control	687.0	-0.942	0.3463	----+-+++--++-	0.5495261577366841	CEP95	ENSG00000258890	17	64506865	Not differentially expressed
LMAN2L|ENSG00000114988	ad	control	687.0	-2.23	0.02574	+----+--------	0.11714091526959673	LMAN2L	ENSG00000114988	2	96705929	Not differentially expressed
PHTF2|ENSG00000006576	ad	control	687.0	0.573	0.567	+++++----++++-	0.7335927835051546	PHTF2	ENSG00000006576	7	77798773	Not differentially expressed
INTS8|ENSG00000164941	ad	control	687.0	-1.985	0.04715	-----+++-+--+-	0.16575140056022408	INTS8	ENSG00000164941	8	94813311	Not differentially expressed
PGBD1|ENSG00000137338	ad	control	687.0	1.001	0.3168	++++++----+--+	0.5209883739970526	PGBD1	ENSG00000137338	6	28281572	Not differentially expressed
RFXANK|ENSG00000064490	ad	control	687.0	-0.891	0.3727	-------+---+-+	0.5738022382339415	RFXANK	ENSG00000064490	19	19192229	Not differentially expressed
SOCS6|ENSG00000170677	ad	control	687.0	-2.754	0.005879	-----++++-+++-	0.05035406649616368	SOCS6	ENSG00000170677	18	70289045	Not differentially expressed
POLR2E|ENSG00000099817	ad	control	687.0	1.591	0.1116	+++++----+---+	0.27948715390371665	POLR2E	ENSG00000099817	19	1086574	Not differentially expressed
NACC2|ENSG00000148411	ad	control	687.0	-1.989	0.04668	-----++++-----	0.1645023517023517	NACC2	ENSG00000148411	9	136006537	Not differentially expressed
SELENOS|ENSG00000131871	ad	control	687.0	-0.288	0.7733	++++-----+-++-	0.8736279959491392	SELENOS	ENSG00000131871	15	101270817	Not differentially expressed
STING1|ENSG00000184584	ad	control	687.0	-0.532	0.5947	+++++---+--+--	0.7547765419615773	STING1	ENSG00000184584	5	139475533	Not differentially expressed
ABHD12|ENSG00000100997	ad	control	687.0	1.581	0.1139	-++++++--+++-+	0.2827784371909001	ABHD12	ENSG00000100997	20	25294742	Not differentially expressed
UXS1|ENSG00000115652	ad	control	687.0	-0.407	0.6837	+++++--------+	0.8159215499821705	UXS1	ENSG00000115652	2	106093308	Not differentially expressed
USP8|ENSG00000138592	ad	control	687.0	1.327	0.1846	----+++++-+++-	0.37762510187449067	USP8	ENSG00000138592	15	50424380	Not differentially expressed
SNX29|ENSG00000048471	ad	control	687.0	0.978	0.3279	----+++++--+-+	0.5323602846054335	SNX29	ENSG00000048471	16	11976734	Not differentially expressed
IL17RC|ENSG00000163702	ad	control	687.0	-1.392	0.1638	+-+-+--------+	0.3517758288770053	IL17RC	ENSG00000163702	3	9917074	Not differentially expressed
UBE2B|ENSG00000119048	ad	control	687.0	0.477	0.6336	+++++----++++-	0.7812039788775637	UBE2B	ENSG00000119048	5	134371184	Not differentially expressed
SMPD2|ENSG00000135587	ad	control	687.0	-1.355	0.1755	------+-+-----	0.3668582136164897	SMPD2	ENSG00000135587	6	109440724	Not differentially expressed
GAD1|ENSG00000128683	ad	control	687.0	3.695	0.0002202	+++++----+++++	0.009825813333333334	GAD1	ENSG00000128683	2	170813213	Upregulated in AD
MSH3|ENSG00000113318	ad	control	687.0	2.412	0.01585	-++++--+++++++	0.08796793808734106	MSH3	ENSG00000113318	5	80654652	Not differentially expressed
TP53INP1|ENSG00000164938	ad	control	687.0	-2.244	0.02482	------+-+--+--	0.11472965009208104	TP53INP1	ENSG00000164938	8	94925972	Not differentially expressed
RRAS2|ENSG00000133818	ad	control	687.0	-1.84	0.06575	-----+-+-++++-	0.2029564897207732	RRAS2	ENSG00000133818	11	14277922	Not differentially expressed
F11R|ENSG00000158769	ad	control	687.0	-2.423	0.0154	-------++--++-	0.0865381777529346	F11R	ENSG00000158769	1	160995211	Not differentially expressed
CTPS1|ENSG00000171793	ad	control	687.0	0.915	0.3603	+++++----++-+-	0.5630213229571984	CTPS1	ENSG00000171793	1	40979300	Not differentially expressed
MASTL|ENSG00000120539	ad	control	687.0	1.677	0.09363	+++++----+++-+	0.25194158628081453	MASTL	ENSG00000120539	10	27154824	Not differentially expressed
ZBTB14|ENSG00000198081	ad	control	687.0	0.805	0.4209	-----++++-+++-	0.6161008893424698	ZBTB14	ENSG00000198081	18	5289019	Not differentially expressed
HSPA4L|ENSG00000164070	ad	control	687.0	-1.548	0.1215	+++++----+--+-	0.2940130151843818	HSPA4L	ENSG00000164070	4	127781821	Not differentially expressed
PKMYT1|ENSG00000127564	ad	control	687.0	0.256	0.7981	--+++-+----+++	0.8883507760532151	PKMYT1	ENSG00000127564	16	2968024	Not differentially expressed
COTL1|ENSG00000103187	ad	control	687.0	-1.124	0.2608	+----------+-+	0.46229378531073445	COTL1	ENSG00000103187	16	84565596	Not differentially expressed
ZNF709|ENSG00000242852	ad	control	687.0	-0.214	0.8302	-++++---+++-+-	0.907678100838506	ZNF709	ENSG00000242852	19	12461184	Not differentially expressed
SERINC3|ENSG00000132824	ad	control	687.0	1.405	0.1599	++++---+++++++	0.3456180839612486	SERINC3	ENSG00000132824	20	44496221	Not differentially expressed
SLC30A9|ENSG00000014824	ad	control	687.0	4.179	2.931e-05	+++++-++++++++	0.0031540553191489362	SLC30A9	ENSG00000014824	4	41990502	Upregulated in AD
MTHFR|ENSG00000177000	ad	control	687.0	-2.572	0.01011	----+--------+	0.06807806841046277	MTHFR	ENSG00000177000	1	11785723	Not differentially expressed
ZNF554|ENSG00000172006	ad	control	687.0	1.588	0.1124	+++++----++-++	0.2807606263982103	ZNF554	ENSG00000172006	19	2819868	Not differentially expressed
SPRN|ENSG00000203772	ad	control	687.0	0.055	0.9563	-++-+----+---+	0.9788206748904068	SPRN	ENSG00000203772	10	133420666	Not differentially expressed
TXNIP|ENSG00000265972	ad	control	687.0	-1.054	0.2919	-------++-+++-	0.4957165087956698	TXNIP	ENSG00000265972	1	145992435	Not differentially expressed
ARL17A|ENSG00000185829	ad	control	687.0	-2.715	0.00662	-----+--+--+--	0.053893808752025936	ARL17A	ENSG00000185829	17	46499780	Not differentially expressed
PRDX5|ENSG00000126432	ad	control	687.0	1.108	0.2678	+++++--------+	0.470465791776028	PRDX5	ENSG00000126432	11	64318121	Not differentially expressed
UNC5D|ENSG00000156687	ad	control	687.0	2.831	0.004638	+++++----++-++	0.045131356589147284	UNC5D	ENSG00000156687	8	35235475	Not differentially expressed
MPPED1|ENSG00000186732	ad	control	687.0	1.071	0.2844	+++++----++--+	0.4867671326287078	MPPED1	ENSG00000186732	22	43411196	Not differentially expressed
ADPRHL1|ENSG00000153531	ad	control	687.0	-0.272	0.7853	+++++-----+--+	0.8812352743936516	ADPRHL1	ENSG00000153531	13	113399611	Not differentially expressed
CAV1|ENSG00000105974	ad	control	687.0	-2.773	0.005551	-------++-----	0.049111964757709244	CAV1	ENSG00000105974	7	116524994	Not differentially expressed
ARHGDIB|ENSG00000111348	ad	control	687.0	-3.111	0.001865	-----------+--	0.02837060606060606	ARHGDIB	ENSG00000111348	12	14942031	Not differentially expressed
EXD3|ENSG00000187609	ad	control	687.0	-2.233	0.02553	----+-+-------	0.11661565059144678	EXD3	ENSG00000187609	9	137306896	Not differentially expressed
ECT2|ENSG00000114346	ad	control	687.0	-0.526	0.5987	+++++----++-+-	0.7570463476070529	ECT2	ENSG00000114346	3	172750682	Not differentially expressed
ASB2|ENSG00000278693	ad	control	687.0	-0.46	0.6457	++++++------+-	0.7894596371605992	ASB2	ENSG00000278693	HSCHR14_7_CTG1	1048715	Not differentially expressed
FSTL3|ENSG00000070404	ad	control	687.0	-2.662	0.007762	-----------+--	0.058287569184741955	FSTL3	ENSG00000070404	19	676392	Not differentially expressed
