gene,gene_name,BA17_SNp_HA_vs_AD.l2fc,BA17_SNp_HA_vs_AD.pval,BA17_SNp_HA_vs_AD.padj,BA17_SNp_HA_vs_AD.raw_l2fc,,,,,
ENSG00000030110,BAK1,0.504381692,0.054040822,0.999804227,0.687533929,,,,,
ENSG00000120156,TEK,0.036515327,0.888396383,0.999804227,0.066811742,,,,,
ENSG00000100003,SEC14L2,0.11637779,0.660927709,0.999804227,0.057033062,,,,,
ENSG00000272944,AC079834.2,0.190505762,0.542606488,0.999804227,0.370527479,,,,,
ENSG00000180044,C3orf80,0.28596981,0.361479496,0.999804227,0.577096229,,,,,
ENSG00000128656,CHN1,0.192930668,0.526077373,0.999804227,0.258298192,,,,,
ENSG00000196950,SLC39A10,0.410946853,0.192160833,0.999804227,0.747310775,,,,,
ENSG00000081026,MAGI3,0.090814735,0.752679398,0.999804227,0.092406768,,,,,
ENSG00000134121,CHL1,0.239694236,0.435174819,0.999804227,0.350998955,,,,,
ENSG00000145545,SRD5A1,0.213607506,0.441433932,0.999804227,0.268680925,,,,,
ENSG00000126733,DACH2,-0.036585742,0.907111691,0.999804227,-0.156178744,,,,,
ENSG00000117069,ST6GALNAC5,0.093537676,0.763201159,0.999804227,0.104314229,,,,,
ENSG00000253553,AC090578.1,0.182714917,0.547690081,0.999804227,0.387524087,,,,,
ENSG00000186479,RGS7BP,0.06762796,0.828191862,0.999804227,0.080784635,,,,,
ENSG00000101958,GLRA2,0.292395694,0.350747162,0.999804227,0.48310571,,,,,
ENSG00000076554,TPD52,-0.18953905,0.411369225,0.999804227,-0.218036559,,,,,
ENSG00000198673,FAM19A2,0.052073615,0.868881558,0.999804227,0.056913654,,,,,
ENSG00000105143,SLC1A6,0.09788028,0.754689459,0.999804227,0.102091729,,,,,
ENSG00000176165,FOXG1,-0.274924117,0.295673969,0.999804227,-0.330130245,,,,,
ENSG00000171033,PKIA,-0.06842585,0.753090201,0.999804227,-0.073822781,,,,,
ENSG00000163702,IL17RC,0.390544445,0.139325494,0.999804227,0.495337584,,,,,
ENSG00000117298,ECE1,0.286843859,0.195244357,0.999804227,0.330276664,,,,,
ENSG00000055813,CCDC85A,0.198656337,,,0.292353624,,,,,
ENSG00000278982,AL139125.1,0.106246844,0.736168662,0.999804227,0.388666735,,,,,
ENSG00000225110,PNMA6F,0.192612529,0.523764519,0.999804227,0.335791281,,,,,
ENSG00000260244,AC104083.1,-0.145120569,0.584937546,0.999804227,-0.216953847,,,,,
ENSG00000124749,COL21A1,-0.45957513,0.109114183,0.999804227,-0.941587321,,,,,
ENSG00000164112,TMEM155,0.159013345,0.612845547,0.999804227,0.263319509,,,,,
ENSG00000113100,CDH9,0.185539509,0.50663842,0.999804227,0.608972711,,,,,
ENSG00000259583,AC015712.2,0.072365366,0.813646769,0.999804227,0.050615036,,,,,
ENSG00000275395,FCGBP,0.675691946,0.029266421,0.999804227,1.17209654,,,,,
ENSG00000105559,PLEKHA4,0.608000503,0.046503934,0.999804227,0.97738303,,,,,
ENSG00000083750,RRAGB,0.349563997,0.080984106,0.999804227,0.38727983,,,,,
ENSG00000175938,ORAI3,0.013887523,0.956502302,0.999804227,0.046017812,,,,,
ENSG00000154027,AK5,-0.055370072,0.802573521,0.999804227,-0.07856448,,,,,
ENSG00000197905,TEAD4,0.946009224,0.002710667,0.999804227,2.053394332,,,,,
ENSG00000182568,SATB1,-0.128680719,0.577012597,0.999804227,-0.156878398,,,,,
ENSG00000120251,GRIA2,-0.012029972,0.963454669,0.999804227,0.011889385,,,,,
ENSG00000109339,MAPK10,-0.04285248,0.861905586,0.999804227,-0.055811665,,,,,
ENSG00000087884,AAMDC,0.112156146,0.643112428,0.999804227,0.104762037,,,,,
ENSG00000206052,DOK6,-0.164853006,0.590710039,0.999804227,-0.28681194,,,,,
ENSG00000101850,GPR143,0.5790291,0.061736523,0.999804227,0.870876734,,,,,
ENSG00000103316,CRYM,0.296786724,0.321717045,0.999804227,0.807999525,,,,,
ENSG00000104969,SGTA,0.199924758,0.262468146,0.999804227,0.214230718,,,,,
ENSG00000185742,C11orf87,0.22255659,0.472606387,0.999804227,0.503774528,,,,,
ENSG00000112038,OPRM1,-0.171538062,0.563438692,0.999804227,-0.60457395,,,,,
ENSG00000101977,MCF2,0.194992819,0.530260377,0.999804227,0.28857823,,,,,
ENSG00000109103,UNC119,0.072609842,0.748222226,0.999804227,0.103061302,,,,,
ENSG00000146540,C7orf50,0.519988311,0.030212976,0.999804227,0.616124328,,,,,
ENSG00000050628,PTGER3,0.148007817,0.578868969,0.999804227,0.664066027,,,,,
ENSG00000177879,AP3S1,-0.09629766,0.634959931,0.999804227,-0.134692643,,,,,
ENSG00000142875,PRKACB,-0.155757302,0.544638237,0.999804227,-0.198632873,,,,,
ENSG00000153253,SCN3A,-0.174633509,0.556626234,0.999804227,-0.264752752,,,,,
ENSG00000162545,CAMK2N1,-0.225991418,0.215738217,0.999804227,-0.249918055,,,,,
ENSG00000204789,ZNF204P,-0.084068394,0.771372123,0.999804227,-0.111311379,,,,,
ENSG00000124216,SNAI1,0.423592692,0.159041732,0.999804227,0.79107665,,,,,
ENSG00000158156,XKR8,-0.142821963,0.542261747,0.999804227,-0.093964473,,,,,
ENSG00000172264,MACROD2,-0.038774704,0.892224746,0.999804227,-0.067247204,,,,,
ENSG00000203993,ARRDC1-AS1,0.156289618,0.439099428,0.999804227,0.150746009,,,,,
ENSG00000147246,HTR2C,0.28833995,0.252426067,0.999804227,1.676099292,,,,,
ENSG00000179520,SLC17A8,0.023066121,0.932785649,0.999804227,0.045718951,,,,,
ENSG00000162490,DRAXIN,0.668531722,0.022293011,0.999804227,0.98500115,,,,,
ENSG00000165973,NELL1,0.527028025,0.093878355,0.999804227,1.164986439,,,,,
ENSG00000125534,PPDPF,0.417160617,0.113593705,0.999804227,0.464274819,,,,,
ENSG00000187091,PLCD1,0.307581061,0.26430567,0.999804227,0.373097594,,,,,
ENSG00000162645,GBP2,0.602673927,0.055651671,0.999804227,1.104426953,,,,,
ENSG00000075234,TTC38,-0.085267377,0.762683261,0.999804227,-0.166579717,,,,,
ENSG00000108395,TRIM37,0.034476939,0.906984926,0.999804227,0.061910331,,,,,
ENSG00000264985,AC124804.1,0.064293623,0.826704665,0.999804227,0.391541618,,,,,
ENSG00000171509,RXFP1,0.125818207,0.671793871,0.999804227,0.253470417,,,,,
ENSG00000103160,HSDL1,-0.03249302,0.86752084,0.999804227,-0.031984246,,,,,
ENSG00000162636,FAM102B,0.039202514,0.898960618,0.999804227,0.005141531,,,,,
ENSG00000087245,MMP2,-0.468890659,0.076428384,0.999804227,-0.560026345,,,,,
ENSG00000164326,CARTPT,0.368892122,0.228690855,0.999804227,0.934748574,,,,,
ENSG00000167397,VKORC1,0.161640968,0.481649589,0.999804227,0.209495605,,,,,
ENSG00000167508,MVD,0.404282788,0.048929999,0.999804227,0.458269753,,,,,
ENSG00000178038,ALS2CL,-0.231550329,0.458850231,0.999804227,-0.507168295,,,,,
ENSG00000163536,SERPINI1,0.150577038,0.613287095,0.999804227,0.219881973,,,,,
ENSG00000185345,PRKN,0.257468787,0.340753248,0.999804227,0.328606059,,,,,
ENSG00000167157,PRRX2,-0.284148201,0.367993187,0.999804227,-0.471596418,,,,,
ENSG00000005810,MYCBP2,-0.001563509,0.995179472,0.999804227,-0.00384424,,,,,
ENSG00000143318,CASQ1,-0.196637839,0.520452635,0.999804227,-0.373763926,,,,,
ENSG00000204217,BMPR2,0.20781319,0.43782074,0.999804227,0.2676059,,,,,
ENSG00000163870,TPRA1,0.309253101,0.121941031,0.999804227,0.3795716,,,,,
ENSG00000182492,BGN,0.492018845,0.077636256,0.999804227,0.692093817,,,,,
ENSG00000172270,BSG,0.329173518,0.063294806,0.999804227,0.362711043,,,,,
ENSG00000105671,DDX49,0.125574713,0.44245415,0.999804227,0.15313058,,,,,
ENSG00000233901,LINC01503,0.669607046,,,1.286935601,,,,,
ENSG00000113319,RASGRF2,-0.077263627,0.733362141,0.999804227,-0.089589529,,,,,
ENSG00000164600,NEUROD6,-0.046752374,0.875880587,0.999804227,-0.275745719,,,,,
ENSG00000205362,MT1A,0.739776436,0.015967539,0.999804227,2.343417239,,,,,
ENSG00000109738,GLRB,0.289593994,0.353958834,0.999804227,0.595849792,,,,,
ENSG00000141668,CBLN2,0.056295277,0.858320446,0.999804227,0.028870591,,,,,
ENSG00000159388,BTG2,0.50213873,0.066612004,0.999804227,0.675872494,,,,,
ENSG00000134313,KIDINS220,-0.101871286,0.670008062,0.999804227,-0.109528786,,,,,
ENSG00000169891,REPS2,-0.036048085,0.898845737,0.999804227,-0.051787837,,,,,
ENSG00000167716,WDR81,0.217420852,0.338690699,0.999804227,0.294645126,,,,,
ENSG00000133055,MYBPH,0.096449989,0.71709559,0.999804227,0.514557669,,,,,
ENSG00000085433,WDR47,0.139614511,0.577051535,0.999804227,0.176243932,,,,,
ENSG00000133935,ERG28,0.201450234,0.232277565,0.999804227,0.218485149,,,,,
ENSG00000126858,RHOT1,-0.188346495,0.347377284,0.999804227,-0.206599366,,,,,
ENSG00000174405,LIG4,-0.241204967,0.355665818,0.999804227,-0.331544163,,,,,
ENSG00000138162,TACC2,0.118924627,0.653603572,0.999804227,0.148048483,,,,,
ENSG00000167747,C19orf48,0.652353385,0.0127687,0.999804227,0.837915281,,,,,
ENSG00000260328,AC104024.2,0.091352935,0.77212675,0.999804227,0.072768182,,,,,
ENSG00000233705,SLC26A4-AS1,0.021116393,0.943599158,0.999804227,0.042792987,,,,,
ENSG00000129682,FGF13,0.082489499,0.790428219,0.999804227,0.123764288,,,,,
ENSG00000138660,AP1AR,0.15557964,0.467331061,0.999804227,0.155669616,,,,,
ENSG00000139174,PRICKLE1,0.187844969,0.548250542,0.999804227,0.253694015,,,,,
ENSG00000120265,PCMT1,0.145622352,0.583464293,0.999804227,0.188376443,,,,,
ENSG00000124762,CDKN1A,0.892074336,0.004350762,0.999804227,1.682015944,,,,,
ENSG00000126458,RRAS,0.334221848,0.229544336,0.999804227,0.440876976,,,,,
ENSG00000182287,AP1S2,-0.269386475,0.269228816,0.999804227,-0.355810895,,,,,
ENSG00000197885,NKIRAS1,0.171216663,0.480687518,0.999804227,0.192513947,,,,,
ENSG00000188338,SLC38A3,0.452622712,0.135252631,0.999804227,0.696441816,,,,,
ENSG00000144406,UNC80,0.157638839,0.609079732,0.999804227,0.191544292,,,,,
ENSG00000088179,PTPN4,0.051523557,0.846019411,0.999804227,0.060437678,,,,,
ENSG00000240694,PNMA2,0.092731796,0.761442972,0.999804227,0.124811677,,,,,
ENSG00000163053,SLC16A14,0.434148293,0.168217897,0.999804227,0.884972677,,,,,
ENSG00000162430,SELENON,0.414180069,0.086546313,0.999804227,0.489970754,,,,,
ENSG00000138688,KIAA1109,-0.114174793,0.615130197,0.999804227,-0.14623977,,,,,
ENSG00000225383,SFTA1P,-0.222461829,0.467609463,0.999804227,-0.206004981,,,,,
ENSG00000114805,PLCH1,-0.074229137,0.8075724,0.999804227,-0.17276099,,,,,
ENSG00000278989,AP001148.1,0.217089459,0.491528028,0.999804227,0.337910329,,,,,
ENSG00000197747,S100A10,0.398707285,0.201330665,0.999804227,0.71421784,,,,,
ENSG00000164708,PGAM2,0.124475695,0.68569259,0.999804227,0.146597027,,,,,
ENSG00000182670,TTC3,-0.098174162,0.574042265,0.999804227,-0.121965507,,,,,
ENSG00000164506,STXBP5,0.020693044,0.946438724,0.999804227,0.004885426,,,,,
ENSG00000050748,MAPK9,-0.079386766,0.742308526,0.999804227,-0.094697501,,,,,
ENSG00000172209,GPR22,0.179559712,0.563947658,0.999804227,0.393296567,,,,,
ENSG00000169499,PLEKHA2,-0.186303097,0.378158864,0.999804227,-0.188118813,,,,,
ENSG00000152034,MCHR2,0.325500514,0.21893769,0.999804227,1.635921787,,,,,
ENSG00000159082,SYNJ1,0.270283343,0.385229241,0.999804227,0.431305754,,,,,
ENSG00000172915,NBEA,0.082956354,0.779835785,0.999804227,0.10045748,,,,,
ENSG00000146574,CCZ1B,-0.434640981,0.117590309,0.999804227,-0.62627453,,,,,
ENSG00000153823,PID1,-0.001391884,0.994847643,0.999804227,-0.020362566,,,,,
ENSG00000261186,LINC01238,-0.032979814,0.915122612,0.999804227,-0.027067779,,,,,
ENSG00000112290,WASF1,0.100341953,0.746175851,0.999804227,0.195637297,,,,,
ENSG00000134852,CLOCK,0.015584757,0.950468158,0.999804227,0.037201327,,,,,
ENSG00000133874,RNF122,0.007715736,0.98050419,0.999804227,0.026089458,,,,,
ENSG00000104427,ZC2HC1A,0.263015756,0.349193001,0.999804227,0.299595321,,,,,
ENSG00000145242,EPHA5,0.118952104,0.645805175,0.999804227,0.508842877,,,,,
ENSG00000100319,ZMAT5,0.122134251,0.536377317,0.999804227,0.113939714,,,,,
ENSG00000188674,C2orf80,0.223655598,0.470606164,0.999804227,0.334151905,,,,,
ENSG00000146426,TIAM2,0.300523042,0.340992875,0.999804227,0.569651053,,,,,
ENSG00000167930,FAM234A,-0.137470307,0.601258783,0.999804227,-0.184812999,,,,,
ENSG00000156140,ADAMTS3,-0.080143892,0.786988783,0.999804227,-0.25356305,,,,,
ENSG00000157445,CACNA2D3,0.139760616,0.656547806,0.999804227,0.235336097,,,,,
ENSG00000197136,PCNX3,0.236635066,0.246305138,0.999804227,0.257346873,,,,,
ENSG00000182718,ANXA2,0.54118158,0.084500965,0.999804227,1.095098738,,,,,
ENSG00000184408,KCND2,0.167499362,0.587822941,0.999804227,0.23386238,,,,,
ENSG00000138757,G3BP2,0.10564486,0.680032893,0.999804227,0.127096012,,,,,
ENSG00000127325,BEST3,0.278042576,0.356842684,0.999804227,0.440587139,,,,,
ENSG00000169744,LDB2,0.13231838,0.674840143,0.999804227,0.166296837,,,,,
ENSG00000171243,SOSTDC1,0.17830348,0.484435019,0.999804227,0.88520066,,,,,
ENSG00000060140,STYK1,0.11320937,0.686417547,0.999804227,0.246856651,,,,,
ENSG00000258789,AL162171.2,0.082977381,0.78494248,0.999804227,-0.138220229,,,,,
ENSG00000176087,SLC35A4,0.113924394,0.568771469,0.999804227,0.131220755,,,,,
ENSG00000182175,RGMA,0.15874704,0.362776299,0.999804227,0.177597927,,,,,
ENSG00000146151,HMGCLL1,0.472784464,0.123279236,0.999804227,0.775011685,,,,,
ENSG00000142444,TIMM29,0.026524953,0.883389199,0.999804227,0.013612046,,,,,
ENSG00000114573,ATP6V1A,0.210600189,0.492529927,0.999804227,0.31506647,,,,,
ENSG00000125844,RRBP1,0.191222481,0.315909525,0.999804227,0.225761805,,,,,
ENSG00000136143,SUCLA2,0.223308463,0.296007625,0.999804227,0.210249555,,,,,
ENSG00000139364,TMEM132B,-0.147082316,0.525294945,0.999804227,-0.167143944,,,,,
ENSG00000174460,ZCCHC12,0.580253032,0.058635697,0.999804227,0.912433653,,,,,
ENSG00000152214,RIT2,0.332440897,0.290705217,0.999804227,0.592237485,,,,,
ENSG00000197535,MYO5A,-0.110050951,0.677844417,0.999804227,-0.143806598,,,,,
ENSG00000061273,HDAC7,0.346901035,0.194781391,0.999804227,0.475271629,,,,,
ENSG00000167118,URM1,0.293575874,0.130671158,0.999804227,0.314792291,,,,,
ENSG00000165943,MOAP1,0.210687271,0.440742887,0.999804227,0.276728251,,,,,
ENSG00000119698,PPP4R4,-0.0603163,0.828929127,0.999804227,-0.103945906,,,,,
ENSG00000115290,GRB14,0.07332013,0.816407322,0.999804227,0.263990354,,,,,
ENSG00000181773,GPR3,0.579287131,0.065822614,0.999804227,1.175220266,,,,,
ENSG00000169908,TM4SF1,0.557214256,0.077424519,0.999804227,1.095475344,,,,,
ENSG00000118276,B4GALT6,0.295386439,0.348880223,0.999804227,0.524008349,,,,,
ENSG00000226476,LINC01748,-0.029757547,0.924879609,0.999804227,-0.422121862,,,,,
ENSG00000102996,MMP15,0.386382499,0.073831575,0.999804227,0.457551558,,,,,
ENSG00000106688,SLC1A1,0.576109782,0.052252115,0.999804227,0.844861509,,,,,
ENSG00000172031,EPHX4,0.191922996,0.540003926,0.999804227,0.399861729,,,,,
ENSG00000065320,NTN1,0.400415647,0.098352333,0.999804227,0.521020199,,,,,
ENSG00000198791,CNOT7,-0.148066341,0.429497363,0.999804227,-0.165650151,,,,,
ENSG00000154975,CA10,0.199746562,0.500319542,0.999804227,0.225416006,,,,,
ENSG00000170027,YWHAG,0.053364757,0.854346594,0.999804227,0.065472792,,,,,
ENSG00000172346,CSDC2,0.111093764,0.721279762,0.999804227,0.163539762,,,,,
ENSG00000155858,LSM11,0.143231672,0.649871263,0.999804227,0.160445342,,,,,
ENSG00000038274,MAT2B,0.071176793,0.776874171,0.999804227,0.091725026,,,,,
ENSG00000103855,CD276,0.55660842,0.013708969,0.999804227,0.704302702,,,,,
ENSG00000169064,ZBBX,-0.062098087,0.843120549,0.999804227,-0.081927172,,,,,
ENSG00000265972,TXNIP,0.028035669,0.923816845,0.999804227,-0.112292428,,,,,
ENSG00000152154,TMEM178A,-0.589647691,0.05754568,0.999804227,-1.000200999,,,,,
ENSG00000225828,FAM229A,0.080892475,0.766135899,0.999804227,0.142539437,,,,,
ENSG00000136840,ST6GALNAC4,0.262032795,0.3505118,0.999804227,0.280747875,,,,,
ENSG00000125827,TMX4,-0.019006038,0.931961274,0.999804227,-0.026364309,,,,,
ENSG00000086544,ITPKC,0.654374279,0.015243087,0.999804227,0.881905387,,,,,
ENSG00000109832,DDX25,-0.074911236,0.802665496,0.999804227,-0.134319023,,,,,
ENSG00000160691,SHC1,0.808231609,0.003859099,0.999804227,1.121181767,,,,,
ENSG00000134982,APC,-0.191518822,0.308918998,0.999804227,-0.207473019,,,,,
ENSG00000096092,TMEM14A,0.147186093,0.616129585,0.999804227,0.189438859,,,,,
ENSG00000186854,TRABD2A,0.066274967,0.833498194,0.999804227,0.034002873,,,,,
ENSG00000134343,ANO3,0.00359692,0.989621933,0.999804227,-0.130598386,,,,,
ENSG00000240891,PLCXD2,0.137182955,0.657263874,0.999804227,0.300090536,,,,,
ENSG00000185633,NDUFA4L2,0.405145873,0.171329333,0.999804227,0.632922604,,,,,
ENSG00000175084,DES,0.514128604,0.069400234,0.999804227,2.234698858,,,,,
ENSG00000171729,TMEM51,0.649336003,0.021039471,0.999804227,1.049144985,,,,,
ENSG00000004776,HSPB6,0.421893517,0.130067342,0.999804227,0.640385942,,,,,
ENSG00000145526,CDH18,0.215109321,0.445822629,0.999804227,0.771629832,,,,,
ENSG00000186462,NAP1L2,0.2950982,0.34902236,0.999804227,0.580874791,,,,,
ENSG00000114279,FGF12,0.049376596,0.87329308,0.999804227,0.062602188,,,,,
ENSG00000145860,RNF145,0.098131243,0.650122034,0.999804227,0.15273215,,,,,
ENSG00000198934,MAGEE1,0.159975342,0.576941189,0.999804227,0.482577904,,,,,
ENSG00000162512,SDC3,0.438214095,0.04681561,0.999804227,0.51175931,,,,,
ENSG00000272341,AL137003.2,-0.013784119,0.965087899,0.999804227,-0.11153853,,,,,
ENSG00000109436,TBC1D9,0.338814201,0.282514573,0.999804227,0.606412848,,,,,
ENSG00000158560,DYNC1I1,0.100117021,0.731860989,0.999804227,0.140713338,,,,,
ENSG00000165801,ARHGEF40,0.222299235,0.376760333,0.999804227,0.274092196,,,,,
ENSG00000112309,B3GAT2,-0.313076449,0.204703905,0.999804227,-0.371397478,,,,,
ENSG00000154654,NCAM2,-0.022648359,0.908471515,0.999804227,-0.001101574,,,,,
ENSG00000234690,EPCAM-DT,-0.429751623,0.143122504,0.999804227,-0.586717756,,,,,
ENSG00000171004,HS6ST2,0.312012986,0.315298855,0.999804227,0.756057389,,,,,
ENSG00000174915,PTDSS2,0.091753769,0.565772321,0.999804227,0.111762208,,,,,
ENSG00000133027,PEMT,0.561296801,0.052454755,0.999804227,0.797821051,,,,,
ENSG00000137563,GGH,0.210750191,0.45496218,0.999804227,0.21300306,,,,,
ENSG00000066422,ZBTB11,-0.036475287,0.88014419,0.999804227,-0.106223321,,,,,
ENSG00000060069,CTDP1,-0.345837694,0.048922257,0.999804227,-0.398384436,,,,,
ENSG00000165985,C1QL3,0.448684208,0.152471838,0.999804227,0.996992156,,,,,
ENSG00000126950,TMEM35A,0.387876515,0.218313244,0.999804227,0.719436005,,,,,
ENSG00000069696,DRD4,0.383561111,0.217901683,0.999804227,0.676354531,,,,,
ENSG00000108946,PRKAR1A,-0.006653012,0.968606179,0.999804227,-0.017457432,,,,,
ENSG00000172594,SMPDL3A,0.455202925,0.035158739,0.999804227,0.565337257,,,,,
ENSG00000170439,METTL7B,0.645913448,,,1.886725618,,,,,
ENSG00000248285,AC122707.1,-0.331159623,0.29151988,0.999804227,-1.026220134,,,,,
ENSG00000064886,CHI3L2,0.815237943,0.006362816,0.999804227,3.193341668,,,,,
ENSG00000005020,SKAP2,0.328979893,0.159923766,0.999804227,0.435062772,,,,,
ENSG00000136828,RALGPS1,-0.147020548,0.501660785,0.999804227,-0.181516269,,,,,
ENSG00000266970,AC061992.1,0.452776869,0.069216599,0.999804227,4.120609139,,,,,
ENSG00000139970,RTN1,0.332797655,0.291486033,0.999804227,0.60713964,,,,,
ENSG00000229119,AC026403.1,0.665681843,0.031876108,0.999804227,1.063248277,,,,,
ENSG00000164129,NPY5R,-0.037837647,0.893791266,0.999804227,-0.221266608,,,,,
ENSG00000152578,GRIA4,-0.216315331,0.454091841,0.999804227,-0.30867858,,,,,
ENSG00000142686,C1orf216,-0.280941895,0.222534009,0.999804227,-0.341601525,,,,,
ENSG00000280255,AC004947.2,0.151114006,0.631220645,0.999804227,0.284223448,,,,,
ENSG00000165194,PCDH19,0.367733054,0.217393229,0.999804227,0.548081959,,,,,
ENSG00000215105,TTC3P1,0.115238009,0.70733602,0.999804227,0.185434055,,,,,
ENSG00000109756,RAPGEF2,-0.247871864,0.247531236,0.999804227,-0.285649211,,,,,
ENSG00000136732,GYPC,-0.114395192,0.653256854,0.999804227,-0.129932396,,,,,
ENSG00000056586,RC3H2,-0.034917046,0.869866756,0.999804227,-0.062078999,,,,,
ENSG00000134265,NAPG,0.022936074,0.922278147,0.999804227,0.018281577,,,,,
ENSG00000173805,HAP1,0.769986313,0.013470363,0.999804227,1.416345391,,,,,
ENSG00000157064,NMNAT2,0.271465418,0.389434117,0.999804227,0.466818524,,,,,
ENSG00000074603,DPP8,0.070994857,0.793366127,0.999804227,0.090842548,,,,,
ENSG00000152495,CAMK4,0.185316808,0.53876403,0.999804227,0.252818761,,,,,
ENSG00000169035,KLK7,0.254672837,0.417946774,0.999804227,0.508122607,,,,,
ENSG00000107242,PIP5K1B,0.165594203,0.570351259,0.999804227,0.230440612,,,,,
ENSG00000163630,SYNPR,0.165289572,0.599902438,0.999804227,0.181339886,,,,,
ENSG00000070087,PFN2,0.095948591,0.712688925,0.999804227,0.124010223,,,,,
ENSG00000185187,SIGIRR,0.156915703,0.574654434,0.999804227,0.142838295,,,,,
ENSG00000108924,HLF,-0.003847116,0.990149902,0.999804227,-0.077804909,,,,,
ENSG00000177706,FAM20C,0.437622594,0.037039653,0.999804227,0.554183419,,,,,
ENSG00000110492,MDK,1.088826944,3.42E-04,0.761598296,1.778462322,,,,,
ENSG00000132481,AC087289.1,0.411604934,0.131083823,0.999804227,0.574067544,,,,,
ENSG00000175213,ZNF408,-0.045722838,0.831619446,0.999804227,-0.049472723,,,,,
ENSG00000164128,NPY1R,-0.027749563,0.929603638,0.999804227,-0.107538667,,,,,
ENSG00000167395,ZNF646,-0.099361648,0.521375949,0.999804227,-0.058355575,,,,,
ENSG00000187024,PTRH1,0.298153133,0.261398915,0.999804227,0.397754323,,,,,
ENSG00000173641,HSPB7,0.014891268,0.95902613,0.999804227,-0.018859907,,,,,
ENSG00000114779,ABHD14B,-0.056724934,0.806434513,0.999804227,-0.05626765,,,,,
ENSG00000171161,ZNF672,0.076311146,0.676173537,0.999804227,0.11809577,,,,,
ENSG00000182704,TSKU,0.468639349,0.12754844,0.999804227,0.811289627,,,,,
ENSG00000198739,LRRTM3,0.056561805,0.857777409,0.999804227,0.066079686,,,,,
ENSG00000122550,KLHL7,-0.095560393,0.69325687,0.999804227,-0.12746243,,,,,
ENSG00000141404,GNAL,0.074081116,0.739656742,0.999804227,0.065283537,,,,,
ENSG00000109452,INPP4B,0.025859329,0.933084792,0.999804227,-0.039875514,,,,,
ENSG00000091972,CD200,0.334776734,0.272300356,0.999804227,0.476401971,,,,,
ENSG00000130313,AC010618.1,0.212138432,0.329552041,0.999804227,0.218384894,,,,,
ENSG00000196924,FLNA,0.425641768,0.146744696,0.999804227,0.598566343,,,,,
ENSG00000159110,IFNAR2,0.307808455,0.199938826,0.999804227,0.43266283,,,,,
ENSG00000114735,HEMK1,0.129492061,0.583470589,0.999804227,0.145635244,,,,,
