MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
SORBS3|ENSG00000120896	ad	control	176.0	-0.258	0.7963	++-	0.9998788475304222
RNR1|ENSG00000211459	ad	control	70.0	1.734	0.08284	++?	0.8445520834845736
MEI1|ENSG00000167077	ad	control	31.0	-0.646	0.5182	?-?	0.9998788475304222
OSER1|ENSG00000132823	ad	control	70.0	-1.828	0.06756	-+?	0.8032718329853862
FAM32A|ENSG00000105058	ad	control	176.0	-0.402	0.6874	--+	0.9998788475304222
MYH13|ENSG00000006788	ad	control	31.0	-0.522	0.6019	?-?	0.9998788475304222
GSG1L2|ENSG00000214978	ad	control	31.0	-0.194	0.846	?-?	0.9998788475304222
TSN|ENSG00000211460	ad	control	70.0	-0.784	0.4333	--?	0.9998788475304222
MIR4254|ENSG00000266580	ad	control	31.0	0.126	0.9	?+?	0.9998788475304222
ITGB5|ENSG00000082781	ad	control	70.0	-1.956	0.05051	-+?	0.7357710480123902
MT1M|ENSG00000205364	ad	control	176.0	-0.368	0.7129	-++	0.9998788475304222
C3orf52|ENSG00000114529	ad	control	31.0	-1.509	0.1312	?-?	0.9330553191489362
LOC105377213|ENSG00000214915	ad	control	31.0	0.44	0.6597	?+?	0.9998788475304222
MTND1P32|ENSG00000232282	ad	control	31.0	0.022	0.9827	?+?	0.9998788475304222
HIPK2|ENSG00000064393	ad	control	176.0	0.161	0.8721	++-	0.9998788475304222
FRMPD1|ENSG00000070601	ad	control	176.0	-0.355	0.7224	+--	0.9998788475304222
RPS27P25|ENSG00000239881	ad	control	31.0	1.15	0.25	?+?	0.9998788475304222
EIF4G1|ENSG00000114867	ad	control	176.0	-0.737	0.4609	-+-	0.9998788475304222
PEG13|ENSG00000282164	ad	control	70.0	0.549	0.5831	+-?	0.9998788475304222
RPL9P28|ENSG00000242067	ad	control	31.0	0.214	0.8307	?+?	0.9998788475304222
TMT1B|ENSG00000170439	ad	control	176.0	-2.575	0.01001	-+-	0.450130464
ARHGAP44|ENSG00000006740	ad	control	70.0	-0.233	0.8154	+-?	0.9998788475304222
NOP56P2|ENSG00000226626	ad	control	106.0	0.161	0.872	??+	0.9998788475304222
ACAD9|ENSG00000177646	ad	control	70.0	0.579	0.5625	+-?	0.9998788475304222
TEN1|ENSG00000257949	ad	control	70.0	1.316	0.188	++?	0.9884570708955225
HSPA14|ENSG00000187522	ad	control	176.0	0.923	0.3561	+-+	0.9998788475304222
MYL12B|ENSG00000118680	ad	control	176.0	0.242	0.8088	+-+	0.9998788475304222
THAP12P7|ENSG00000253919	ad	control	31.0	1.246	0.2126	?+?	0.9998788475304222
TRAPPC11|ENSG00000168538	ad	control	176.0	1.934	0.0531	+-+	0.7431983292017849
BSG-AS1|ENSG00000267751	ad	control	137.0	-0.393	0.6944	?+-	0.9998788475304222
ZFP90|ENSG00000184939	ad	control	176.0	2.546	0.01089	+++	0.46047971385542175
ACSM2B|ENSG00000066813	ad	control	31.0	0.022	0.9827	?+?	0.9998788475304222
ZSCAN21|ENSG00000166529	ad	control	176.0	0.295	0.7681	-+-	0.9998788475304222
RNF128|ENSG00000133135	ad	control	176.0	0.057	0.9542	+-+	0.9998788475304222
SGPP1|ENSG00000285281	ad	control	176.0	0.258	0.7964	--+	0.9998788475304222
EPB41L3|ENSG00000082397	ad	control	176.0	1.294	0.1955	+-+	0.9942466223499821
PRRG1|ENSG00000130962	ad	control	176.0	0.346	0.7294	++-	0.9998788475304222
AHI1-DT|ENSG00000231028	ad	control	137.0	0.322	0.7475	?-+	0.9998788475304222
LINC02870|ENSG00000180066	ad	control	31.0	-0.416	0.6771	?-?	0.9998788475304222
FXYD6|ENSG00000137726	ad	control	70.0	0.466	0.641	+-?	0.9998788475304222
CHRNA3|ENSG00000080644	ad	control	31.0	-1.694	0.09035	?-?	0.8582575108586702
SUMF2|ENSG00000129103	ad	control	176.0	-0.33	0.7415	--+	0.9998788475304222
SMG1P5|ENSG00000291266	ad	control	106.0	0.48	0.631	??+	0.9998788475304222
GET4|ENSG00000239857	ad	control	176.0	-1.0	0.3175	+--	0.9998788475304222
TRPM6|ENSG00000119121	ad	control	176.0	0.669	0.5034	++-	0.9998788475304222
ACTR10|ENSG00000131966	ad	control	176.0	1.449	0.1474	+-+	0.9500803030303031
CFAP52|ENSG00000166596	ad	control	176.0	0.266	0.7899	+-+	0.9998788475304222
RPS15AP17|ENSG00000225405	ad	control	31.0	0.539	0.59	?+?	0.9998788475304222
CELF2-AS2|ENSG00000237986	ad	control	145.0	0.131	0.8955	+?-	0.9998788475304222
NBPF10|ENSG00000271425	ad	control	176.0	-0.679	0.4971	-+-	0.9998788475304222
NAGA|ENSG00000198951	ad	control	176.0	-1.577	0.1148	---	0.9008495248742314
GAS6|ENSG00000183087	ad	control	70.0	-0.909	0.3633	--?	0.9998788475304222
CLEC10A|ENSG00000132514	ad	control	31.0	0.203	0.8395	?+?	0.9998788475304222
CCSAP|ENSG00000154429	ad	control	176.0	0.592	0.554	+-+	0.9998788475304222
CTRB2|ENSG00000168928	ad	control	31.0	0.888	0.3748	?+?	0.9998788475304222
IGHA1|ENSG00000211895	ad	control	31.0	-0.422	0.6732	?-?	0.9998788475304222
RPL29P11|ENSG00000224858	ad	control	137.0	1.442	0.1492	?+-	0.9524758855585831
LOC100419318|ENSG00000250037	ad	control	31.0	0.303	0.7618	?+?	0.9998788475304222
PNPT1P2|ENSG00000233272	ad	control	31.0	-0.011	0.9916	?-?	0.9998788475304222
FBXL4|ENSG00000112234	ad	control	176.0	-0.286	0.7748	-++	0.9998788475304222
TMSB4XP4|ENSG00000223551	ad	control	137.0	0.216	0.8286	?+-	0.9998788475304222
PFKFB4|ENSG00000114268	ad	control	176.0	-1.509	0.1313	-+-	0.9330682299546142
IRF2BPL|ENSG00000119669	ad	control	176.0	-1.81	0.07034	---	0.8109982164821649
GLRA2|ENSG00000101958	ad	control	176.0	-0.439	0.6609	--+	0.9998788475304222
TRBC2|ENSG00000211772	ad	control	137.0	-0.088	0.9298	?--	0.9998788475304222
BPIFC|ENSG00000184459	ad	control	31.0	-0.521	0.6025	?-?	0.9998788475304222
FAM186B|ENSG00000135436	ad	control	70.0	-1.393	0.1636	--?	0.9673390090279236
CEP295|ENSG00000166004	ad	control	70.0	1.215	0.2245	++?	0.9998788475304222
EPHB2|ENSG00000133216	ad	control	176.0	-1.083	0.2787	+--	0.9998788475304222
FBXW2|ENSG00000119402	ad	control	176.0	1.952	0.05092	+++	0.7361899279093718
FCGR1BP|ENSG00000291135	ad	control	106.0	0.069	0.945	??+	0.9998788475304222
LGALS9C|ENSG00000171916	ad	control	31.0	0.465	0.6418	?+?	0.9998788475304222
CCDC28A|ENSG00000024862	ad	control	70.0	0.386	0.6997	+-?	0.9998788475304222
HDAC9|ENSG00000048052	ad	control	176.0	0.198	0.8433	++-	0.9998788475304222
FGF5|ENSG00000138675	ad	control	176.0	-0.502	0.6157	+-+	0.9998788475304222
SNORD115-48|ENSG00000201634	ad	control	31.0	0.854	0.3932	?+?	0.9998788475304222
B4GALT4-AS1|ENSG00000240254	ad	control	106.0	0.613	0.54	??+	0.9998788475304222
NTN1|ENSG00000065320	ad	control	176.0	-0.703	0.4822	+--	0.9998788475304222
SAMD15|ENSG00000100583	ad	control	176.0	0.322	0.7473	+-+	0.9998788475304222
AFF4-DT|ENSG00000272023	ad	control	137.0	-0.018	0.9854	?-+	0.9998788475304222
RPSAP17|ENSG00000226855	ad	control	31.0	0.454	0.6502	?+?	0.9998788475304222
MIR6750|ENSG00000274986	ad	control	31.0	-0.121	0.9041	?-?	0.9998788475304222
PTP4A1P6|ENSG00000254727	ad	control	106.0	-0.494	0.621	??-	0.9998788475304222
MUC5AC|ENSG00000291363	ad	control	31.0	-0.131	0.8958	?-?	0.9998788475304222
SNORD115-3|ENSG00000199970	ad	control	31.0	0.231	0.817	?+?	0.9998788475304222
SNORA27|ENSG00000207051	ad	control	106.0	1.211	0.226	??+	0.9998788475304222
AGAP12P|ENSG00000265018	ad	control	70.0	-0.298	0.766	+-?	0.9998788475304222
TRNK|ENSG00000210156	ad	control	31.0	2.186	0.02881	?+?	0.6274504864864865
KLHL13|ENSG00000003096	ad	control	176.0	-0.599	0.5495	-++	0.9998788475304222
NDUFA5P10|ENSG00000224927	ad	control	31.0	0.44	0.6597	?+?	0.9998788475304222
IGFBP6|ENSG00000167779	ad	control	176.0	-0.191	0.8486	+-+	0.9998788475304222
EMC3|ENSG00000125037	ad	control	70.0	-1.2	0.2302	+-?	0.9998788475304222
TMEM74|ENSG00000164841	ad	control	176.0	0.069	0.9451	-++	0.9998788475304222
SLC9A3|ENSG00000066230	ad	control	31.0	-0.713	0.4756	?-?	0.9998788475304222
KRT78|ENSG00000170423	ad	control	31.0	-0.48	0.631	?-?	0.9998788475304222
DPM1|ENSG00000000419	ad	control	176.0	0.376	0.7071	+-+	0.9998788475304222
BBOX1-AS1|ENSG00000254560	ad	control	137.0	0.884	0.3767	?-+	0.9998788475304222
ASB16|ENSG00000161664	ad	control	70.0	0.13	0.8963	-+?	0.9998788475304222
SCARNA21|ENSG00000252835	ad	control	137.0	0.081	0.9352	?+-	0.9998788475304222
RXRB|ENSG00000227322	ad	control	176.0	-0.964	0.335	--+	0.9998788475304222
OLA1|ENSG00000138430	ad	control	176.0	1.109	0.2676	+-+	0.9998788475304222
UBFD1|ENSG00000103353	ad	control	176.0	-0.617	0.537	--+	0.9998788475304222
A4GALT|ENSG00000128274	ad	control	70.0	-1.423	0.1548	-+?	0.9545564950711939
C9orf72|ENSG00000147894	ad	control	176.0	0.826	0.4087	+-+	0.9998788475304222
SRSF2|ENSG00000161547	ad	control	176.0	0.42	0.6748	+--	0.9998788475304222
NHS|ENSG00000188158	ad	control	176.0	-0.557	0.5777	---	0.9998788475304222
FOXI2|ENSG00000186766	ad	control	31.0	1.362	0.1731	?+?	0.9744899519615692
TNNC1|ENSG00000114854	ad	control	137.0	-0.572	0.5676	?--	0.9998788475304222
LINC02219|ENSG00000253787	ad	control	31.0	0.982	0.3261	?+?	0.9998788475304222
ANP32BP1|ENSG00000259790	ad	control	31.0	0.959	0.3373	?+?	0.9998788475304222
ZGPAT|ENSG00000197114	ad	control	176.0	-0.995	0.3195	+--	0.9998788475304222
ZFYVE9P1|ENSG00000229562	ad	control	31.0	0.284	0.7766	?+?	0.9998788475304222
ADGRF5|ENSG00000069122	ad	control	70.0	-1.343	0.1793	-+?	0.9805360716371423
ROR1|ENSG00000185483	ad	control	70.0	0.168	0.8668	++?	0.9998788475304222
FRG1EP|ENSG00000282995	ad	control	31.0	0.869	0.3848	?+?	0.9998788475304222
FAM222B|ENSG00000173065	ad	control	176.0	-1.027	0.3045	---	0.9998788475304222
ATP8A2P3|ENSG00000233963	ad	control	31.0	0.394	0.6933	?+?	0.9998788475304222
RRAGC|ENSG00000116954	ad	control	70.0	-1.517	0.1291	-+?	0.929906787909836
DMKN|ENSG00000161249	ad	control	176.0	1.133	0.2572	+-+	0.9998788475304222
NUDT6|ENSG00000170917	ad	control	176.0	-0.319	0.7494	+--	0.9998788475304222
DNAJA1P6|ENSG00000228045	ad	control	31.0	0.103	0.9178	?+?	0.9998788475304222
LOC105371855|ENSG00000265702	ad	control	31.0	1.339	0.1807	?+?	0.9822872991287511
KAT8|ENSG00000103510	ad	control	176.0	0.036	0.9711	+-+	0.9998788475304222
POMGNT2|ENSG00000144647	ad	control	176.0	-2.429	0.01514	---	0.5132245848375451
PRP4K|ENSG00000112739	ad	control	176.0	-0.052	0.9587	-++	0.9998788475304222
JSRP1|ENSG00000167476	ad	control	31.0	0.569	0.5693	?+?	0.9998788475304222
FOXN3|ENSG00000053254	ad	control	70.0	0.025	0.9804	-+?	0.9998788475304222
NTN5|ENSG00000142233	ad	control	31.0	-0.544	0.5864	?-?	0.9998788475304222
TRIM62|ENSG00000116525	ad	control	176.0	0.429	0.6677	++-	0.9998788475304222
GPS2P1|ENSG00000236496	ad	control	31.0	3.012	0.002595	?+?	0.2804460346153846
MSR1|ENSG00000038945	ad	control	176.0	-1.929	0.05369	--+	0.7443798618648249
MIA2-AS1|ENSG00000258940	ad	control	31.0	-1.48	0.1389	?-?	0.9415365935919054
TUBBP10|ENSG00000226147	ad	control	31.0	0.008	0.9939	?+?	0.9998788475304222
NPY2R|ENSG00000185149	ad	control	70.0	0.032	0.9743	+-?	0.9998788475304222
FEM1A|ENSG00000141965	ad	control	70.0	-0.6	0.5483	-+?	0.9998788475304222
MIR27B|ENSG00000207864	ad	control	31.0	-0.789	0.43	?-?	0.9998788475304222
NCF4-AS1|ENSG00000183822	ad	control	106.0	-0.126	0.9	??-	0.9998788475304222
LINC02822|ENSG00000286021	ad	control	31.0	-0.877	0.3807	?-?	0.9998788475304222
RPL36AP15|ENSG00000235369	ad	control	137.0	-0.361	0.7179	?+-	0.9998788475304222
SUGT1P4-STRA6LP-CCDC180|ENSG00000255036	ad	control	176.0	-0.165	0.8688	+-+	0.9998788475304222
RPL12P41|ENSG00000269637	ad	control	31.0	-0.368	0.7127	?-?	0.9998788475304222
KIF5C|ENSG00000168280	ad	control	70.0	3.239	0.001197	++?	0.196539
CRYL1|ENSG00000165475	ad	control	176.0	0.392	0.6953	-++	0.9998788475304222
AHSG|ENSG00000145192	ad	control	31.0	0.329	0.7422	?+?	0.9998788475304222
LOC105371729|ENSG00000285677	ad	control	31.0	0.945	0.3446	?+?	0.9998788475304222
MDGA2|ENSG00000139915	ad	control	176.0	1.115	0.2649	+-+	0.9998788475304222
HELZ|ENSG00000198265	ad	control	70.0	-0.803	0.4217	-+?	0.9998788475304222
FOXRED1|ENSG00000110074	ad	control	176.0	1.63	0.103	+++	0.8785768344451182
STPG2|ENSG00000163116	ad	control	70.0	-1.579	0.1144	--?	0.9007315759955132
HNRNPMP1|ENSG00000259335	ad	control	31.0	-0.167	0.8677	?-?	0.9998788475304222
LIMASI|ENSG00000266978	ad	control	31.0	-0.145	0.885	?-?	0.9998788475304222
RPSAP69|ENSG00000233487	ad	control	70.0	0.76	0.4475	+-?	0.9998788475304222
MIA2|ENSG00000150527	ad	control	176.0	0.0	0.9998	+-+	1.0
STAG1|ENSG00000118007	ad	control	70.0	1.393	0.1635	-+?	0.9673390090279236
DYRK3-AS1|ENSG00000237605	ad	control	137.0	0.441	0.6589	?-+	0.9998788475304222
VRK2|ENSG00000028116	ad	control	176.0	0.356	0.722	-+-	0.9998788475304222
LINC02102|ENSG00000248677	ad	control	31.0	0.917	0.3591	?+?	0.9998788475304222
LEPR|ENSG00000116678	ad	control	70.0	-0.439	0.6606	-+?	0.9998788475304222
RFX5-AS1|ENSG00000237976	ad	control	137.0	0.052	0.9587	?-+	0.9998788475304222
TIGD4|ENSG00000169989	ad	control	70.0	-0.262	0.793	+-?	0.9998788475304222
IKZF4|ENSG00000123411	ad	control	176.0	0.518	0.6047	+--	0.9998788475304222
ADGRA3P1|ENSG00000256616	ad	control	70.0	-1.827	0.0677	--?	0.8032718329853862
ACAD11|ENSG00000240303	ad	control	70.0	1.365	0.1722	+-?	0.9741576923076924
PDE4C|ENSG00000285188	ad	control	176.0	-0.291	0.7712	+--	0.9998788475304222
SNORD30|ENSG00000277846	ad	control	31.0	0.03	0.9758	?+?	0.9998788475304222
RPL18AP13|ENSG00000213304	ad	control	31.0	-0.565	0.5723	?-?	0.9998788475304222
MSMO1|ENSG00000052802	ad	control	176.0	-0.864	0.3878	+-+	0.9998788475304222
TMEM123|ENSG00000152558	ad	control	70.0	-2.438	0.01478	-+?	0.5113041911764705
MIR320C1|ENSG00000221493	ad	control	31.0	-0.011	0.9916	?-?	0.9998788475304222
AKR1C3|ENSG00000196139	ad	control	176.0	-1.383	0.1667	-++	0.9679725433526013
LINC02640|ENSG00000233590	ad	control	31.0	-0.011	0.9916	?-?	0.9998788475304222
SOD1-DT|ENSG00000234509	ad	control	137.0	-0.393	0.694	?-+	0.9998788475304222
TMEM200B|ENSG00000253304	ad	control	70.0	-2.325	0.02007	-+?	0.5635053900000001
MBLAC2|ENSG00000176055	ad	control	176.0	1.223	0.2215	+-+	0.9998788475304222
ENTREP1|ENSG00000135063	ad	control	176.0	-3.038	0.00238	---	0.272748
SYNRG|ENSG00000275066	ad	control	176.0	0.02	0.9838	++-	0.9998788475304222
CDK7|ENSG00000134058	ad	control	176.0	-0.051	0.9593	+-+	0.9998788475304222
ZNF496-DT|ENSG00000291885	ad	control	106.0	-0.536	0.592	??-	0.9998788475304222
KRT1|ENSG00000167768	ad	control	31.0	-0.463	0.6433	?-?	0.9998788475304222
ZNF100|ENSG00000274746	ad	control	176.0	-0.427	0.6695	--+	0.9998788475304222
RNU6-762P|ENSG00000252916	ad	control	31.0	0.14	0.8887	?+?	0.9998788475304222
RBM25|ENSG00000119707	ad	control	70.0	2.766	0.00567	++?	0.37419098871331835
TRGV9|ENSG00000211695	ad	control	31.0	1.828	0.06755	?+?	0.8032718329853862
SRP68P1|ENSG00000266129	ad	control	106.0	0.27	0.787	??+	0.9998788475304222
RPL31P28|ENSG00000219863	ad	control	31.0	-0.078	0.9381	?-?	0.9998788475304222
IL6STP1|ENSG00000227018	ad	control	31.0	-0.237	0.8129	?-?	0.9998788475304222
RAB8B|ENSG00000166128	ad	control	176.0	-1.551	0.1209	--+	0.9132389830508474
SEC61B|ENSG00000106803	ad	control	176.0	-0.466	0.641	+--	0.9998788475304222
HCG23|ENSG00000225834	ad	control	70.0	3.283	0.001026	++?	0.18951975
CNNM3-DT|ENSG00000273265	ad	control	137.0	-0.463	0.6433	?--	0.9998788475304222
LINC02580|ENSG00000230587	ad	control	31.0	-0.549	0.5827	?-?	0.9998788475304222
CENATAC-DT|ENSG00000255121	ad	control	31.0	-0.871	0.3836	?-?	0.9998788475304222
ENO1|ENSG00000074800	ad	control	70.0	-1.33	0.1837	+-?	0.9848663165934696
ZC3H12C|ENSG00000149289	ad	control	176.0	-0.841	0.4004	-++	0.9998788475304222
TATDN3|ENSG00000203705	ad	control	176.0	1.052	0.2927	+-+	0.9998788475304222
GTF3C2-AS2|ENSG00000234072	ad	control	176.0	0.203	0.8393	++-	0.9998788475304222
LINC02123|ENSG00000250668	ad	control	31.0	-0.145	0.8847	?-?	0.9998788475304222
KCNJ4|ENSG00000168135	ad	control	176.0	-0.581	0.5616	+--	0.9998788475304222
MTPAP|ENSG00000107951	ad	control	176.0	1.345	0.1786	+-+	0.9801186255368997
HNRNPUL2|ENSG00000214753	ad	control	70.0	2.793	0.00523	++?	0.36361789655172416
LRP6|ENSG00000281324	ad	control	176.0	0.342	0.7323	-++	0.9998788475304222
C2orf49|ENSG00000135974	ad	control	176.0	-0.644	0.5193	-++	0.9998788475304222
DARS2|ENSG00000117593	ad	control	176.0	-1.573	0.1158	---	0.9033604304635762
CSF3R|ENSG00000119535	ad	control	176.0	-0.571	0.568	---	0.9998788475304222
TMEM208|ENSG00000168701	ad	control	176.0	-0.106	0.9158	+-+	0.9998788475304222
PLAC9P1|ENSG00000214100	ad	control	31.0	-0.305	0.7606	?-?	0.9998788475304222
KCTD5P1|ENSG00000224232	ad	control	31.0	-0.085	0.9324	?-?	0.9998788475304222
C1QTNF9B|ENSG00000205863	ad	control	137.0	-0.345	0.7302	?-+	0.9998788475304222
TPTE2P6|ENSG00000205822	ad	control	31.0	0.022	0.9827	?+?	0.9998788475304222
COPB2|ENSG00000184432	ad	control	70.0	0.148	0.882	-+?	0.9998788475304222
ADHFE1|ENSG00000147576	ad	control	176.0	0.34	0.7341	+-+	0.9998788475304222
LOC100422225|ENSG00000258510	ad	control	106.0	0.18	0.857	??+	0.9998788475304222
NFKBIE|ENSG00000146232	ad	control	176.0	-1.023	0.3063	---	0.9998788475304222
TMEM139-AS1|ENSG00000231840	ad	control	137.0	0.741	0.4587	?+-	0.9998788475304222
LOC100288146|ENSG00000251473	ad	control	106.0	0.47	0.638	??+	0.9998788475304222
SPAG17|ENSG00000155761	ad	control	137.0	0.128	0.8984	?-+	0.9998788475304222
TMEM191C|ENSG00000206140	ad	control	70.0	0.441	0.6595	+-?	0.9998788475304222
SLC22A16|ENSG00000004809	ad	control	31.0	1.584	0.1131	?+?	0.899863080407701
PRDM10-DT|ENSG00000233220	ad	control	137.0	0.257	0.7972	?++	0.9998788475304222
ACTBP15|ENSG00000213857	ad	control	31.0	0.008	0.9937	?+?	0.9998788475304222
HAR1B|ENSG00000231133	ad	control	31.0	-1.042	0.2973	?-?	0.9998788475304222
BAHCC1|ENSG00000266074	ad	control	176.0	0.55	0.5824	++-	0.9998788475304222
RPS27AP16|ENSG00000224631	ad	control	31.0	1.905	0.05678	?+?	0.7641616786226686
POU6F2-AS1|ENSG00000224122	ad	control	106.0	-0.327	0.744	??-	0.9998788475304222
C2orf66|ENSG00000187944	ad	control	31.0	-1.385	0.166	?-?	0.9679725433526013
HSPE1P26|ENSG00000220867	ad	control	31.0	0.085	0.9321	?+?	0.9998788475304222
EXOSC1|ENSG00000171311	ad	control	176.0	-0.248	0.8042	--+	0.9998788475304222
BCAR3|ENSG00000137936	ad	control	176.0	-1.768	0.07708	-+-	0.8315318809980806
FBXW10|ENSG00000171931	ad	control	31.0	-1.144	0.2526	?-?	0.9998788475304222
AMPD3|ENSG00000133805	ad	control	176.0	0.092	0.9268	-+-	0.9998788475304222
EBLN2|ENSG00000255423	ad	control	176.0	0.259	0.7956	-++	0.9998788475304222
SNURF|ENSG00000273173	ad	control	70.0	-0.667	0.505	+-?	0.9998788475304222
CTTNBP2NL|ENSG00000143079	ad	control	176.0	-0.303	0.7621	-++	0.9998788475304222
PIK3C3|ENSG00000078142	ad	control	176.0	2.298	0.02156	+++	0.5710576271186442
HIF1A|ENSG00000100644	ad	control	70.0	-0.42	0.6748	+-?	0.9998788475304222
ATP13A1|ENSG00000105726	ad	control	176.0	-1.347	0.178	---	0.980004790770434
DNASE2B|ENSG00000137976	ad	control	31.0	1.167	0.2431	?+?	0.9998788475304222
ZBTB16|ENSG00000109906	ad	control	176.0	-0.248	0.8044	-+-	0.9998788475304222
